" "," ","#","股票代號/名稱","類別","20260424","0430","0508","0515","0522","0529"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","131","1538正峰","電機","1.44","0.01","0.09","0.15","0.00","0.00"," ","21","1.69"," ","78.47","11.80","0.00"," "
" "," ","132","3138耀登","通信網路","1.03","-1.32","1.05","0.08","0.07","0.78"," ","31","1.69"," ","27.92","169.00","8.50"," "
" "," ","133","2495普安","電腦週邊","0.87","-1.35","-0.41","-3.29","2.42","3.45"," ","50","1.69"," ","56.05","51.50","4.15"," "
" "," ","134","2458義隆","半導體","-0.22","-1.00","0.05","0.75","1.50","0.58"," ","30","1.66"," ","59.91","162.00","1.00"," "
" "," ","135","1773勝一","化學","1.41","0.18","-0.22","0.23","-0.11","0.16"," ","31","1.65"," ","75.91","186.50","2.50"," "
" "," ","136","4557永新-KY","汽車","0.08","0.02","-0.03","-0.03","-0.11","1.72"," ","31","1.65"," ","43.71","43.60","-1.25"," "
" "," ","137","3708上緯投控","綠能","1.57","-1.26","0.53","0.37","1.16","-0.74"," ","30","1.63"," ","54.45","124.50","0.50"," "
" "," ","138","6873泓德能源","綠能","0.16","0.07","0.77","0.14","-0.06","0.54"," ","31","1.62"," ","61.64","89.10","-0.70"," "
" "," ","139","6416瑞祺電通","通信網路","0.34","0.04","0.24","0.85","0.23","-0.09"," ","10","1.61"," ","47.38","88.90","0.30"," "
" "," ","140","6283淳安","其他電子","0.21","-0.01","0.19","0.07","0.55","0.59"," ","50","1.60"," ","62.24","24.00","0.30"," "
" "," ","141","2107厚生","橡膠","0.00","0.52","0.41","0.43","0.05","0.16"," ","31","1.57"," ","61.33","25.20","0.40"," "
" "," ","142","2379瑞昱","半導體","0.84","0.03","-0.33","0.07","0.59","0.34"," ","30","1.54"," ","74.96","580.00","-14.00"," "
" "," ","143","1590亞德客-KY","電機","0.76","0.06","0.25","0.07","-0.02","0.42"," ","31","1.54"," ","73.44","1400.00","10.00"," "
" "," ","144","4440宜新實業","紡織","0.71","0.09","0.15","0.54","0.05","0.00"," ","10","1.54"," ","56.84","17.75","0.00"," "
" "," ","145","9912偉聯","電腦週邊","0.28","0.13","0.19","0.53","0.26","0.14"," ","10","1.53"," ","61.21","12.45","-0.05"," "
" "," ","146","4551智伸科","汽車","0.65","0.07","0.45","0.37","0.21","-0.22"," ","10","1.53"," ","80.88","155.50","0.50"," "
" "," ","147","4976佳凌","光電","0.32","0.32","0.32","0.48","0.78","-0.69"," ","30","1.53"," ","33.02","31.50","0.75"," "
" "," ","148","6272驊陞","電子零組件","-0.03","0.24","0.04","0.07","0.21","0.99"," ","50","1.52"," ","52.14","34.35","0.15"," "
" "," ","149","4770上品","化學","0.56","-0.54","0.04","-0.50","0.00","1.94"," ","50","1.50"," ","64.39","255.00","1.00"," "
" "," ","150","2444兆勁","通信網路","0.55","0.55","0.08","0.10","-0.03","0.25"," ","31","1.50"," ","26.41","12.40","0.10"," "
" "," ","151","2349錸德","光電","-0.05","-0.04","-0.02","-0.14","0.44","1.29"," ","50","1.48"," ","27.67","14.00","0.35"," "
" "," ","152","8429金麗-KY","貿易百貨","0.38","0.28","0.44","-0.46","0.50","0.33"," ","30","1.47"," ","41.61","6.22","0.01"," "
" "," ","153","3593力銘","電子零組件","0.00","0.73","0.04","0.02","0.01","0.67"," ","31","1.47"," ","63.35","16.65","-0.30"," "
" "," ","154","2461光群雷","其他電子","0.68","0.39","0.46","0.13","0.01","-0.21"," ","10","1.46"," ","47.34","16.25","0.20"," "
" "," ","155","6412群電","電子零組件","-0.06","-0.04","0.36","0.12","0.49","0.59"," ","50","1.46"," ","83.45","102.00","3.20"," "
" "," ","156","2542興富發","營建","-0.27","0.59","0.09","0.73","0.31","0.00"," ","10","1.45"," ","61.86","41.95","-0.05"," "
" "," ","157","8201無敵","其他電子","0.00","0.00","0.00","0.00","0.00","1.44"," ","41","1.44"," ","57.81","13.45","0.45"," "
" "," ","158","2420新巨","電子零組件","0.31","-0.08","0.28","0.07","0.09","0.77"," ","50","1.44"," ","51.66","64.30","-0.20"," "
" "," ","159","4439冠星-KY","紡織","1.19","0.14","0.05","0.01","0.04","0.01"," ","30","1.44"," ","78.52","92.60","1.20"," "
" "," ","160","7823奧義賽博-KY創","雲端","0.02","-0.07","-0.22","-0.09","1.59","0.20"," ","30","1.43"," ","73.56","99.70","0.70"," "
" "," ","161","2457飛宏","電子零組件","0.03","0.01","0.99","-0.29","0.40","0.29"," ","30","1.43"," ","29.94","26.00","0.85"," "
" "," ","162","1605華新","電器電纜","-0.74","-0.05","1.85","-0.60","0.42","0.51"," ","50","1.39"," ","71.96","38.75","2.75"," "
" "," ","163","6756威鋒電子","半導體","0.58","0.02","0.67","0.23","0.00","-0.11"," ","10","1.39"," ","61.59","100.00","-1.00"," "
" "," ","164","3042晶技","電子零組件","0.73","-0.06","-1.28","-0.32","-0.23","2.54"," ","50","1.38"," ","68.38","215.50","-2.00"," "
" "," ","165","4919新唐","半導體","2.22","-0.24","-0.38","-3.94","2.38","1.33"," ","30","1.37"," ","68.23","191.50","3.00"," "
