"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","外資連續買賣日數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣日數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣日數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣日數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"7795","長廣","400","+36","+9.89","05/12","+2","+599","37.3","0.76","-1","-1","-0.1","0","+1","+4","0.36","0","+2","+601","37.4","0.76"
"7805","威聯通","730","-2","-0.27","05/12","+2","+22","6.03","0.07","0","0","0","0","-1","0","-0.06","0","+2","+25","6.74","0.07"
"7821","神數","44.5","-0.35","-0.78","05/12","+2","+55","11","0.05","0","0","0","0","-3","-3","-0.42","0","+2","+53","10.6","0.04"
"7842","天能綠電","118.5","-7","-5.58","05/12","+2","+7","0.75","0.04","0","0","0","0","0","0","0","0","+2","+7","0.75","0.04"
"8016","矽創","274","+5.5","+2.05","05/12","+2","+1,167","23.9","0.97","-5","-99","-0.51","-0.08","-3","-126","-1.02","-0.1","+2","+1,001","20.5","0.83"
"8021","尖點","471.5","+42.5","+9.91","05/12","+2","+926","8.6","0.64","-1","-367","-4.2","-0.25","-1","-31","-0.35","-0.02","+2","+537","4.99","0.37"
"8028","昇陽半導體","238.5","+4.5","+1.92","05/12","+2","+642","2.28","0.36","0","0","0","0","+3","+337","0.81","0.19","+2","+940","3.33","0.52"
"8070","長華*","47.6","-0.65","-1.35","05/12","+2","+1,005","19.2","0.14","-5","-413","-2.47","-0.06","-3","-163","-2.01","-0.02","-1","-145","-5.56","-0.02"
"8102","傑霖科技","64.3","-3.8","-5.58","05/12","+2","+7","5.14","0.03","0","0","0","0","0","0","0","0","+2","+7","5.14","0.03"
"8103","瀚荃","118","+2.5","+2.16","05/12","+2","+739","12.3","0.94","0","0","0","0","+1","+70","2.72","0.09","+2","+763","12.7","0.97"
"8109","博大","117.5","-0.5","-0.42","05/12","+2","+133","23.5","0.16","0","0","0","0","+1","+1","0.26","0","+2","+134","23.7","0.16"
"8234","新漢","70.8","-0.4","-0.56","05/12","+2","+293","15.1","0.21","0","0","0","0","+2","+14","0.74","0.01","+2","+307","15.8","0.22"
"8431","匯鑽科","61.1","+0.2","+0.33","05/12","+2","+83","6.34","0.17","0","0","0","0","-1","-2","-0.31","0","+2","+91","6.97","0.19"
"8432","東生華","49.55","-0.05","-0.1","05/12","+2","+8","2.4","0.02","0","0","0","0","0","0","0","0","+2","+8","2.4","0.02"
"8489","三貝德","25","0","0","05/12","+2","+54","29.9","0.09","0","0","0","0","+1","0","0","0","+2","+54","29.9","0.09"
"8908","欣雄","39.1","+0.3","+0.77","05/12","+2","+49","7.9","0.02","0","0","0","0","0","0","0","0","+2","+49","7.9","0.02"
"8930","青鋼","28.9","0","0","05/12","+2","+43","13.2","0.05","0","0","0","0","0","0","0","0","+2","+43","13.2","0.05"
"8931","大汽電","41.3","-0.3","-0.72","05/12","+2","+4","3.68","0","0","0","0","0","0","0","0","0","+2","+4","3.68","0"
"910861","神州-DR","4.93","+0.18","+3.79","05/12","+2","+47","18","0.14","0","0","0","0","0","0","0","0","+2","+47","18","0.14"
"9921","巨大","72.1","+2.3","+3.3","05/12","+2","+815","10.8","0.21","-2","-2","-0.03","0","+2","+25","0.33","0.01","+2","+837","11.1","0.21"
"9939","宏全","122.5","+2.5","+2.08","05/12","+2","+3,108","33.3","1.05","-5","-217","-1.65","-0.07","+1","+10","0.23","0","+2","+3,034","32.6","1.03"
"9958","世紀鋼","104.5","+1","+0.97","05/12","+2","+161","7.24","0.07","0","0","0","0","-3","-55","-1.53","-0.02","+2","+121","5.45","0.05"
