"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"212","2313","華通","237","-23","-8.85","05/13","1.77","0.96","0.68","0.68","0.77","2.25","1.18","1.05","1.02","2.05","2.03","1.12"
"213","6525","捷敏-KY","106","-1.5","-1.4","05/13","0.69","0.88","0.76","0.68","0.41","0.28","0.2","0.15","0.11","0.27","1.58","0.17"
"214","4749","新應材","1130","-45","-3.83","05/13","1.17","0.9","0.56","0.68","2.59","2.29","2.75","2.35","2.15","","","2.64"
"215","1608","華榮","33.55","-0.25","-0.74","05/13","0.68","0.75","0.88","0.67","0.47","0.52","0.35","0.19","0.09","0.05","0.03","0.3"
"216","3413","京鼎","311","+2.5","+0.81","05/13","0.76","0.38","0.2","0.67","0.48","1.42","1.28","2.2","1.97","2.67","1.84","1.27"
"217","2331","精英","20.1","-0.45","-2.19","05/13","0.39","0.52","0.36","0.66","1.32","1.3","0.61","0.19","0.14","0.05","0.03","0.27"
"218","9958","世紀鋼","104.5","0","0","05/13","2.69","1.75","1.33","0.66","0.42","0.24","0.2","0.24","1.32","1.59","1.31","0.24"
"219","8936","國統","50.2","+0.25","+0.5","05/13","0.49","0.58","0.59","0.66","0.37","0.19","0.07","0.07","0.32","0.1","0.14","0.05"
"220","1215","卜蜂","135.5","+0.5","+0.37","05/13","0","0.09","0.05","0.64","3.11","5.62","2.94","3.52","5.14","4.37","3.22","3.24"
"221","1711","永光","51.3","-2.6","-4.82","05/13","0","0","0.73","0.63","0.5","0.08","0.03","0.02","0.02","0.02","0.01","0.03"
"222","8454","富邦媒","196","+7","+3.7","05/13","0","0.13","1.44","0.63","2.68","5.16","2.56","1.73","1.72","2.1","2.09","2.3"
"223","3450","聯鈞","441","-29.5","-6.27","05/13","10.8","2.98","1.39","0.63","0.37","0.83","0.49","0.72","0.94","0.74","0.86","0.51"
"224","2886","兆豐金","39.55","+0.35","+0.89","05/13","0.21","1.26","0.93","0.62","1.46","9.95","5.25","6.39","9.88","6.81","3.64","4.94"
