"代號","名稱","成交","漲跌價","漲跌幅","法人買賣週別","更新日期","外資連續買賣週數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣週數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣週數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣週數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"00655L","國泰中國A50正2","37.74","-0.15","-0.4","26W20","05/14","+7","+3,118","7.09","4.3","0","0","0","0","+15","+20,831","15.6","28.7","+15","+27,601","20.6","38.1"
"00714","群益道瓊美國地產","21.43","-0.23","-1.06","26W20","05/14","+7","+1,188","23.5","5.04","0","0","0","0","-1","-222","-28.6","-0.94","+19","+3,780","21.6","16"
"00740B","富邦全球投等債","38.59","+0.05","+0.13","26W20","05/14","+7","+48,162","51.3","2.33","-2","-375","-1.43","-0.02","-11","-83,147","-38.7","-4.02","+2","+1,446","5.5","0.07"
"00755B","群益投資級公用債","32.82","-0.01","-0.03","26W20","05/14","+7","+1,173","21.8","0.42","-2","-897","-39.9","-0.32","+2","+79","3.53","0.03","-2","-21","-0.92","-0.01"
"00772B","中信高評級公司債","33.59","0","0","26W20","05/14","+7","+48,195","50.4","1.39","0","0","0","0","-1","-3,561","-25.9","-0.1","+38","+176,362","37.1","5.1"
"00773B","中信優先金融債","35.82","+0.02","+0.06","26W20","05/14","+7","+16,427","43.8","0.64","0","0","0","0","-1","-1,620","-39.3","-0.06","+28","+37,041","22.6","1.45"
"00861","元大全球未來通訊","85.4","+1.95","+2.34","26W20","05/14","+7","+1,611","22","2.34","0","0","0","0","+6","+774","12.5","1.12","+6","+2,351","38.1","3.41"
"00862B","中信投資級公司債","31.69","+0.03","+0.09","26W20","05/14","+7","+6,203","36.1","0.74","0","0","0","0","-7","-5,010","-29.2","-0.6","+21","+3,309","7.03","0.39"
"00908","富邦入息REITs+","14.21","-0.03","-0.21","26W20","05/14","+7","+2,356","34.4","6.38","0","0","0","0","+1","+114","42.6","0.31","+6","+1,891","33.3","5.12"
"00923","群益台ESG低碳50","38.24","+0.06","+0.16","26W20","05/14","+7","+38,271","17.6","4.48","0","0","0","0","+6","+73,878","37.3","8.65","+6","+111,460","56.3","13.1"
"00942B","台新美A公司債20+","14.3","+0.02","+0.14","26W20","05/14","+7","+32,375","62.2","1.58","0","0","0","0","-1","-3,695","-30.5","-0.18","+16","+269,534","78.9","13.2"
