排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 100張 以下 (%),100張 以下 增減,持股 200張 以下 (%),200張 以下 增減,持股 400張 以下 (%),400張 以下 增減,持股 600張 以下 (%),600張 以下 增減
2227,2015,豐興,62.4,-1.2,-1.89,26W33,08/14,6.12,0.0,7.62,0.1,11.9,0.09,14.9,-0.09
2228,2718,全心投控,48.4,-0.2,-0.41,26W33,08/14,8.37,0.01,10.2,0.0,11.8,0.0,11.8,0.0
2229,5703,亞都,14.6,-0.1,-0.68,26W33,08/14,7.62,0.0,9.11,0.0,11.7,0.0,15.2,0.0
2230,5276,達輝-KY,18.9,-0.3,-1.56,26W33,08/14,8.85,-0.02,9.54,-0.02,11.7,-0.02,13.1,0.0
2231,5525,順天,21.85,0.0,0.0,26W33,08/14,6.97,0.0,9.5,0.02,11.5,0.01,12.7,0.0
2232,2704,國賓,45.95,-0.6,-1.29,26W33,08/14,6.72,-0.15,8.85,-0.14,11.5,0.03,13.3,-0.04
2233,1402,遠東新,27.1,0.15,0.56,26W33,08/14,8.42,0.09,9.99,0.14,11.5,0.16,12.4,0.19
2234,1414,東和,19.5,0.15,0.78,26W33,08/14,8.56,-0.02,9.95,-0.06,11.5,-0.03,13.2,0.01
2235,1525,江申,68.0,0.6,0.89,26W33,08/14,9.53,-0.02,9.87,-0.01,11.5,-0.01,11.5,-0.01
2236,5522,遠雄,62.1,0.0,0.0,26W33,08/14,8.63,0.38,9.95,0.4,11.3,0.43,12.1,0.58
2237,1736,喬山,136.0,-4.5,-3.2,26W33,08/14,6.95,-0.05,8.57,0.01,11.3,0.42,12.5,-0.15
2238,7732,金興精密,34.5,0.7,2.07,26W33,08/14,6.74,0.08,9.28,0.19,11.3,-0.12,13.6,-0.12
2239,2466,冠西電,89.7,-2.9,-3.13,26W33,08/14,7.88,0.37,9.59,0.52,11.0,0.35,12.7,0.04
