排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 800張 以下 (%),800張 以下 增減,持股 1千張 以下 (%),1千張 以下 增減,持股 超過 1千張 (%),超過 1千張 增減
1256,6113,亞矽,23.6,0.8,3.51,26W30,07/24,47.8,0.0,47.8,0.0,52.2,0.0
1257,4561,健椿,43.85,3.95,9.9,26W30,07/24,43.8,-0.03,47.9,-0.03,52.1,0.03
1258,6203,海韻電,61.0,0.4,0.66,26W30,07/24,47.8,0.0,47.8,0.0,52.2,0.0
1259,6417,韋僑,118.5,0.0,0.0,26W30,07/24,41.3,-0.14,47.8,-0.1,52.2,0.1
1260,4433,興采,19.6,0.0,0.0,26W30,07/24,46.3,0.0,47.8,0.0,52.2,0.0
1261,4157,太景*-KY,8.77,0.29,3.42,26W30,07/24,46.0,0.02,47.9,0.14,52.1,-0.14
1262,1604,聲寶,23.2,0.15,0.65,26W30,07/24,46.4,0.33,47.6,0.33,52.4,-0.33
1263,1795,美時,188.0,-0.5,-0.27,26W30,07/24,46.1,0.6,47.8,0.52,52.2,-0.52
1264,6945,圓祥生技,99.6,2.7,2.79,26W30,07/24,41.4,-1.57,47.6,0.16,52.4,-0.16
1265,4569,六方科-KY,165.0,-1.0,-0.6,26W30,07/24,44.7,0.0,47.6,0.0,52.4,0.0
1266,6414,樺漢,474.0,6.0,1.28,26W30,07/24,45.8,-2.16,48.0,-2.73,52.0,2.73
1267,1522,堤維西,28.0,-1.75,-5.88,26W30,07/24,46.2,0.27,47.6,0.0,52.4,0.0
1268,6195,詩肯,27.15,0.0,0.0,26W30,07/24,47.6,0.0,47.6,0.0,52.4,0.0
1269,3624,光頡,74.8,-0.8,-1.06,26W30,07/24,44.5,-0.77,45.2,-2.21,54.8,2.21
1270,8279,生展,89.0,-2.0,-2.2,26W30,07/24,44.2,0.0,47.5,0.0,52.5,0.0
1271,3443,創意,4545.0,65.0,1.45,26W30,07/24,45.0,-0.66,47.0,-0.03,53.0,0.03
1272,3706,神達,91.7,-1.2,-1.29,26W30,07/24,47.9,-1.1,49.2,-1.08,50.8,1.08
1273,6875,國邑*,32.6,-0.25,-0.76,26W30,07/24,45.9,0.0,47.4,0.0,52.6,0.0
1274,6409,旭隼,1015.0,5.0,0.5,26W30,07/24,46.2,-0.2,48.4,-0.25,51.6,0.25
1275,006203,元大MSCI台灣,186.35,-1.3,-0.69,26W30,07/24,38.6,-0.6,48.4,-0.6,51.6,0.6
1276,4413,飛寶企業,14.9,0.15,1.02,26W30,07/24,47.4,-0.01,47.4,-0.01,52.6,0.01
1277,7721,微程式,62.0,0.6,0.98,26W30,07/24,44.4,0.0,48.0,0.0,52.0,0.0
1278,9927,泰銘,69.4,0.5,0.73,26W30,07/24,45.1,-0.01,47.3,0.0,52.7,0.0
1279,2387,精元,38.4,0.45,1.19,26W30,07/24,45.2,0.31,47.5,-0.59,52.5,0.59
1280,5426,振發,26.25,0.05,0.19,26W30,07/24,46.6,0.0,47.2,0.0,52.8,0.0
1281,2069,運錩,19.6,0.2,1.03,26W30,07/24,45.8,-0.43,47.8,0.08,52.2,-0.08
1282,4529,淳紳,4.19,0.09,2.2,26W30,07/24,46.1,0.0,47.2,0.0,52.8,0.0
1283,5604,中連,30.5,0.1,0.33,26W30,07/24,43.1,0.0,47.2,0.0,52.8,0.0
1284,3684,榮昌,52.5,1.5,2.94,26W30,07/24,46.9,0.0,46.9,0.0,53.1,0.0
1285,7772,耀穎,91.0,-3.4,-3.6,26W30,07/24,47.2,0.0,47.2,0.0,52.8,0.0
1286,8926,台汽電,62.0,-1.5,-2.36,26W30,07/24,45.3,0.15,46.6,0.23,53.4,-0.23
1287,00683L,期元大美元指正2,21.58,0.05,0.23,26W30,07/24,47.1,-1.46,47.1,-1.46,52.9,1.46
1288,1598,岱宇,20.3,0.3,1.5,26W30,07/24,44.9,0.0,47.0,0.0,53.0,0.0
1289,7584,樂意,25.35,-0.15,-0.59,26W30,07/24,41.5,0.0,47.0,0.0,53.0,0.0
1290,1474,弘裕,10.05,0.0,0.0,26W30,07/24,47.0,-0.03,47.0,-0.03,53.0,0.03
1291,3083,網龍,25.45,0.15,0.59,26W30,07/24,44.9,0.0,46.9,0.0,53.1,0.0
1292,6191,精成科,83.5,-1.4,-1.65,26W30,07/24,45.0,0.32,46.5,0.72,53.5,-0.72
1293,5283,禾聯碩,54.0,0.2,0.37,26W30,07/24,43.1,-0.04,47.4,-0.04,52.6,0.04
1294,4513,福裕,17.85,0.2,1.13,26W30,07/24,46.3,0.04,47.5,0.7,52.5,-0.7
1295,009806,台新標普500,13.82,-0.04,-0.29,26W30,07/24,48.7,1.04,48.7,1.04,51.3,-1.04
1296,6873,泓德能源,77.7,-0.9,-1.15,26W30,07/24,45.6,-0.02,47.5,-0.02,52.5,0.02
1297,4430,耀億,17.4,0.05,0.29,26W30,07/24,42.4,0.0,46.7,0.0,53.3,0.0
1298,1321,大洋,31.9,0.2,0.63,26W30,07/24,40.0,-0.23,46.7,0.09,53.3,-0.09
1299,6139,亞翔,802.0,-34.0,-4.07,26W30,07/24,40.2,1.09,45.0,1.22,55.0,-1.22
1300,3557,嘉威,26.15,-0.35,-1.32,26W30,07/24,45.7,0.0,46.7,0.0,53.3,0.0
1301,3017,奇鋐,2785.0,-155.0,-5.27,26W30,07/24,44.0,-0.87,47.1,-0.63,52.9,0.63
1302,6418,詠昇,32.05,0.2,0.63,26W30,07/24,47.3,-0.28,47.3,-0.28,52.7,0.28
1303,3130,一零四,203.5,0.5,0.25,26W30,07/24,46.0,0.68,46.0,0.68,54.0,-0.68
