排名,代號,名稱,市 場,成交,漲跌 價,漲跌 幅,成交 張數,法人 買賣 日期,外資 買賣超 張數,投信 買賣超 張數,自營 買賣超 張數,合計 買賣超 張數,外資 持有 (千張),外資 持股 (%),法人 買賣超 註記
206,4915,致伸,市,75.2,-1.1,-1.44,5070,06/23,-3108,85,-1,-3025,137.0,29.1,－＋－
207,6531,愛普*,市,1050.0,-65.0,-5.83,7926,06/23,763,6,67,836,47.3,29.0,＋＋＋
208,7744,崴寶,櫃,454.0,-22.0,-4.62,140,06/23,-49,0,-1,-50,9.23,28.8,－・－
209,2421,建準,市,146.5,-3.5,-2.33,2877,06/23,-315,0,-138,-453,82.4,28.7,－・－
210,3211,順達,櫃,427.5,-25.0,-5.52,7513,06/23,-1826,-2,-195,-2024,44.3,28.7,－－－
211,8429,金麗-KY,市,6.35,-0.04,-0.63,269,06/23,0,0,0,0,53.3,28.7,－・・
212,1304,台聚,市,12.8,-0.9,-6.57,7367,06/23,-2973,0,-337,-3310,340.0,28.6,－・－
213,3231,緯創,市,158.5,-4.0,-2.46,46745,06/23,-20307,7961,-429,-12775,911.0,28.6,－＋－
214,4737,華廣,市,57.5,0.0,0.0,43,06/23,9,0,0,9,22.1,28.5,＋・・
215,6187,萬潤,櫃,1170.0,-90.0,-7.14,1307,06/23,-141,-40,-14,-195,27.9,28.4,－－－
216,6933,AMAX-KY,市,152.5,-4.0,-2.56,145,06/23,-18,0,-2,-20,12.0,28.3,－・－
217,1476,儒鴻,市,312.5,-4.5,-1.42,2098,06/23,-376,310,-2,-68,77.4,28.2,－＋－
218,4938,和碩,市,80.4,-1.6,-1.95,17180,06/23,-1377,-1726,-399,-3502,748.0,27.9,－－－
219,6488,環球晶,櫃,1010.0,-105.0,-9.42,1977,06/23,-572,-91,478,-185,132.0,27.6,－－＋
220,9921,巨大,市,73.7,-1.8,-2.38,1575,06/23,-400,0,-14,-414,108.0,27.6,－・－
221,5457,宣德,櫃,36.0,-0.8,-2.17,1457,06/23,92,0,3,95,53.6,27.3,＋・＋
222,2455,全新,市,398.0,-11.5,-2.81,1611,06/23,610,-28,24,606,50.1,27.1,＋－＋
223,4764,雙鍵,市,346.5,14.5,4.37,5370,06/23,981,0,14,995,23.1,27.0,＋・＋
224,2885,元大金,市,68.3,-0.5,-0.73,40537,06/23,1505,-14182,-519,-13196,3571.0,26.8,＋－－
225,4935,茂林-KY,市,38.75,-0.9,-2.27,216,06/23,-7,0,1,-6,34.2,26.6,－・＋
226,3036,文曄,市,220.5,-4.5,-2.0,12581,06/23,2681,-3837,-10,-1166,337.0,26.5,＋－－
227,3443,創意,市,4725.0,-30.0,-0.63,1911,06/23,239,-128,-8,103,35.5,26.5,＋－－
228,6592,和潤企業,市,65.5,-0.2,-0.3,468,06/23,-41,1,2,-38,165.0,26.5,－＋＋
229,2368,金像電,市,1265.0,-120.0,-8.66,9348,06/23,-2313,-1213,99,-3428,137.0,26.4,－－＋
230,4414,如興,市,8.42,0.03,0.36,241,06/23,97,0,-4,93,69.6,26.4,＋・－
231,1340,勝悅-KY,市,5.47,-0.19,-3.36,136,06/23,-10,0,0,-10,40.3,26.3,－・・
