排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
289,00719B,元大美債1-3,30.88,0.0,0.0,06/08,0.48,0.51,0.52,0.47,0.29,0.1,-1.53,-0.93,9.44,17.1,,-0.18
290,2030,彰源,18.8,0.3,1.62,06/08,0.21,0.28,0.22,0.47,0.72,2.19,2.1,1.7,1.55,1.61,1.33,1.63
291,2376,技嘉,345.0,-24.0,-6.5,06/08,0.32,1.11,0.74,0.47,0.97,1.06,10.2,5.53,4.96,-5.46,-11.9,7.2
292,00900,富邦特選高股息30,18.7,-1.08,-5.46,06/08,0.12,0.18,0.2,0.46,1.54,3.74,10.9,19.2,19.3,25.4,,17.6
293,00714,群益道瓊美國地產,21.47,0.03,0.14,06/08,0.96,1.4,1.52,0.46,2.16,6.49,10.5,17.0,17.0,17.8,,16.0
294,8431,匯鑽科,51.3,-3.0,-5.52,06/08,0.4,0.43,0.18,0.46,0.16,-0.26,-4.92,-7.25,-4.96,-5.8,-5.86,-1.05
295,1301,台塑,45.85,-3.05,-6.24,06/08,-0.21,-0.28,-0.01,0.46,0.43,-0.19,2.11,3.33,4.37,-2.45,-5.65,4.51
296,2471,資通,53.6,0.0,0.0,06/08,0.21,0.22,0.3,0.46,1.32,-0.04,1.52,2.5,0.78,6.38,3.71,2.46
297,1563,巧新,60.5,-4.8,-7.35,06/08,-0.08,-0.01,0.3,0.45,2.14,3.01,3.22,2.85,2.45,,,2.88
298,5706,鳳凰,52.4,-0.8,-1.5,06/08,0.14,0.22,0.39,0.45,0.87,-0.09,0.91,0.39,-0.49,-9.13,-2.46,0.44
299,3167,大量,865.0,-85.0,-8.95,06/08,-0.46,-0.39,-0.27,0.45,0.54,-2.37,-5.57,5.44,9.1,7.84,8.59,0.2
300,2438,翔耀,22.4,-1.75,-7.25,06/08,0.24,0.27,0.28,0.45,0.12,0.35,1.09,0.99,0.58,0.32,1.53,0.99
