"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(萬張)","超過600張增減(張)","超過600張增減(%)","持股超過800張(萬張)","超過800張增減(張)","超過800張增減(%)","持股超過1千張(萬張)","超過1千張增減(張)","超過1千張增減(%)"
"658","6226","光鼎","12.8","-0.8","-5.88","26W19","05/08","2.32","+699","+3.11","1.88","-10","-0.05","1.79","-10","-0.06"
"659","4178","永笙-KY","18.35","-0.5","-2.65","26W19","05/08","15.9","+2,585","+1.65","15.3","+3,385","+2.26","15.2","+3,385","+2.28"
"660","5493","三聯","94.1","+1","+1.07","26W19","05/08","1.58","-90","-0.57","1.43","-850","-5.61","1.09","0","0"
"661","8404","百和興業-KY","17.3","-0.15","-0.86","26W19","05/08","31.8","+431","+0.14","31.1","-165","-0.05","30.8","-197","-0.06"
"662","2417","圓剛","46.05","-2.75","-5.64","26W19","05/08","6.74","+1,409","+2.13","6.46","+0.45","0","6.2","+0.45","0"
"663","6781","AES-KY","1060","-75","-6.61","26W19","05/08","6.11","-28.1","-0.05","5.97","-9","-0.02","5.97","-9","-0.02"
"664","3484","崧騰","43.85","-0.8","-1.79","26W19","05/08","1.87","-1,204","-6.05","1.68","+23","+0.14","1.42","+23","+0.16"
"665","1473","台南","21","-0.3","-1.41","26W19","05/08","10.3","+141","+0.14","10.2","+139","+0.14","10.1","+139","+0.14"
"666","4130","健亞","25.85","-0.45","-1.71","26W19","05/08","8.64","+166","+0.19","8.51","+86.6","+0.1","8.51","+86.6","+0.1"
"667","5523","豐謙","30.45","0","0","26W19","05/08","13.9","+282","+0.2","13.8","+282","+0.21","13.6","+282","+0.21"
"668","4706","大恭","31.75","-0.2","-0.63","26W19","05/08","6.22","+12","+0.02","6.15","+12","+0.02","6.06","+12","+0.02"
"669","4502","健信","15.9","-0.05","-0.31","26W19","05/08","3.8","+203","+0.54","3.59","+203","+0.57","3.34","+203","+0.61"
"670","3483","力致","96.8","-1.2","-1.22","26W19","05/08","1.84","+149","+0.82","1.63","+803","+5.19","1.08","-100","-0.92"
"671","00746B","富邦A級公司債","35.39","-0.17","-0.48","26W19","05/08","241","+7,548","+0.31","241","+8,241","+0.34","241","+8,241","+0.34"
"672","7786","東方風能","120","-5","-4","26W19","05/08","14","-1.51","0","13.7","0","0","13.6","0","0"
"673","2368","金像電","1360","+45","+3.42","26W19","05/08","39","+1,512","+0.39","37","-547","-0.15","36","-595","-0.17"
"674","4557","永新-KY","45.1","-0.6","-1.31","26W19","05/08","1.94","-14","-0.07","1.62","-24","-0.15","1.37","-23","-0.17"
"675","5321","美而快","41","-4.55","-9.99","26W19","05/08","2.9","+490","+1.72","2.7","0","0","2.6","0","0"
"676","1444","力麗","7.1","+0.25","+3.65","26W19","05/08","63.1","-970","-0.15","61.5","-746","-0.12","60.1","-2,381","-0.39"
"677","3010","華立","131.5","-7.5","-5.4","26W19","05/08","16.1","-387","-0.24","14.6","-615","-0.42","14.2","-2,532","-1.75"
"678","9946","三發地產","16.85","-0.3","-1.75","26W19","05/08","25.6","+92","+0.04","25.4","+47","+0.02","25","0","0"
"679","00666R","富邦恒生國企反1","9.3","+0.15","+1.64","26W19","05/08","1.22","+367","+3.12","1.22","+367","+3.12","1.22","+367","+3.12"
"680","00922","國泰台灣領袖50","38.47","-1.22","-3.07","26W19","05/08","52.7","+10,427","+2.02","51.3","+11,649","+2.32","50.4","+8,715","+1.76"
"681","4994","傳奇","90","+2.4","+2.74","26W19","05/08","5.53","+24","+0.04","5.33","-2","0","5.24","0","0"
"682","6901","鑽石投資","15.7","+1.4","+9.79","26W19","05/08","72.5","-1,353","-0.19","72.1","-2,104","-0.29","71.8","-292","-0.04"
"683","4157","太景*-KY","8.91","-0.21","-2.3","26W19","05/08","39.7","-641","-0.16","38.2","+203","+0.05","37","-664","-0.18"
