"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"127","00850","元大臺灣ESG永續","80.75","-1.1","-1.34","05/15","-17","-533","-533","-561","-639","-637","-762","-716","-4,943","-1,685"
"128","3498","陽程","149","+13.5","+9.96","05/15","-387","-503","-505","-551","-250","+59","-373","-548","+68","-4"
"129","3704","合勤控","38.2","+1.5","+4.09","05/15","+82","-10","+342","-549","-856","-6,867","-13,283","-3,215","-66","-8,397"
"130","8464","億豐","315","-13","-3.96","05/15","-30","-315","-298","-547","-449","-938","-8,328","-2,557","+1,284","-7,698"
"131","1605","華新","34.9","-0.7","-1.97","05/15","-2,565","-4,065","-4,085","-545","+3,914","+4,168","-46,340","-88,188","+69,171","-105,838"
"132","8215","明基材","27.15","+0.4","+1.5","05/15","-773","-712","-643","-544","-492","-175","+1,622","+4,527","+2,334","+3,634"
"133","3653","健策","3465","+100","+2.97","05/15","-131","-342","-575","-537","-758","-410","-1,778","+1,615","+2,022","-1,400"
"134","2367","燿華","61.8","-3.2","-4.92","05/15","+83","+452","-1,136","-528","-528","+10,441","+12,664","+35,863","+39,754","+10,970"
"135","4967","十銓","276","-9","-3.16","05/15","-31","-216","-214","-525","-1,774","-1,225","+2,377","+1,953","+818","+2,095"
"136","3037","欣興","821","-60","-6.81","05/15","-543","-387","-332","-524","+3,514","+2,944","+2,993","-19,740","-31,418","+1,371"
"137","8926","台汽電","61.1","+3.5","+6.08","05/15","+35","-272","-310","-522","-891","-456","-493","+1,180","-4,899","+373"
"138","00878","國泰永續高股息","27.9","-0.22","-0.78","05/15","+30","+78","+78","-518","-2,954","+1,611","+11,723","-26,859","-44,156","+9,193"
"139","3026","禾伸堂","327","-30.5","-8.53","05/15","-99","-149","-605","-515","+366","+534","+1,236","+867","+2,585","-205"
"140","6526","達發","688","-18","-2.55","05/15","-16","-219","-236","-506","-805","-999","-944","+88","+808","-114"
"141","00720B","元大投資級公司債","32.62","-0.17","-0.52","05/15","-500","-500","-500","-500","-500","-446","+470","-3,588","-5,318","-1,280"
"142","00922","國泰台灣領袖50","35.8","-0.45","-1.24","05/15","-1,217","-1,236","-1,236","-498","-336","-4,502","+5,020","-18,567","-7,075","-10,866"
"143","2015","豐興","62.6","-0.5","-0.79","05/15","-25","-130","-380","-487","-606","-474","+512","+1,588","+3,938","+1,264"
"144","2486","一詮","249","-10","-3.86","05/15","-57","-144","-317","-481","-621","-886","-6,831","-19,584","-13,494","-19,048"
"145","8021","尖點","441.5","-49","-9.99","05/15","-805","-980","-476","-476","-689","-2,152","-920","-8,891","+720","-3,655"
"146","1708","東鹼","39.65","-0.85","-2.1","05/15","-503","-503","-308","-461","-305","-254","+758","-1,130","+1,217","+310"
"147","6197","佳必琪","218.5","-8","-3.53","05/15","+12","+189","+135","-450","-2,462","-727","-3,475","-3,693","-1,817","-3,351"
"148","3533","嘉澤","2330","-120","-4.9","05/15","-39","-235","-294","-447","-923","-790","-3,156","-1,760","+934","-1,594"
"149","8454","富邦媒","187.5","-3.5","-1.83","05/15","+3","-196","-158","-437","-366","+60","-30","+2,512","+4,347","+799"
"150","4991","環宇-KY","642","-66","-9.32","05/15","-77","-126","-143","-412","-120","-71","-557","-1,850","-4,036","-309"
"151","5289","宜鼎","1760","-105","-5.63","05/15","-66","-460","-476","-404","-47","+2,081","+3,811","+3,513","+2,547","+2,685"
"152","4977","眾達-KY","226.5","-9","-3.82","05/15","-54","-591","-681","-403","+181","-444","-2,172","-2,393","+2,412","-1,924"
"153","006208","富邦台50","220.4","-2.1","-0.94","05/15","-69","-69","-103","-392","-1,928","-2,204","+6,260","-3,445","-30,198","+3,927"
"154","2457","飛宏","23.85","-0.85","-3.44","05/15","+161","-73","-143","-384","-955","-1,394","-5,399","-8,636","+9,167","-8,387"
"155","6104","創惟","96.6","-2.3","-2.33","05/15","+9","-6","-98","-384","-798","-62","-1,019","+2,063","+5,090","+593"
"156","9802","鈺齊-KY","75.5","-1.5","-1.95","05/15","+46","-161","-118","-384","-813","-590","-437","+3,716","+12,343","+945"
"157","00936","台新永續高息中小","19.22","-0.36","-1.84","05/15","0","0","-29","-382","+141","+2,189","+2,016","+2,209","+844","-43"
"158","4714","永捷","13.25","-0.55","-3.99","05/15","-365","-378","-481","-377","-388","-1,029","-2,145","-2,032","-674","-761"
"159","1584","精剛","19.75","0","0","05/15","+23","-106","-9","-369","-788","-1,706","-5,349","-11,364","-8,679","-10,663"
"160","1597","直得","179.5","-0.5","-0.28","05/15","+1","+2","-240","-365","-611","-304","-1,160","-2,230","-1,555","-1,614"
"161","00888","永豐台灣ESG","30.66","-0.46","-1.48","05/15","0","-469","-330","-364","-885","-920","+1,889","+1,676","+972","+1,859"
"162","6841","長佳智能","60.1","+0.5","+0.84","05/15","-39","-68","-323","-363","-576","-538","+634","+605","+792","+670"
"163","1723","中碳","79.3","-1.4","-1.73","05/15","-8","-220","-245","-358","-325","-2,636","-3,370","-1,013","+5,401","-3,407"
"164","5009","榮剛","37.3","-0.2","-0.53","05/15","+285","+561","+372","-343","-1,683","-685","+551","+6,280","-557","+2,104"
"165","6890","來億-KY","165.5","+4","+2.48","05/15","+10","-292","-302","-343","+32","+474","-915","-786","+818","-542"
"166","3047","訊舟","14.2","-0.15","-1.05","05/15","+48","-218","-232","-333","-527","-210","-2,203","-4,479","+2,975","-4,025"
"167","6515","穎崴","9780","-760","-7.21","05/15","-73","-117","-199","-330","-389","-381","-260","-330","-822","-530"
"168","6274","台燿","1305","-145","-10","05/15","-123","-122","-187","-326","-282","-1,679","-6,046","-6,357","-8,677","-11,454"
"169","2308","台達電","2075","-80","-3.71","05/15","-561","-555","-451","-311","+771","+2,836","+3,503","+3,396","+1,050","+3,703"
"170","8415","大國鋼","35.35","+0.55","+1.58","05/15","0","-109","-192","-306","-145","+531","+1,556","+1,334","-445","+1,220"
"171","3163","波若威","950","-70","-6.86","05/15","-82","-121","-123","-306","+229","+450","+323","-4,312","-4,479","-22"
"172","3624","光頡","76.2","+3","+4.1","05/15","-3","-362","-482","-305","+70","+13","-1,217","-1,157","+659","-2,164"
"173","00675L","富邦臺灣加權正2","271.05","-7.35","-2.64","05/15","-149","-294","-294","-297","-499","-1,124","-526","+2,166","-1,836","-619"
"174","2059","川湖","4860","-150","-2.99","05/15","-78","-241","-296","-295","-337","-50","-312","-881","-658","-1,333"
"175","3693","營邦","546","-8","-1.44","05/15","-56","-59","-212","-286","+169","+379","+211","+699","+988","+457"
"176","3605","宏致","77.1","-3.1","-3.87","05/15","+57","-240","-385","-284","+514","-461","-1,122","-715","+3,040","-21"
"177","2467","志聖","587","-23","-3.77","05/15","+22","-52","-178","-284","-686","-1,617","-658","-6,638","-3,106","-1,406"
"178","1714","和桐","9.84","-0.16","-1.6","05/15","+56","+64","-386","-281","+517","+893","+4,194","+4,512","+1,295","+4,954"
"179","3717","聯嘉投控","22.15","-0.05","-0.23","05/15","-14","-582","-500","-263","+1,300","+1,482","+2,075","+3,763","","+3,692"
"180","00997A","主動群益美國增長","12.37","-0.42","-3.28","05/15","+558","-446","-146","-262","+4,125","-1,023","","","",""
"181","2646","星宇航空","20.1","-0.1","-0.5","05/15","+694","+122","+628","-262","-2,211","-456","+10,361","+23,116","+92,372","+22,017"
"182","00738U","期元大道瓊白銀","64.7","-5.65","-8.03","05/15","0","0","-222","-261","-261","-344","-1,376","+1,888","-3,426","+688"
"183","6414","樺漢","319.5","-35.5","-10","05/15","-44","-76","-169","-255","-289","-688","-34","+457","+1,138","-558"
"184","2332","友訊","13.8","+0.05","+0.36","05/15","+282","-39","+245","-253","+78","+2,293","+2,223","+2,089","-393","+3,539"
