"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"52","2371","大同","30.55","-0.3","-0.97","26,689","05/08","+144","-977","-1,405","-1,519","-1,883","+1,402","+1,462","-3,994","-15,459","-6,142"
"53","1310","台苯","8.63","-0.25","-2.82","3,765","05/08","+114","+203","+241","-1,514","-1,748","-1,872","+7,576","+8,570","+9,215","+7,218"
"54","1597","直得","173","-7.5","-4.16","1,606","05/08","-154","-135","-1,858","-1,485","+1,048","+2,542","+3,925","+3,555","+3,878","+3,798"
"55","8027","鈦昇","203","-1","-0.49","3,138","05/08","-242","+231","-25","-1,454","+2,599","+3,331","+4,083","+5,543","+6,881","+4,293"
"56","6165","浪凡","52","+0.6","+1.17","4,250","05/08","-905","-846","-1,588","-1,446","-6,258","-6,236","-6,530","-7,222","-8,640","-6,985"
"57","2603","長榮","211.5","-2","-0.94","12,483","05/08","-252","-456","-801","-1,425","-1,187","-1,783","-3,782","-8,665","-3,017","-5,466"
"58","1727","中華化","72.3","-5.9","-7.54","8,659","05/08","-795","-235","-579","-1,408","+307","+2,570","+4,047","+3,750","+7,024","+2,474"
"59","6116","彩晶","9.2","-0.2","-2.13","84,006","05/08","-7,293","-966","-1,781","-1,398","-404","-878","-6,472","+2,782","+1,968","+5,556"
"60","3026","禾伸堂","330","+30","+10","22,733","05/08","-1,345","-163","-1,609","-1,387","-2,104","+7,605","+14,020","+13,509","+16,621","+13,718"
"61","9105","泰金寶-DR","5.68","-0.07","-1.22","19,226","05/08","-70","-1,806","-711","-1,380","-3,498","+963","+2,022","+4,717","+12,477","+457"
"62","00650L","復華香港正2","18","-0.32","-1.75","3,344","05/08","+94","-1,306","-1,557","-1,259","-1,239","+622","-2,705","-10,557","-29,142","-5,372"
"63","00706L","期元大S&P日圓正2","19.89","-0.11","-0.55","1,267","05/08","-366","-380","-425","-1,258","-1,116","-1,632","+248","+2,137","-2,820","+48"
"64","6285","啟碁","247.5","-8.5","-3.32","49,913","05/08","-2,366","-3,233","-3,321","-1,256","-1,025","+507","-5,162","+9,529","+13,490","+11,055"
"65","2881","富邦金","96.7","+2.2","+2.33","58,348","05/08","-563","-714","-876","-1,250","-1,272","-1,374","-2,820","-2,783","-5,782","-1,346"
"66","1305","華夏","12.75","-0.25","-1.92","3,097","05/08","+88","-46","-204","-1,246","-1,650","-1,563","+3,750","+3,949","+5,263","+3,837"
"67","1304","台聚","12.7","-0.3","-2.31","5,050","05/08","+248","-87","-350","-1,192","-1,235","-1,225","+7,344","+6,954","+7,204","+7,069"
"68","3535","晶彩科","128.5","-3.5","-2.65","4,894","05/08","-216","-639","-929","-1,160","+81","+572","-2,054","-2,697","+4,341","-2,651"
"69","2027","大成鋼","39.6","+0.5","+1.28","33,349","05/08","-665","-760","-870","-1,153","-4,357","-1,619","+804","+4,963","+23,377","+2,571"
"70","2382","廣達","340.5","-3.5","-1.02","17,407","05/08","-576","-858","-826","-1,122","-281","-1,838","-4,771","-8,981","-9,269","-9,017"
"71","6789","采鈺","603","+22","+3.79","10,024","05/08","+141","-28","-1,610","-1,111","-1,555","-1,739","-2,362","+3,899","+9,103","+1,322"
"72","1312","國喬","11.6","-0.5","-4.13","4,496","05/08","+192","+93","-51","-1,089","-546","+297","+423","+1,894","-1,358","+2,304"
