"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","外資連續買賣日數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣日數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣日數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣日數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"1218","泰山","19.1","+0.05","+0.26","05/08","+2","+339","21.4","0.07","0","0","0","0","+1","+1","0.13","0","+2","+338","21.4","0.07"
"1229","聯華","42.15","+0.45","+1.08","05/08","+2","+1,159","18.7","0.06","0","0","0","0","-2","-17","-0.28","0","+2","+1,179","19","0.07"
"1342","八貫","94.2","-1.4","-1.46","05/08","+2","+115","12.2","0.15","0","0","0","0","-3","-61","-4.15","-0.08","+2","+70","7.38","0.09"
"1419","新紡","64.3","0","0","05/08","+2","+65","45.9","0.02","0","0","0","0","+1","+1","1.54","0","+2","+64","45.2","0.02"
"1449","佳和","12.95","-0.15","-1.15","05/08","+2","+329","14.5","0.26","0","0","0","0","-1","0","0","0","+2","+330","14.6","0.26"
"1464","得力","10","-0.05","-0.5","05/08","+2","+267","31.6","0.06","0","0","0","0","-1","-2","-0.46","0","+2","+275","32.6","0.06"
"1540","喬福","20.9","-0.25","-1.18","05/08","+2","+130","25.5","0.15","0","0","0","0","+1","+5","1.75","0.01","+2","+131","25.7","0.15"
"1568","倉佑","28.9","-0.55","-1.87","05/08","+2","+27","3.68","0.03","0","0","0","0","+1","+1","0.35","0","+2","+25","3.41","0.02"
"1732","毛寶","26.5","+0.1","+0.38","05/08","+2","+74","8.26","0.18","0","0","0","0","0","0","0","0","+2","+74","8.26","0.18"
"1735","日勝化","25.4","-0.5","-1.93","05/08","+2","+145","11.5","0.15","0","0","0","0","+2","+5","0.41","0.01","+2","+150","12","0.15"
