"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"185","1233","天仁","28.75","-0.05","-0.17","05/11","+4.53","+11.8","+19.8","+20.2","+16.4","+21.8","+8.79","+3.45","+1.91","+2.16","-0.72","+4.73"
"186","6908","宏碁遊戲-創","39.45","-0.65","-1.62","05/11","+13.6","+18.5","+19","+20","+20.5","+11.4","","","","","",""
"187","00907","永豐優息存股","14.97","+0.08","+0.54","05/11","+17.7","+17","+27.6","+20","+13.8","+6.05","+2.25","+2.45","+4.29","+0.25","","+2.95"
"188","6115","鎰勝","47.8","-0.05","-0.1","05/11","+6.52","+13.8","+24.3","+20","+11","+15.4","+6.89","+6.79","+2.38","+0.79","-4.24","+6.65"
"189","2882","國泰金","78.4","-1.6","-2","05/11","-23","+19","+6.42","+19.9","+22.5","+6.53","-1.75","+12.9","-6.68","-0.07","-0.35","+4.71"
"190","1316","上曜","11.45","+0.25","+2.23","05/11","+25.1","+6.16","-4.39","+19.8","+16.4","+7.22","+5.46","+1.22","+1.44","-0.08","-0.06","-0.66"
"191","5356","協益","26.95","-0.15","-0.55","05/11","+12.2","+10.7","+23","+19.8","+10.8","+6.57","+0.04","-0.52","-1.57","+0.36","-0.32","+0.55"
"192","2069","運錩","20.45","+0.85","+4.34","05/11","+3.61","+16.9","+19.6","+19.6","+13","+10.3","+5.03","+2.71","-1.77","+0.66","+0.11","+3.5"
"193","6202","盛群","59.5","+4.3","+7.79","05/11","+42.3","+20.9","+19.1","+19.6","+15.1","+3.19","+2.44","+1.87","+0.56","-1.13","-0.35","+1.96"
"194","00863B","中信全球電信債","32.02","+0.08","+0.25","05/11","+44.1","+31.9","+22.5","+19.4","+9.99","+4.03","+1.68","-0.24","-0.4","+40.3","","-0.36"
"195","6728","上洋","114.5","-0.5","-0.43","05/11","+2.07","+10.2","+20.4","+19.4","+9.06","+11.3","+2.86","+1.69","-3.36","-0.33","","+0.69"
