"代號","名稱","成交","漲跌價","漲跌幅","法人買賣週別","更新日期","外資連續買賣週數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣週數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣週數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣週數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"3228","金麗科","241.5","-0.5","-0.21","26W20","05/11","-1","-27","-2.93","-0.04","+2","+5","0.08","0.01","-1","-17","-1.8","-0.02","-1","-42","-4.52","-0.06"
"3443","創意","5730","+520","+9.98","26W20","05/11","+1","+491","20.3","0.37","+2","+1,725","9.49","1.29","-2","-249","-1.37","-0.19","+1","+500","20.7","0.37"
"3545","敦泰","57.6","+0.9","+1.59","26W20","05/11","+2","+2,359","12.7","1.07","+2","+10","0.05","0","+8","+463","0.57","0.21","+2","+2,569","13.8","1.16"
"3661","世芯-KY","5375","+485","+9.92","26W20","05/11","+6","+9,920","15.2","12.2","+2","+113","0.73","0.14","+2","+249","1.6","0.31","+6","+11,573","17.8","14.2"
"4915","致伸","71.7","-0.8","-1.1","26W20","05/11","-5","-16,126","-27.4","-3.42","+2","+1,353","5.86","0.29","-2","-8","-0.04","0","-13","-56,953","-34","-12.1"
"4919","新唐","184","+16.5","+9.85","26W20","05/11","+1","+3,564","7.12","0.85","+2","+18","0.01","0","+2","+1,113","0.66","0.27","+1","+4,579","9.15","1.09"
"4968","立積","121","+1.5","+1.26","26W20","05/11","-4","-3,964","-9.23","-4.3","+2","+14","0.12","0.02","+2","+41","0.36","0.04","-4","-3,859","-8.99","-4.18"
"5009","榮剛","40.15","+3.65","+10","26W20","05/11","+4","+12,008","13.3","1.99","+2","+1,415","2.45","0.23","+6","+2,577","2.48","0.43","+4","+15,008","16.7","2.49"
"5236","凌陽創新","168","-0.5","-0.3","26W20","05/11","-1","-98","-13.2","-0.16","+2","+6","0.15","0.01","+3","+31","0.51","0.05","-1","-81","-10.9","-0.13"
"5347","世界","174.5","+7","+4.18","26W20","05/11","-1","-6,651","-13.6","-0.36","+2","+6,735","2.34","0.36","+1","+732","1.5","0.04","-1","-2,957","-6.04","-0.16"
"5351","鈺創","80.1","+5","+6.66","26W20","05/11","+3","+13,430","4.45","4.09","+2","+58","0.03","0.02","-1","0","0","0","+3","+13,495","4.47","4.11"
"5483","中美晶","163.5","+14.5","+9.73","26W20","05/11","+1","+2,674","7.89","0.42","+2","+16,602","9.43","2.59","+3","+434","0.16","0.07","+2","+10,990","6.24","1.71"
"5880","合庫金","23","-0.05","-0.22","26W20","05/11","-4","-62,058","-24","-0.4","+2","+628","0.65","0","-1","-22","-0.15","0","-4","-61,634","-23.8","-0.39"
"5904","寶雅","577","-12","-2.04","26W20","05/11","-1","-31","-10.4","-0.03","+2","+39","1.62","0.04","-2","-8","-0.33","-0.01","-1","-29","-9.69","-0.03"
"6104","創惟","103","+1","+0.98","26W20","05/11","+3","+1,998","9.14","2.19","+2","+9","0.06","0.01","+2","+110","0.77","0.12","+3","+2,049","9.38","2.25"
"6139","亞翔","679","-35","-4.9","26W20","05/11","-3","-5,376","-15.5","-2.28","+2","+273","1.23","0.12","+2","+165","0.74","0.07","-3","-5,054","-14.6","-2.15"
"6196","帆宣","425","+15","+3.66","26W20","05/11","-1","-537","-12.2","-0.24","+2","+445","2.01","0.2","+2","+79","0.36","0.04","-1","-79","-1.8","-0.04"
