"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"148","6176","瑞儀","99.6","-0.9","-0.9","05/15","61.7","48.9","48.5","42.4","38.6","35.9","42.8","41.1","43.5","41.6","33.4","41.2"
"149","6584","南俊國際","658","-9","-1.35","05/15","48.6","56.3","48.4","47.6","45.8","44.2","36.5","29.5","25.6","","","32.7"
"150","2010","春源","22.75","-0.6","-2.57","05/15","52.6","49.1","48.2","43.7","48.1","40","34.6","30.8","31","30.9","20.5","31.8"
"151","9930","中聯資源","68.5","-0.6","-0.87","05/15","59.7","55.2","48.2","44.2","36.1","30.6","16","9.91","4.18","0.85","0.31","16.6"
"152","2022","聚亨","7.64","-0.26","-3.29","05/15","44.3","50","48.2","39.8","37","36.6","28","23.1","22.4","20.9","11.7","24.8"
"153","4142","國光生","17.2","-0.5","-2.82","05/15","67.7","57.4","48.2","47","38","38.1","32.3","33.7","30","27.7","12.1","33.4"
"154","1440","南紡","11.5","-0.15","-1.29","05/15","56.4","48.7","48.1","46.4","49.9","44","38.4","35.2","30.4","26.8","18.6","36.2"
"155","6906","現觀科","64.8","+0.1","+0.15","05/15","59.1","59.5","48.1","50.4","41.2","34.1","25.5","13.8","7.79","","","21.9"
"156","1535","中宇","49.25","-0.15","-0.3","05/15","57.8","49.2","47.9","47.4","40.7","32.3","27.6","22.2","19.6","23.9","15.8","22.6"
"157","6153","嘉聯益","16.8","-1","-5.62","05/15","49.3","40.4","47.8","41.3","38.3","33.5","32.2","32.8","30.3","29.9","15.2","32.5"
"158","6121","新普","368","-4.5","-1.21","05/15","62.7","50.7","47.7","46.4","42.7","43.1","50.8","46.3","47.1","42.9","34.5","44.5"
"159","5292","華懋","227","+4","+1.79","05/15","51.2","50.4","47.6","34.5","31.4","30.7","28.2","24.7","24","","","26.1"
"160","6277","宏正","71.9","+0.5","+0.7","05/15","40.1","43.9","47.6","44.3","37.4","32.2","25.7","25.2","24.7","27.2","24.7","25.8"
"161","5234","達興材料","399","-19","-4.55","05/15","52.5","46.5","47.6","38.8","40.9","35.5","37.4","34.6","31.2","29.8","24","34.8"
"162","1519","華城","823","-47","-5.4","05/15","45.1","45.4","47.6","42.2","38.9","37.1","35.9","31.7","28.4","25.9","21.5","32.9"
"163","2301","光寶科","204.5","-2.5","-1.21","05/15","48","45.6","47.5","39.6","38.5","38.2","41","39.1","37.4","40.6","47.3","39.5"
"164","2753","八方雲集","177","-0.5","-0.28","05/15","63.8","62.8","47.4","38.6","38.8","40.3","42","43.1","34.5","31.5","","43.7"
"165","6021","美好證","31.55","-0.5","-1.56","05/15","39.1","47.2","47.3","28.7","23.9","24.5","25.7","20.4","16","10.3","5.8","22"
"166","1472","三洋實業","89.6","+0.4","+0.45","05/15","24.5","45.3","47.3","37.1","23.6","25.9","16.3","18","28.2","19.8","5.88","18.9"
"167","1434","福懋","15.2","-0.15","-0.98","05/15","62.6","51.4","47.3","47.6","40.6","42.2","42.1","34.2","41.4","39.6","42.4","34.1"
"168","9937","全國","56.3","0","0","05/15","29.7","60.2","47.3","43.6","26.6","29.5","6.38","1.91","0.84","0.43","0.98","8.13"
"169","2308","台達電","2075","-80","-3.71","05/15","49.8","45.8","47.3","54.7","53.6","55.7","53.2","50.2","50.8","53.9","55.7","49.9"
"170","6944","兆聯實業","897","-16","-1.75","05/15","45.3","46","47.2","46.7","38.1","38.9","20.8","11.7","","","","19.9"
"171","3380","明泰","31","-0.6","-1.9","05/15","46.8","47.3","47.1","46.9","49.1","35.9","31.1","31.5","32.4","30.8","20.5","30.9"
"172","2597","潤弘","162.5","+4.5","+2.85","05/15","32.6","41","47","39.8","40.3","42.5","51.4","48.5","42.8","36.5","24.9","49.2"
"173","1313","聯成","10.5","-0.05","-0.47","05/15","45.5","44.2","46.8","39.7","31.1","33","33.1","33.2","32.6","34.2","24.7","33.4"
"174","4770","上品","226.5","+3","+1.34","05/15","37.2","44.4","46.8","37.3","34","35.6","36.2","34.7","30.8","30","","34.2"
"175","6431","光麗-KY","20.8","-0.2","-0.95","05/15","26.6","39.2","46.7","33","23.7","21.8","24.4","15.5","21.2","15.8","8.5","23.6"
"176","5876","上海商銀","40.1","-0.2","-0.5","05/15","42.5","44.9","46.6","36.6","45.8","54.8","63.3","54.7","54.3","57.6","","59.3"
"177","2511","太子","7.6","-0.04","-0.52","05/15","55","50.8","46.6","48.7","40.7","40.6","39.9","54.2","43.6","37.9","26.4","38.9"
"178","00867B","新光A-BBB電信債","31.15","-0.16","-0.51","05/15","75.1","73.7","46.5","26.4","18.6","9.86","5.78","5.23","2.04","1.06","","4.53"
"179","2104","國際中橡","9.72","-0.22","-2.21","05/15","52.1","46.8","46.4","30.2","30.5","31.4","33.1","34","35.2","34.3","22.7","32.1"
"180","6191","精成科","90.8","-1.7","-1.84","05/15","47.6","47.6","46.3","43.6","40.6","35.9","34.4","32","27.9","27.9","21.2","33.4"
"181","1736","喬山","118.5","+2","+1.72","05/15","30.3","43","46.2","41.5","39","34.3","37.3","39.3","42.8","37.8","25.2","38.8"
"182","2023","燁輝","13.9","-0.05","-0.36","05/15","53.4","49.8","46.1","47.4","40.6","39","44.6","44.7","45.7","32.3","20.1","42.8"
"183","9940","信義","18.25","-0.35","-1.88","05/15","43.9","49.4","46.1","42.3","40.5","39","22","31.8","6.51","2.07","0.65","23.2"
