"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"47","00650L","復華香港正2","18.12","-0.08","-0.44","3,284","05/13","-18","+34","+10","+141","+287","+153","-719","-1,779","-2,316","-783"
"48","1605","華新","35.2","+0.7","+2.03","57,385","05/13","-152","-205","-107","+141","+106","+171","-1,769","-1,250","-110","-817"
"49","2481","強茂","121","+5.5","+4.76","67,427","05/13","+57","+91","+168","+141","+117","+432","+79","-129","+361","+20"
"50","0056","元大高股息","45.15","-0.43","-0.94","70,168","05/13","+18","+50","+73","+139","+195","+162","+36","+216","-25","-92"
"51","8926","台汽電","56.7","+5.1","+9.88","19,499","05/13","+55","+67","+113","+138","+143","+133","+309","+308","+298","+324"
"52","3035","智原","194","-14.5","-6.95","21,341","05/13","+49","+95","+148","+135","+103","+446","-764","-198","-458","-109"
"53","2377","微星","115.5","+10.5","+10","102,611","05/13","+122","+114","+151","+131","+163","+254","+89","+110","+232","+65"
"54","3236","千如","38.85","+3.5","+9.9","20,846","05/13","+118","+121","+121","+129","+129","+73","+25","+2","+128","-122"
"55","3026","禾伸堂","325","-5","-1.52","1,645","05/13","-272","-954","-26","+128","+222","-87","+294","+277","+303","+293"
"56","4956","光鋐","43.25","-3.65","-7.78","4,894","05/13","+70","+117","+123","+126","+141","-14","-98","+86","+87","+24"
"57","6215","和椿","120.5","-5.5","-4.37","4,564","05/13","-14","+34","+148","+125","+163","+261","-99","-267","-1,426","-97"
"58","6414","樺漢","347.5","-14.5","-4.01","1,722","05/13","-19","+32","+84","+125","+114","+3","+173","+159","+193","+148"
"59","8289","泰藝","54.3","-0.6","-1.09","10,494","05/13","-9","+32","+51","+125","+129","+133","+148","+158","+153","+158"
"60","2399","映泰","48.15","+1.7","+3.66","25,922","05/13","+44","+95","+166","+122","+182","+449","+395","+134","+363","+137"
"61","2324","仁寶","31.3","+1.4","+4.68","116,518","05/13","+45","+23","+68","+116","-39","+2","-194","-304","-15","-317"
"62","4722","國精化","248","-10.5","-4.06","10,374","05/13","-90","+27","+12","+116","+158","+173","-111","-561","+211","-627"
"63","2474","可成","202.5","-3","-1.46","1,956","05/13","+37","+68","+68","+115","+95","+100","+96","+86","+16","+110"
"64","2542","興富發","42.7","+1.6","+3.89","29,596","05/13","+117","+117","+122","+113","+105","+286","+135","+150","+273","+6"
"65","6285","啟碁","270.5","-11.5","-4.08","22,772","05/13","-98","+46","+67","+109","+194","-343","-188","+227","+156","+285"
"66","2302","麗正","26","+2.35","+9.94","17,593","05/13","+72","+84","+107","+107","+107","+107","+105","+105","+104","+83"
"67","8091","翔名","196","+6","+3.16","1,548","05/13","+42","+44","+103","+105","+25","+212","+211","+212","+212","+212"
"68","3189","景碩","497.5","+3.5","+0.71","24,218","05/13","+47","-48","+24","+104","-35","+405","-62","-52","+291","-496"
"69","8043","蜜望實","98.9","+5.8","+6.23","22,819","05/13","+54","+132","+87","+100","+131","+146","-1,155","-911","+208","-1,723"
"70","00738U","期元大道瓊白銀","69.75","+0.3","+0.43","10,111","05/13","-11","+14","+40","+98","+71","+270","+156","+474","+692","+113"
"71","2316","楠梓電","142.5","+7","+5.17","22,250","05/13","-2","+58","+106","+98","+20","+115","-468","-1,597","+155","-1,001"
"72","1809","中釉","39","-1.4","-3.47","4,833","05/13","-256","-113","+87","+97","+273","+242","+185","+189","+236","+239"
"73","1536","和大","51.2","-2.3","-4.3","2,903","05/13","-18","-26","-20","+93","-46","+147","-2,169","-3,378","-3,509","-2,755"
"74","3149","正達","55.7","+4.3","+8.37","45,448","05/13","+80","+87","+104","+91","+135","+159","+12","+29","-3,317","+70"
"75","1591","駿吉-KY","54","-5.9","-9.85","2,263","05/13","+88","+89","+88","+90","+106","+105","+103","+89","+97","+107"
"76","4973","廣穎","118.5","-1.5","-1.25","9,489","05/13","-9","+25","+67","+89","+76","+119","-35","-73","+109","+41"
"77","3037","欣興","892","+17","+1.94","26,723","05/13","+36","+43","+66","+88","+174","-84","-2,356","+346","-135","-1,924"
"78","3388","崇越電","113","-8","-6.61","7,777","05/13","+69","+149","+136","+86","+360","+2,094","+2,095","+2,095","+2,095","+2,095"
"79","6174","安碁","40","+0.65","+1.65","2,865","05/13","+11","+44","+60","+86","+85","+102","+102","+102","+102","+102"
"80","8039","台虹","138","-0.5","-0.36","11,560","05/13","+17","+62","+77","+86","+55","-108","-211","-37","+101","-865"
"81","2485","兆赫","67.2","-0.5","-0.74","31,627","05/13","-27","-6","+39","+83","+356","-466","+150","+805","+1,106","-121"
"82","4909","新復興","52.2","-2.2","-4.04","1,111","05/13","-2","+11","+9","+81","+114","-184","-2,061","-2,379","-4,983","-2,844"
"83","2472","立隆電","233.5","+10.5","+4.71","11,129","05/13","+26","+17","+44","+80","+80","+36","+27","-16","+74","+5"
"84","2351","順德","182","0","0","7,178","05/13","-36","-103","-31","+79","-321","-2,008","+245","+300","+300","+334"
