"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔發行張數","2日買賣超佔發行張數","3日買賣超佔發行張數","5日買賣超佔發行張數","10日買賣超佔發行張數","1個月買賣超佔發行張數","3個月買賣超佔發行張數","半年買賣超佔發行張數","1年買賣超佔發行張數","3年買賣超佔發行張數","10年買賣超佔發行張數","今年買賣超佔發行張數"
"281","00708L","期元大S&P黃金正2","90.55","-0.7","-0.77","05/19","0","0","0","0","0","-0.04","0","-0.51","+0.37","+0.37","","-0.37"
"282","00709","富邦歐洲","37.94","+0.39","+1.04","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"283","00710B","復華彭博非投等債","18.87","+0.01","+0.05","05/19","0","0","0","0","0","0","0","+0.55","+0.55","+0.46","","-0.05"
"284","00711B","復華彭博新興債","15.78","-0.04","-0.25","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"285","00712","復華富時不動產","8.77","0","0","05/19","0","0","0","0","0","0","0","0","-0.1","0","","0"
"286","00714","群益道瓊美國地產","21.3","+0.28","+1.33","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"287","00715L","期街口布蘭特正2","68.2","-0.95","-1.37","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"288","00717","富邦美國特別股","14.98","-0.04","-0.27","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"289","00719B","元大美債1-3","30.94","+0.02","+0.06","05/19","0","0","0","0","0","0","0","-0.1","-1.21","-0.53","","-0.33"
"290","00720B","元大投資級公司債","32.47","-0.01","-0.03","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"291","00722B","群益投資級電信債","35.37","0","0","05/19","0","0","0","0","0","0","0","0","-0.05","-0.05","","0"
"292","00723B","群益投資級科技債","30.27","-0.02","-0.07","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"293","00724B","群益投資級金融債","33.29","-0.02","-0.06","05/19","0","0","0","0","0","0","0","0","-0.02","-0.06","","0"
"294","00725B","國泰投資級公司債","34.57","+0.01","+0.03","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"295","00726B","國泰新興投等債","32.46","0","0","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"296","00727B","國泰優選非投等債","39.27","+0.03","+0.08","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"297","00728","第一金工業30","56.55","-1.15","-1.99","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"298","00731","復華富時高息低波","75.15","+0.7","+0.94","05/19","0","0","0","0","0","0","0","+0.04","+0.74","+0.74","","0"
"299","00733","富邦臺灣中小","66.3","-0.9","-1.34","05/19","0","0","0","0","0","0","0","0","0","-0.07","","0"
"300","00734B","台新JPM新興債","15.64","+0.09","+0.58","05/19","0","0","0","0","0","0","0","0","0","0","","0"
