"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(%)","超過600張增減","持股超過800張(%)","超過800張增減","持股超過1千張(%)","超過1千張增減"
"229","9802","鈺齊-KY","79","-1.9","-2.35","26W20","05/15","60.5","-0.44","58.3","-0.81","55.8","-0.31"
"230","8121","越峰","43.5","-1","-2.25","26W20","05/15","57.5","+0.78","55.5","+0.43","53.1","+0.04"
"231","00963","中信全球高股息","12.64","+0.12","+0.96","26W20","05/15","25.1","-1.07","22.8","-1.93","21.6","-0.99"
"232","3515","華擎","243.5","+0.5","+0.21","26W20","05/15","67.2","-0.12","66.6","-0.18","62.9","-1.66"
"233","1504","東元","68.4","-1.1","-1.58","26W20","05/15","72","-0.5","70.9","-0.63","70.1","-0.58"
"234","4763","材料*-KY","43.75","-0.5","-1.13","26W20","05/15","57.8","-0.18","56.8","+0.13","55.9","+0.15"
"235","1316","上曜","10.8","-0.2","-1.82","26W20","05/15","34.8","-0.3","30.2","-0.45","28.1","-0.21"
"236","2498","宏達電","42","+0.2","+0.48","26W20","05/15","38.7","+0.21","37","+0.37","35.6","+0.14"
"237","00985B","群益ESG投等債0-5","10.18","+0.03","+0.3","26W20","05/15","39.6","+1.74","36.8","+1.88","34.8","+2.13"
"238","3293","鈊象","762","-37","-4.63","26W20","05/15","47.7","-0.19","44.5","-0.16","42.2","+0.1"
"239","00669R","國泰美國道瓊反1","5.48","+0.05","+0.92","26W20","05/15","39.7","-2.08","35.7","-2.22","33.5","-2.3"
"240","5469","瀚宇博","80.6","0","0","26W20","05/15","68.6","-0.63","66.9","-0.38","65.5","+0.16"
"241","00996A","主動兆豐台灣豐收","14.37","0","0","26W20","05/15","13.3","+2","12.9","+2.43","11.4","+2.13"
"242","2834","臺企銀","17","+0.05","+0.29","26W20","05/15","57.7","-0.47","56","-0.44","54.9","-0.43"
"243","3023","信邦","308","+1.5","+0.49","26W20","05/15","61.6","-1.06","56.8","-1.02","51.9","-1.04"
"244","4532","瑞智","24.1","0","0","26W20","05/15","66.8","-0.29","64.7","-0.71","63.2","-0.35"
"245","8064","東捷","133","-5.5","-3.97","26W20","05/15","49.1","-0.58","46","-1.43","45.1","-0.5"
"246","8046","南電","807","-40","-4.72","26W20","05/15","81.8","-1.51","79.9","-1.54","79.2","-1.26"
"247","009806","台新標普500","12.88","-0.06","-0.46","26W20","05/15","54.4","+0.87","50.3","+0.87","50.3","+0.87"
"248","8215","明基材","28.55","-0.3","-1.04","26W20","05/15","51.1","-0.47","50.2","-0.49","49.9","-0.23"
"249","6120","達運","13.35","-0.15","-1.11","26W20","05/15","57.4","-0.35","55.7","-0.59","54.5","+0.18"
"250","00982T","平衡兆豐台美動能","15.1","+0.05","+0.33","26W20","05/15","22.2","-10.8","14.3","-11.8","14.3","-7.85"
"251","00643","群益深証中小","19.19","+0.12","+0.63","26W20","05/15","36.4","-0.91","32.3","-0.18","27.9","-0.11"
"252","00635U","期元大S&P黃金","42.62","-1.07","-2.45","26W20","05/15","23.3","-1.2","22.4","-1.38","22.1","-0.46"
"253","4306","炎洲","15.85","+0.55","+3.59","26W20","05/15","50.5","+0.3","48.8","-0.01","47.5","0"
"254","6509","聚和","46.4","-2.05","-4.23","26W20","05/15","29.7","+2.77","26.1","+1.72","23.3","+1.72"
"255","00738U","期元大道瓊白銀","51.3","-0.25","-0.48","26W20","05/15","25","+5.43","23.8","+5.4","23.4","+5.39"
"256","3535","晶彩科","124","+1","+0.81","26W20","05/15","24.5","+0.01","21.9","-0.09","21.9","-0.09"
"257","8996","高力","1140","-80","-6.56","26W20","05/15","45.5","+0.17","39.6","-0.38","33.2","-2.1"
