"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"261","5530","龍巖","48.1","-2","-3.99","1,117","05/15","-45","-66","-69","-228","-209","-475","-936","-761","-2,798","-683"
"262","6589","台康生技","44.6","+4.05","+9.99","831","05/15","-78","-49","-275","-228","-279","-356","-50","-844","+745","-69"
"263","1736","喬山","118.5","+2","+1.72","783","05/15","+29","+45","-26","-227","-574","-38","+82","+117","+984","-331"
"264","4976","佳凌","30.5","-0.75","-2.4","2,100","05/15","-150","-211","-166","-225","-192","-310","-528","+116","+1,402","+239"
"265","00917","中信特選金融","21.43","-0.01","-0.05","635","05/15","-23","-203","-222","-223","-427","-239","-271","+162","+154","+150"
"266","4721","美琪瑪","89.8","-2.3","-2.5","1,649","05/15","-71","-293","-299","-220","+120","+98","+524","+404","+768","+600"
"267","1514","亞力","116.5","0","0","5,144","05/15","+39","+116","-304","-218","+948","+767","+880","+261","-838","+525"
"268","3712","永崴投控","16.2","-1.75","-9.75","402","05/15","-53","-250","-250","-218","-349","-29","-1,315","-2,844","-4,177","-1,146"
"269","2369","菱生","29.7","-0.55","-1.82","7,721","05/15","-160","-173","-158","-217","+420","-422","+1,113","+6,258","+8,517","+5,281"
"270","4916","事欣科","67.7","+0.8","+1.2","14,924","05/15","+198","+136","+363","-216","+20","-799","-3,199","-1,894","-12,294","-1,913"
"271","6588","東典光電","129","-3.5","-2.64","995","05/15","-50","-112","-126","-216","-370","-626","-493","","","+551"
"272","1560","中砂","642","-8","-1.23","2,485","05/15","-66","+58","+35","-215","-86","+70","-389","-2,653","-618","-1,249"
"273","8111","立碁","62.4","-2.2","-3.41","2,185","05/15","-21","-34","-56","-214","-503","-729","-885","-3,101","+1,141","-1,189"
"274","8089","康全電訊","20","-0.3","-1.48","155","05/15","-18","-225","-227","-212","-234","-839","-1,274","-2,377","-2,062","-1,446"
"275","2491","吉祥全","19.8","-0.4","-1.98","906","05/15","-31","-130","-189","-211","+92","+74","+307","+1,570","+1,528","-307"
