股票代號,股票名稱,法人持股,上榜區塊
6861,睿生光電,3.2148077789864,"60日,20日,5日"
6890,來億-KY,91.28289855653568,"60日,120日"
6919,康霈*,13.402639752418702,5日
6924,榮惠-KY創,75.8,120日
6933,AMAX-KY,28.653895264340044,5日
6944,兆聯實業,18.031371092747968,"60日,120日"
6962,奕力-KY,39.534387405708245,20日
6994,富威電力,6.57,"60日,20日,120日"
7610,聯友金屬-創,18.94,"60日,20日,5日"
7631,聚賢研發-創,1.01,5日
7750,新代,18.097530030761522,"60日,120日"
7769,鴻勁,23.470549102428723,"60日,120日"
7795,長廣,10.085849787830544,"60日,20日"
7827,漢康-KY創,23.75,"20日,5日"
8016,矽創,43.770445274438465,"60日,20日,5日,120日"
8021,尖點,22.17961072566423,"20日,5日,120日"
8028,昇陽半導體,27.765139708708134,"60日,120日"
8033,雷虎,16.32766025920888,"60日,20日,5日,120日"
8039,台虹,22.355771547336357,"60日,20日,5日,120日"
8046,南電,27.07117650769856,"60日,20日,5日,120日"
8105,凌巨,41.448112561140476,"20日,5日,120日"
8114,振樺電,14.992872829398143,"60日,20日,5日"
8131,福懋科,5.355110326149304,"60日,120日"
8150,南茂,44.3258560735166,"20日,120日"
8163,達方,9.487312143152456,60日
8261,富鼎,7.503019171364471,"20日,5日,120日"
8438,昶昕,3.46,"20日,120日"
8454,富邦媒,15.721923670991568,"60日,120日"
8462,柏文,4.998756011821669,"20日,5日"
8473,山林水,4.22,"60日,120日"
8996,高力,50.259672092482596,"60日,20日,120日"
9105,泰金寶-DR,0.71,5日
9136,巨騰-DR,3.43,120日
9802,鈺齊-KY,42.25379043946761,5日
9921,巨大,27.974876579709363,5日
9933,中鼎,18.725890019471642,"60日,120日"
9939,宏全,15.124143669855087,5日
9941,裕融,6.289262926424038,60日
