"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"187","3680","家登","461","-12.5","-2.64","1,064","08/19","-6","-7","+1","+15","+18","+41","+28","-16","+25","+31"
"188","6584","南俊國際","600","-2","-0.33","718","08/19","-2","-2","+5","+15","+9","0","+3","-360","-245","-216"
"189","7788","松川精密","274","-4","-1.44","1,632","08/19","+5","+8","+11","+15","+26","+30","+27","","",""
"190","3005","神基","117.5","0","0","3,204","08/19","-7","0","+13","+14","+14","+14","+44","-388","+37","-380"
"191","6841","長佳智能","52.5","+0.2","+0.38","183","08/19","0","+14","+14","+14","+14","+13","+15","+15","+15","+11"
"192","1217","愛之味","9.93","-0.01","-0.1","305","08/19","+3","+6","+9","+13","+13","+11","+14","+14","+14","+14"
"193","1709","和益","32.55","-0.15","-0.46","6,445","08/19","-4","-24","-60","+13","+27","+5","+33","+33","+33","+33"
"194","2801","彰銀","23.9","0","0","10,550","08/19","+1","+4","+4","+13","+40","-27","+36","+12","-309","-13"
"195","2834","臺企銀","16.4","-0.1","-0.61","19,368","08/19","+8","+10","+8","+13","+1","+1","+33","+34","-77","+3"
"196","3138","耀登","95.4","+0.4","+0.42","151","08/19","+16","+14","+14","+13","+13","+17","-2","-1,330","+9","-17"
"197","3217","優群","136","+0.5","+0.37","338","08/19","-4","+6","-2","+13","+18","+19","+14","+18","+11","+19"
"198","6023","元大期","83.5","-0.2","-0.24","300","08/19","-3","+1","+5","+13","+20","+22","+22","+22","+22","+22"
"199","8478","東哥遊艇","138","-1.5","-1.08","151","08/19","0","+10","+12","+13","+13","+13","+13","+11","-19","-8"
"200","1513","中興電","164","-3","-1.8","2,254","08/19","-3","-4","-4","+12","+2","+18","+23","-26","-55","+7"
"201","3081","聯亞","2680","-245","-8.38","5,487","08/19","-13","+9","+25","+12","+86","+139","-34","-280","-162","-342"
"202","4128","中天","15","-0.1","-0.66","926","08/19","-18","-17","+1","+12","+22","+5","+45","+11","+12","+41"
"203","4976","佳凌","37.1","-0.45","-1.2","1,387","08/19","0","-12","-27","+12","-130","+233","+249","+265","+200","+259"
"204","6005","群益證","30.2","-0.3","-0.98","4,854","08/19","+6","+12","+11","+12","+39","+34","-25","-1","-38","-117"
"205","6275","元山","45.15","+1.25","+2.85","873","08/19","+12","+12","+12","+12","+12","+17","-10","0","-3","-6"
"206","6658","聯策","156.5","-5","-3.1","276","08/19","+11","+8","+7","+12","+7","+3","-46","+4","-49","-29"
"207","6715","嘉基","447.5","+28.5","+6.8","2,792","08/19","+9","+11","+14","+12","+30","+26","+21","+46","+52","+50"
"208","7795","長廣","544","-28","-4.9","886","08/19","-1","-11","+6","+12","+14","","","","",""
