"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(%)","超過600張增減","持股超過800張(%)","超過800張增減","持股超過1千張(%)","超過1千張增減"
"205","6890","來億-KY","284","+4","+1.43","26W22","05/29","88.6","+0.05","88.1","+0.04","87.3","+0.45"
"206","3049","精金","13.6","-0.2","-1.45","26W22","05/29","45.9","+0.48","44.7","+0.4","43.8","+0.72"
"207","3508","位速","18.6","-0.15","-0.8","26W22","05/29","39","+0.04","35.7","+0.01","33.1","+0.01"
"208","2323","中環","10.85","-0.05","-0.46","26W22","05/29","40.8","+0.01","38.8","+0.06","37.1","0"
"209","2409","友達","23.15","+0.2","+0.87","26W22","05/29","48.2","-2.63","46.9","-2.57","45.6","-2.64"
"210","5315","光聯","22.05","-0.1","-0.45","26W22","05/29","29.8","-0.91","25.8","-0.92","22.7","+0.04"
"211","3311","閎暉","37","-0.35","-0.94","26W22","05/29","52.4","-0.69","50.9","-0.01","50","-0.06"
"212","00981B","第一金優選非投債","9.17","+0.02","+0.22","26W22","05/29","43.8","+2.24","39.5","+2.46","36.1","+2.82"
"213","00858","永豐美國500大","35.05","-0.14","-0.4","26W22","05/29","14.6","+1.5","14","+0.87","13.3","+0.9"
"214","8444","綠河-KY","4.9","-0.07","-1.41","26W22","05/29","77.8","+0.08","75.2","0","74.5","0"
"215","2354","鴻準","56.2","-0.1","-0.18","26W22","05/29","43.4","-0.17","42.6","-0.09","42.1","+0.09"
"216","00939","統一台灣高息動能","20.72","+0.01","+0.05","26W22","05/29","6.22","-0.64","5.68","-0.65","4.92","-0.66"
"217","5340","建榮","85.8","+0.1","+0.12","26W22","05/29","57.1","+0.54","56","+0.9","53.6","+0.42"
"218","5604","中連","30.8","-0.1","-0.32","26W22","05/29","61.9","0","57.9","0","52.9","0"
"219","00945B","凱基美國非投等債","14.48","+0.04","+0.28","26W22","05/29","35.8","+0.08","33.8","-0.01","31.7","-0.12"
"220","00730","富邦臺灣優質高息","28.2","-0.29","-1.02","26W22","05/29","16.9","-0.3","16.9","+0.66","16.9","+0.66"
"221","5464","霖宏","69.9","+2.4","+3.56","26W22","05/29","67.3","-0.69","63.4","-0.7","55.6","-0.63"
"222","5009","榮剛","35.35","-0.1","-0.28","26W22","05/29","46.1","+0.21","45.1","+0.12","44.1","+0.14"
"223","3466","德晉","31.35","-1.6","-4.86","26W22","05/29","43.1","+0.21","35.5","+1.29","33.2","+1.29"
"224","1432","大魯閣","17.2","-0.1","-0.58","26W22","05/29","53.9","0","53.9","0","53","0"
"225","2887","台新新光金","28.75","-0.15","-0.52","26W22","05/29","70.9","-0.16","69.6","-0.15","68.5","-0.16"
"226","2108","南帝","29.95","+1.7","+6.02","26W22","05/29","67.9","-0.16","66.6","+0.16","64.4","-0.03"
"227","5521","工信","10.25","-1","-8.89","26W22","05/29","56.4","-0.57","54.4","-0.42","52.8","-0.77"
"228","8436","大江","119.5","+1","+0.84","26W22","05/29","34","-0.25","30.3","-0.34","28.7","-0.46"
"229","9802","鈺齊-KY","79","-1.9","-2.35","26W22","05/29","61","+0.53","58.6","+0.56","56","-0.3"
"230","8121","越峰","43.5","-1","-2.25","26W22","05/29","58.8","+0.54","56.8","+0.97","54.3","+0.1"
"231","00963","中信全球高股息","12.64","+0.12","+0.96","26W22","05/29","26.9","+1.85","24.6","+1.86","22.5","+1.82"
"232","3515","華擎","243.5","+0.5","+0.21","26W22","05/29","67","-0.04","65.9","-0.06","62.8","0"
"233","1504","東元","68.4","-1.1","-1.58","26W22","05/29","72.1","+0.02","70.9","-0.17","70.1","-0.09"
"234","4763","材料*-KY","43.75","-0.5","-1.13","26W22","05/29","57.5","-0.36","56.3","-0.63","55.4","-0.37"
"235","1316","上曜","10.8","-0.2","-1.82","26W22","05/29","34.6","+0.06","30.8","+0.23","28.6","+0.62"
"236","2498","宏達電","42","+0.2","+0.48","26W22","05/29","38.1","+0.85","36.3","+0.84","34.6","+0.44"
"237","00985B","群益ESG投等債0-5","10.18","+0.03","+0.3","26W22","05/29","39.7","-0.73","36.7","-0.73","33.3","-1.71"
"238","3293","鈊象","762","-37","-4.63","26W22","05/29","47.9","-0.27","44.8","+0.16","42.2","-0.42"
"239","00669R","國泰美國道瓊反1","5.48","+0.05","+0.92","26W22","05/29","40.6","+1.26","37","+1.29","34.4","+0.86"
"240","5469","瀚宇博","80.6","0","0","26W22","05/29","69.1","+0.47","67","+0.33","65.5","-0.26"
"241","00996A","主動兆豐台灣豐收","14.37","0","0","26W22","05/29","11.8","-3.92","10.7","-4.11","8.72","-4.39"
"242","2834","臺企銀","17","+0.05","+0.29","26W22","05/29","57.1","-0.27","55.4","-0.3","54.2","-0.31"
"243","3023","信邦","308","+1.5","+0.49","26W22","05/29","60.8","+0.17","56.8","-0.47","52.3","-0.13"
"244","4532","瑞智","24.1","0","0","26W22","05/29","67","+0.28","65.1","+0.27","63.6","+0.1"
"245","8064","東捷","133","-5.5","-3.97","26W22","05/29","44.6","-1.43","42.8","-0.63","40.8","-0.64"
"246","8046","南電","807","-40","-4.72","26W22","05/29","80.3","-1.27","78.7","-1.13","77.8","-1.4"
"247","009806","台新標普500","12.88","-0.06","-0.46","26W22","05/29","55.8","+0.84","51.7","+0.84","51.7","+0.84"
"248","8215","明基材","28.55","-0.3","-1.04","26W22","05/29","51.6","+0.2","50.5","0","50.2","+0.25"
"249","6120","達運","13.35","-0.15","-1.11","26W22","05/29","58.7","+0.97","57.4","+0.86","56.2","+0.85"
"250","00982T","平衡兆豐台美動能","15.1","+0.05","+0.33","26W22","05/29","28.3","+9.47","24.4","+9.57","15.8","+6.06"
"251","00643","群益深証中小","19.19","+0.12","+0.63","26W22","05/29","36.1","-0.05","31.1","-0.9","25.5","-1.97"
"252","00635U","期元大S&P黃金","42.62","-1.07","-2.45","26W22","05/29","19.2","-2.52","18.7","-2.52","17.5","-3.19"
"253","4306","炎洲","15.85","+0.55","+3.59","26W22","05/29","51.5","+0.28","50","+0.4","48.9","+0.4"
"254","6509","聚和","46.4","-2.05","-4.23","26W22","05/29","33.6","+1.73","31.2","+1.43","27.1","+1.84"
"255","00738U","期元大道瓊白銀","51.3","-0.25","-0.48","26W22","05/29","17.3","-4","15.5","-3.79","14","-4.95"
"256","3535","晶彩科","124","+1","+0.81","26W22","05/29","22","-3.26","22","+0.08","22","+0.08"
"257","8996","高力","1140","-80","-6.56","26W22","05/29","40.1","-4.56","34.8","-3.86","30.1","-4.06"
"258","3081","聯亞","2165","-80","-3.56","26W22","05/29","39.9","-0.76","35.5","+0.04","30.7","0"
"259","2105","正新","35","+0.45","+1.3","26W22","05/29","79.7","+0.03","79.1","+0.04","78.6","+0.11"
"260","6015","宏遠證","17.85","-0.15","-0.83","26W22","05/29","48.9","+1.43","47.2","+1.28","46","+1.06"
"261","4938","和碩","95.4","+0.6","+0.63","26W22","05/29","76.4","+0.37","74.9","+0.29","73.6","+0.28"
"262","3050","鈺德","12.7","-0.15","-1.17","26W22","05/29","48.8","+0.12","46.6","+0.59","44.3","+0.06"
"263","2883","凱基金","27.75","-0.45","-1.6","26W22","05/29","64.8","+0.1","63.6","+0.13","62.7","+0.09"
"264","5289","宜鼎","1710","-85","-4.74","26W22","05/29","35.3","+1.11","30","+0.34","27.3","+0.34"
"265","00894","中信小資高價30","46.53","-0.38","-0.81","26W22","05/29","16.4","+1.3","15.1","+0.91","14.5","+0.84"
"266","00857B","永豐20年美公債","23.21","+0.02","+0.09","26W22","05/29","49","+0.19","48","+0.18","47.1","+0.32"
"267","3694","海華","59.2","-1.6","-2.63","26W22","05/29","58.8","+1.43","57.1","+0.54","56.5","-0.07"
"268","3167","大量","847","-11","-1.28","26W22","05/29","54","-0.25","50","+1.03","48.1","+1.92"
"269","2610","華航","19.45","-0.1","-0.51","26W22","05/29","66","-0.26","65.2","-0.22","64.1","-0.37"
"270","3028","增你強","74.2","-1.5","-1.98","26W22","05/29","43.8","-0.38","42.9","-0.67","40.9","-0.29"
"271","00912","中信臺灣智慧50","32.14","+0.01","+0.03","26W22","05/29","22.5","-0.48","21.2","+0.56","21.2","+2.22"
"272","00634R","富邦上証反1","3.14","+0.01","+0.32","26W22","05/29","51.9","-0.75","47.6","+0.61","43.6","+0.61"
"273","1402","遠東新","27.4","-0.25","-0.9","26W22","05/29","85.5","-1.62","84.7","-1.67","84","-1.69"
"274","00900","富邦特選高股息30","18.8","-0.01","-0.05","26W22","05/29","14.1","-0.11","13.4","-0.13","12.9","-0.25"
"275","2014","中鴻","17.45","-0.05","-0.29","26W22","05/29","47.6","+0.36","46.6","+0.12","46.1","+0.18"
"276","3622","洋華","54.6","-1","-1.8","26W22","05/29","57.4","+0.11","56.1","+0.59","53.6","-0.02"
"277","8081","致新","273","+14.5","+5.61","26W22","05/29","35.4","+0.71","30.6","+0.77","24.7","+0.77"
