"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
"161","6637","醫影","61.2","+0.2","+0.33","76","08/19","+1.01","+9.89","+9.89","+12.4","+14.9","0","+25","+355","","+3,233"
"162","6967","汎瑋材料","75.6","+2.8","+3.85","119","08/19","+14.9","+6.1","+7.53","+12.4","+13.6","+41.3","+63.3","+188","","+44.4"
"163","6782","視陽","203","+4.5","+2.27","198","08/19","+0.49","+1.48","+2.24","+12.3","-16.6","-11.6","-28.1","-42.4","-29.5","-40.8"
"164","2816","旺旺保","34.2","+0.05","+0.15","250","08/19","-9.6","-3.52","+7.1","+12.3","+0.33","+11.9","+97.7","+99","+18.2","+56.2"
"165","6134","萬旭","27.75","-0.15","-0.54","119","08/19","+0.43","+0.22","+1.3","+12.3","+18","+20.3","+13.3","+30.1","+27.8","+26.9"
"166","4939","亞電","60.5","+0.4","+0.67","7,968","08/19","+2.13","+8.9","+6.46","+12.3","+24.6","+4.51","+53.3","+39.3","+202","+20.3"
"167","4554","橙的","31.8","+0.1","+0.32","29","08/19","+1.37","+5.71","+17.5","+12.1","+4.23","-20.4","+39.6","+155","","+573"
"168","8039","台虹","271.5","-6","-2.16","42,065","08/19","-0.01","+6.09","+6.58","+12.1","+11.6","+10.8","+52.7","+39.8","+237","+39.6"
"169","00737","國泰AI機器人","40.33","-0.55","-1.35","98","08/19","+4.44","-4.08","-6","+11.9","-11.3","-6","-14.5","-24.2","-74.6","-39"
"170","6272","驊陞","22.95","-0.05","-0.22","182","08/19","0","+4.44","+9.3","+11.9","+20.5","+213","","","",""
"171","2301","光寶科","273.5","+2.5","+0.92","35,191","08/19","+11.6","+14.8","+22.2","+11.7","+23.4","-10.6","-2.34","-9.19","+16.3","-21.7"
"172","8086","宏捷科","115.5","+0.5","+0.43","4,703","08/19","+1.01","+6.77","+10.2","+11.6","+19.3","+13.2","+28.5","+183","+143","+172"
"173","5609","中菲行","77.3","-0.1","-0.13","198","08/19","+6.36","+5.41","+5.41","+11.4","+18.2","-9.3","+21.9","-15.8","-53.4","+25.8"
"174","2637","慧洋-KY","91.8","+3.1","+3.49","11,209","08/19","+10.6","+21.9","+23","+11.2","+11.7","+15.9","-36.3","-50.5","-77","-65.5"
"175","1210","大成","52.8","-0.2","-0.38","1,665","08/19","-0.45","+2.93","+9.17","+11.2","-13.8","+17.6","-64.6","-40.2","-38","-53.7"
"176","3130","一零四","211.5","-0.5","-0.24","154","08/19","+11.1","+42.9","+66.7","+11.1","-9.09","-23.1","+150","-16.7","+42.9","-23.1"
"177","6183","關貿","93.3","+0.5","+0.54","29","08/19","+11.1","+11.1","+11.1","+11.1","+11.1","+25","-23.1","-37.5","-82.8","-37.5"
"178","00985A","主動野村台灣50","22.36","-0.22","-0.97","3,458","08/19","-0.18","-7.64","-7.53","+11.1","+46.9","+36.8","-18.5","+22.8","+6.73","+12.7"
"179","6703","軒郁","103.5","+1","+0.98","24","08/19","0","+5.13","+5.13","+10.8","+5.13","-30.5","-41.4","-49.4","-76","-80.5"
"180","3131","弘塑","2355","-110","-4.46","365","08/19","+0.63","-1.55","-13.6","+10.8","+10.8","+86","+0.95","-5.92","","-33.5"
"181","6743","安普新","24.85","-0.1","-0.4","155","08/19","+0.18","-6.6","-6.28","+10.6","+6.98","-3.83","-20","-46.5","-52.5","-46.8"
"182","4414","如興","8.31","-0.15","-1.77","198","08/19","+0.26","+1.06","+1.74","+10.6","+6.13","+2.97","-12","+73.2","","+46.3"
