排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
180,00407A,主動凱基台灣,9.83,0.17,1.76,08/13,0,-70,-175,-552,-111,-1578,,,,
181,2014,中鴻,17.3,-0.15,-0.86,08/13,0,-273,-550,-550,-1368,-11871,-30947.0,-58119.0,-52205.0,-46376.0
182,1907,永豐餘,29.9,-0.25,-0.83,08/13,91,171,229,-548,-1493,-5017,-10162.0,-4935.0,-3334.0,-1357.0
183,2331,精英,19.1,-0.2,-1.04,08/13,37,19,-202,-543,-771,-1627,6793.0,3611.0,15840.0,14132.0
184,4766,南寶,340.0,-3.5,-1.02,08/13,-393,-436,-466,-536,-787,-524,-2291.0,-45.0,1357.0,-153.0
185,00665L,富邦恒生國企正2,9.51,0.11,1.17,08/13,37,-160,-176,-532,-4323,-7002,-3672.0,-8458.0,-29130.0,-17889.0
186,009824,群益美國科技巨頭,10.2,0.08,0.79,08/13,-530,-530,-530,-530,-530,0,,,,
187,2020,美亞,21.0,-0.15,-0.71,08/13,-516,-547,-540,-526,-514,-403,29.0,2220.0,-2392.0,1668.0
188,6179,亞通,27.85,0.5,1.83,08/13,9,14,3,-523,-493,-334,-2420.0,489.0,2713.0,-363.0
189,3037,欣興,1000.0,0.0,0.0,08/13,76,138,77,-516,-3152,-11943,-2784.0,752.0,-101268.0,-871.0
190,3714,富采,58.6,0.3,0.51,08/13,-157,-1642,-1456,-509,-1776,-7057,288.0,12228.0,22702.0,20356.0
191,4966,譜瑞-KY,586.0,-5.0,-0.85,08/13,-22,-127,-205,-509,-497,-846,-4126.0,-838.0,2439.0,994.0
192,6206,飛捷,156.5,10.5,7.19,08/13,-409,-397,-491,-503,-490,-1113,-3006.0,-6162.0,-6238.0,-8340.0
193,2534,宏盛,16.9,-0.1,-0.59,08/13,-381,-405,-409,-502,-1293,-1783,2627.0,5083.0,8634.0,6048.0
194,00733,富邦臺灣中小,67.25,0.55,0.82,08/13,0,32,32,-500,-323,95,452.0,423.0,-77.0,485.0
195,00924,復華S&P500成長,33.93,0.04,0.12,08/13,0,0,0,-500,-1818,-2035,-4981.0,-3960.0,133.0,-4450.0
196,2405,輔信,15.85,-0.05,-0.31,08/13,28,70,-147,-499,-773,1936,-636.0,2738.0,-4982.0,5051.0
197,6768,志強-KY,66.0,0.4,0.61,08/13,109,156,-33,-499,-538,-992,51.0,50.0,1190.0,-310.0
198,9921,巨大,105.0,-4.0,-3.67,08/13,-38,-345,-338,-498,166,911,1750.0,7789.0,5933.0,8125.0
199,2017,官田鋼,8.83,-0.06,-0.67,08/13,-155,-531,-508,-495,-448,-623,-1155.0,82.0,-438.0,610.0
200,6446,藥華藥,1445.0,5.0,0.35,08/13,-287,-394,-453,-493,-664,383,184.0,-315.0,-7466.0,-7628.0
201,4768,晶呈科技,325.5,3.5,1.09,08/13,-108,-179,-432,-486,-551,-866,804.0,1045.0,887.0,1162.0
202,1524,耿鼎,26.95,-0.2,-0.74,08/13,-61,-71,-168,-481,-735,-594,-1001.0,-1779.0,1653.0,-2285.0
