"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股800張以下(%)","800張以下增減","持股1千張以下(%)","1千張以下增減","持股超過1千張(%)","超過1千張增減"
"40","00670L","富邦NASDAQ正2","200.65","-0.6","-0.3","26W28","07/09","92.9","+3.32","95.3","+4.51","4.71","-4.51"
"41","00930","永豐ESG低碳高息","23.82","-0.01","-0.04","26W28","07/09","91.9","-0.71","92.6","-0.71","7.36","+0.71"
"42","00905","FT臺灣Smart","25.3","-0.14","-0.55","26W28","07/09","93.5","+1.09","93.5","+0.84","6.5","-0.84"
"43","00901","永豐智能車供應鏈","43.67","-0.57","-1.29","26W28","07/09","92.2","+0.05","95.1","-1.29","4.87","+1.29"
"44","00896","中信綠能及電動車","26.81","-0.17","-0.63","26W28","07/09","92.3","+1.24","92.9","+0.81","7.05","-0.81"
"45","00661","元大日經225","84.95","-0.35","-0.41","26W28","07/09","86.6","-0.54","94.5","+0.18","5.49","-0.18"
"46","2471","資通","48.4","-0.05","-0.1","26W28","07/09","89.5","0","93.3","0","6.74","0"
"47","009808","華南永昌優選50","30.12","-0.16","-0.53","26W28","07/09","92.9","+1.54","92.9","+1.54","7.06","-1.54"
"48","00799B","國泰A級醫療債","29.35","-0.21","-0.71","26W28","07/09","79.8","+0.44","83.7","+0.44","16.3","-0.44"
"49","3580","友威科","77","-1.6","-2.04","26W28","07/09","92.9","0","92.9","0","7.11","0"
"50","00770","國泰北美科技","69.4","0","0","26W28","07/09","91.9","+0.03","93","+0.03","7.02","-0.03"
"51","00929","復華台灣科技優息","28.59","-0.35","-1.21","26W28","07/09","91.7","+0.87","91.9","+0.83","8.07","-0.83"
"52","6727","亞泰金屬","383","-17","-4.25","26W28","07/09","87.3","-2.87","90.6","-2.87","9.41","+2.87"
"53","3567","逸昌","26.35","+0.15","+0.57","26W28","07/09","89.3","0","92.1","0","7.94","0"
"54","00709","富邦歐洲","41.45","+0.19","+0.46","26W28","07/09","92.5","-0.17","92.5","-0.17","7.46","+0.17"
"55","1591","駿吉-KY","35.6","-1","-2.73","26W28","07/09","89.1","0","91.5","0","8.54","0"
"56","00919","群益台灣精選高息","29.74","+0.14","+0.47","26W28","07/09","90.9","-0.39","91.4","-0.39","8.63","+0.39"
"57","1565","精華","93.3","+0.2","+0.21","26W28","07/09","89.9","-0.04","91.7","-0.02","8.33","+0.02"
"58","00909","國泰數位支付服務","44.29","-0.81","-1.8","26W28","07/09","89.9","+0.83","90.8","+0.02","9.24","-0.02"
"59","00940","元大台灣價值高息","12.4","-0.05","-0.4","26W28","07/09","90.5","+0.06","91.3","+0.08","8.69","-0.08"
"60","00700","富邦恒生國企","17.75","0","0","26W28","07/09","95.7","-1.52","95.7","-4.31","4.31","+4.31"
"61","8034","榮群","19.1","-0.45","-2.3","26W28","07/09","89.6","+1.42","91.3","0","8.73","0"
"62","00921","兆豐龍頭等權重","23.45","0","0","26W28","07/09","89.5","+0.52","92.6","+0.72","7.41","-0.72"
"63","00907","永豐優息存股","16.85","+0.08","+0.48","26W28","07/09","88.2","-1.66","88.8","-1.66","11.2","+1.66"
"64","00878","國泰永續高股息","32.81","-0.03","-0.09","26W28","07/09","90.3","+0.04","90.6","+0.04","9.42","-0.04"
"65","009802","富邦旗艦50","18.5","-0.24","-1.28","26W28","07/09","89.6","-0.11","91.4","-0.11","8.57","+0.11"
"66","6530","創威","75","-2.3","-2.98","26W28","07/09","88.6","+0.44","91.1","0","8.93","0"
"67","00934","中信成長高股息","28.2","-0.14","-0.49","26W28","07/09","92.5","+0.89","93.2","+0.89","6.81","-0.89"
"68","00936","台新永續高息中小","21.43","-0.13","-0.6","26W28","07/09","91.2","-0.72","91.7","-0.72","8.31","+0.72"
"69","009818","華南永昌NASDAQxT","20.37","+0.05","+0.25","26W28","07/09","94.3","-0.26","95.8","+1.2","4.21","-1.2"
"70","00895","富邦未來車","49.84","-0.31","-0.62","26W28","07/09","91.4","+0.11","91.4","+0.11","8.56","-0.11"
