" "," ","#","個股代號/名稱","類別","前二月","前一月","本  月","走 勢","總增減"," ","前二月","前一月","本  月","走 勢","總增減","今日收盤價","今日漲跌"," "
" "," ","","1789神隆","生技醫療業","64.39","64.39","64.39","32","0.00"," ","509,202","509,202","509,202","32","0","21.40","0.40"," "
" "," ","","1795美時","生技醫療業","37.44","37.17","37.17","21","-0.27"," ","99,935","99,209","99,209","21","-726","226.50","-0.50"," "
" "," ","","1802台玻","玻璃","30.08","30.08","30.08","32","0.00"," ","874,951","874,951","874,951","32","0","70.90","-3.30"," "
" "," ","","1805寶徠","營建","30.3","30.3","30.3","32","0.00"," ","40,906","40,906","40,906","32","0","10.65","-0.15"," "
" "," ","","1806冠軍","玻璃","7.7","7.7","7.7","32","0.00"," ","30,066","30,066","30,066","32","0","8.26","-0.01"," "
" "," ","","1808潤隆","營建","3.92","3.92","3.92","32","0.00"," ","35,040","35,040","35,040","32","0","29.70","-0.25"," "
" "," ","","1809中釉","玻璃","13.37","13.37","13.37","32","0.00"," ","22,334","22,334","22,334","32","0","29.00","1.60"," "
" "," ","","1810和成","玻璃","5.36","5.36","5.36","32","0.00"," ","16,213","16,213","16,213","32","0","18.70","0.05"," "
" "," ","","1817凱撒衛","玻璃","30.15","30.15","30.15","32","0.00"," ","21,891","21,891","21,891","32","0","38.70","0.05"," "
" "," ","","1903士紙","造紙","7.79","7.79","7.79","32","0.00"," ","20,281","20,281","20,281","32","0","50.30","0.55"," "
" "," ","","1904正隆","造紙","14.25","14.25","14.25","32","0.00"," ","157,938","157,938","157,938","32","0","18.65","-0.10"," "
" "," ","","1905華紙","造紙","57.63","57.63","57.63","32","0.00"," ","635,581","635,581","635,581","32","0","14.25","-0.25"," "
" "," ","","1906寶隆","造紙","25.94","25.94","25.94","32","0.00"," ","39,181","39,181","39,181","32","0","11.95","-0.25"," "
" "," ","","1907永豐餘","造紙","5.78","5.78","5.78","32","0.00"," ","96,063","96,063","96,063","32","0","25.00","-0.50"," "
" "," ","","1909榮成","造紙","36.85","36.85","36.85","32","0.00"," ","489,355","489,355","489,355","32","0","9.40","-0.11"," "
" "," ","","2002中鋼","鋼鐵","20.09","20.09","20.09","32","0.00"," ","3,169,274","3,169,274","3,169,274","32","0","19.55","-0.20"," "
" "," ","","2006東和鋼鐵","鋼鐵","19.39","19.39","19.39","32","0.00"," ","141,660","141,660","141,660","32","0","69.20","-1.00"," "
" "," ","","2007燁興","鋼鐵","73.56","73.56","73.56","32","0.00"," ","390,372","390,372","390,372","32","0","7.93","-0.11"," "
" "," ","","2008高興昌","鋼鐵","38.27","38.27","38.27","32","0.00"," ","73,052","73,052","73,052","32","0","27.65","0.45"," "
" "," ","","2009第一銅","鋼鐵","39.43","39.43","39.43","32","0.00"," ","141,818","141,818","141,818","32","0","39.50","-0.30"," "
