"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
"128","00983D","主動富邦複合收益","9.94","+0.04","+0.4","08/19","0","0","+1.25","+15.2","+15.2","+15.2","-17.9","+5.69","","-37.1"
"129","2449","京元電子","235","-1","-0.42","08/19","-0.41","+1.86","+3.72","+15.1","+29.3","+150","-34.2","+235","+97.2","+213"
"130","00891","中信關鍵半導體","33.12","-0.76","-2.24","08/19","0","0","+14.3","+14.8","+57","+17.4","-39.8","+358","+30","+306"
"131","3054","立萬利","51.5","-2.2","-4.1","08/19","+10.6","+21.9","+14.4","+14.4","+17.6","+25.6","+11.3","+377","","+779"
"132","00713","元大台灣高息低波","60.85","+0.2","+0.33","08/19","0","+0.8","+3.69","+14.4","+40.9","+15.2","-29.2","-23.1","-47.2","-63.8"
"133","6831","邁科","599","-56","-8.55","08/19","+2.31","+3.05","+4.74","+14.3","+36.9","+42.3","+593","","",""
"134","2903","遠百","22.25","+0.5","+2.3","08/19","+1.5","+4.19","+7.24","+14.3","+14.6","+1.45","+35.9","+118","+125","+166"
"135","2458","義隆","145.5","+4.5","+3.19","08/19","+3.43","+7.92","+9.14","+14.2","+34.4","+43.8","+120","+14.1","+66.4","+16.8"
"136","1459","聯發","14","+0.25","+1.82","08/19","0","0","0","+13.9","","","-78.8","-66.9","","-64"
"137","5488","松普","12.35","-0.1","-0.8","08/19","+1.87","+2.56","+2.56","+13.9","+70","+58.7","+355","+3,900","+6.57","+1,400"
"138","2432","倚天酷碁-創","27.35","-0.15","-0.55","08/19","0","0","+4.23","+13.8","+13.8","+19.4","+19.4","+72.1","+174","+106"
"139","6931","青松健康","41.3","-0.2","-0.48","08/19","+0.76","+4.72","+5.56","+13.7","+18.8","-31.4","-39","-47.4","","+3.1"
"140","2834","臺企銀","16.4","-0.1","-0.61","08/19","+1.86","+3.25","+5.99","+13.6","+26.8","+35.5","+32.8","+1,704","+1,471","+3,092"
"141","6139","亞翔","766","-16","-2.05","08/19","+3.04","+3.86","+3.88","+13","+17.5","+272","+532","+355","+124","+393"
"142","00641R","富邦日本反1","3.77","+0.11","+3.01","08/19","0","0","+0.22","+12.9","+12.9","+12.9","+21.1","-0.7","+239","-15.2"
