"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減(萬元)","2日增減(萬元)","3日增減(萬元)","5日增減(萬元)","10日增減(萬元)","1個月增減(萬元)","3個月增減(萬元)","半年增減(萬元)","1年增減(萬元)","今年增減(萬元)"
"20","1519","華城","755","-15","-1.95","08/27","+27,521","+45,925","+55,317","+72,907","+112,147","-4,683","+255,933","+1,162,349","+807,843","+864,331"
"21","4991","環宇-KY","520","-18","-3.35","08/27","+2,466","+8,415","+23,048","+69,370","+84,947","+95,508","+146,280","+123,575","+81,967","+122,625"
"22","6223","旺矽","5030","-60","-1.18","08/27","-5,938","+54,299","+11,464","+68,875","+142,024","+381,162","+690,253","+1,053,544","+982,493","+903,391"
"23","4979","華星光","610","-7","-1.13","08/27","+29,369","+42,975","+50,538","+67,952","+63,497","+133,183","+147,860","+52,909","-37,524","+104,557"
"24","8039","台虹","343.5","-9","-2.55","08/27","-8,630","-205","+1,745","+67,082","+118,246","+95,966","+173,191","+129,977","+95,828","+133,307"
"25","6669","緯穎","7200","+385","+5.65","08/27","+33,510","-7,547","+13,755","+66,148","+168,753","-175,255","-766,889","+1,102,523","+2,869,043","+1,700,248"
"26","6182","合晶","110","+1","+0.92","08/27","+5,666","+21,087","+28,299","+62,900","+310,270","+288,880","+293,977","+232,245","+323,020","+241,517"
"27","2492","華新科","313.5","+28.5","+10","08/27","+11,035","+8,174","+67","+61,232","+330,454","+529,562","+456,798","+367,142","+352,825","+186,086"
"28","3529","力旺","2540","-110","-4.15","08/27","-3,696","+6,559","+23,741","+58,432","+103,438","+539,153","+70,909","-675,972","+44,143","-484,592"
"29","8046","南電","1240","-55","-4.25","08/27","+24,178","+46,011","+54,737","+58,243","+222,135","+258,273","-32,932","+194,841","-104,088","+152,834"
"30","6278","台表科","201.5","-4.5","-2.18","08/27","+13,413","+20,073","+26,962","+55,168","+28,551","+11,784","-254,689","+191,746","+199,965","+186,035"
"31","3665","貿聯-KY","2260","+205","+9.98","08/27","-1,425","+20,458","-43,240","+54,312","-501,176","+424,455","+2,096,581","+1,903,311","+2,477,350","+1,355,800"
"32","3491","昇達科","1510","+85","+5.96","08/27","+20,005","+26,029","+30,535","+49,940","+75,958","+78,129","+444,160","+429,778","+147,816","+376,348"
"33","3167","大量","783","+41","+5.53","08/27","+3,906","+7,402","+9,842","+49,417","+79,755","+69,685","+169,542","+116,963","+114,138","+98,360"
"34","2884","玉山金","38.75","+0.2","+0.52","08/27","-3,650","+24,468","+35,811","+48,535","+149,129","+262,142","-238,296","-245,479","+685,076","+67,089"
"35","8358","金居","543","+49","+9.92","08/27","-2,739","+12,777","-389","+47,384","+346,741","+571,442","+575,823","+479,299","+421,211","+451,167"
"36","6139","亞翔","775","-9","-1.15","08/27","+22,615","+23,951","+39,757","+46,823","+88,550","+277,782","+486,135","+470,147","+414,290","+471,512"
"37","1101","台泥","24.3","+0.2","+0.83","08/27","+6,578","+24,997","+31,562","+45,575","+62,640","+65,271","+459,579","+1,133,762","+1,194,218","+1,266,311"
