" "," ","#","股票代號/名稱","類別","20260123","0130","0206","0211","0226","0306"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","150","6024群益期","金融","0.16","0.21","0.01","0.01","0.03","0.59"," ","50","1.01"," ","66.13","56.00","0.60"," "
" "," ","151","3380明泰","通信網路","0.48","0.73","-0.84","-0.33","0.23","0.74"," ","50","1.01"," ","67.62","36.15","0.25"," "
" "," ","152","910322康師傅-DR","存託憑證","0.36","0.00","-0.82","0.92","0.33","0.22"," ","10","1.01"," ","28.63","26.00","-0.15"," "
" "," ","153","2363矽統","半導體","-0.04","0.32","-0.32","0.25","0.08","0.71"," ","31","1.00"," ","31.92","50.60","-0.40"," "
" "," ","154","3002歐格","電腦週邊","-0.04","0.40","0.06","0.59","0.05","-0.06"," ","10","1.00"," ","65.68","20.40","0.10"," "
" "," ","155","1536和大","汽車","1.35","-1.15","0.30","0.75","-0.03","-0.22"," ","10","1.00"," ","37.27","52.50","0.50"," "
" "," ","156","5706鳳凰","觀光","0.13","0.11","0.00","0.50","0.71","-0.45"," ","30","1.00"," ","39.73","51.10","-0.10"," "
" "," ","157","4956光鋐","光電","0.40","0.27","1.02","-1.86","0.73","0.43"," ","30","0.99"," ","37.64","31.20","2.80"," "
" "," ","158","9942茂順","其他","0.02","0.49","-0.02","0.07","0.47","-0.04"," ","30","0.99"," ","52.51","116.50","0.50"," "
" "," ","159","6799來頡","半導體","0.66","1.01","0.02","-0.67","0.07","-0.10"," ","30","0.99"," ","36.05","76.80","1.20"," "
" "," ","160","2059川湖","電子零組件","0.68","0.38","0.12","-0.63","0.21","0.23"," ","50","0.99"," ","67.25","3365.00","75.00"," "
" "," ","161","6753龍德造船","航運","1.81","1.10","-1.62","0.06","0.92","-1.29"," ","30","0.98"," ","60.70","135.50","1.50"," "
" "," ","162","2338光罩","半導體","0.60","0.13","0.04","-0.51","0.65","0.07"," ","30","0.98"," ","51.12","50.00","0.50"," "
" "," ","163","3419譁裕","通信網路","-0.02","0.28","0.39","0.27","-0.09","0.15"," ","31","0.98"," ","31.54","14.85","-0.85"," "
" "," ","164","1301台塑","塑膠","0.52","0.27","-0.32","-0.01","0.93","-0.42"," ","30","0.97"," ","73.06","45.50","-0.75"," "
" "," ","165","2618長榮航","航運","1.11","-0.12","0.32","0.63","0.05","-1.02"," ","10","0.97"," ","73.29","33.55","-0.15"," "
" "," ","166","1609大亞","電器電纜","4.31","-2.80","-1.16","-0.40","0.74","0.27"," ","30","0.96"," ","33.70","35.95","-0.25"," "
" "," ","167","6278台表科","光電","0.02","-0.94","-0.69","0.61","1.56","0.39"," ","30","0.95"," ","65.49","100.00","0.00"," "
" "," ","168","9910豐泰","運動","-0.24","0.06","-0.07","-0.04","-0.06","1.29"," ","31","0.94"," ","90.93","83.80","-3.00"," "
" "," ","169","2471資通","資訊服務","0.54","-0.02","0.02","-0.61","-0.09","1.08"," ","50","0.92"," ","25.05","52.30","-0.50"," "
" "," ","170","1303南亞","塑膠","-0.30","0.26","0.06","0.53","1.13","-0.77"," ","30","0.91"," ","83.71","83.50","6.00"," "
" "," ","171","2516新建","營建","0.18","0.12","0.18","0.47","-0.06","0.02"," ","31","0.91"," ","69.83","13.75","-0.15"," "
" "," ","172","3413京鼎","半導體","-2.18","2.50","-0.41","0.11","1.23","-0.34"," ","30","0.91"," ","40.15","305.00","0.00"," "
" "," ","173","2884玉山金","金融","0.17","0.14","0.25","0.07","0.18","0.10"," ","30","0.91"," ","71.49","33.05","0.00"," "
" "," ","174","8926台汽電","油電燃氣","0.15","-0.11","0.09","0.24","0.41","0.13"," ","30","0.91"," ","60.78","46.10","0.20"," "
" "," ","175","6525捷敏-KY","半導體","0.18","0.46","-0.04","0.01","0.11","0.17"," ","50","0.89"," ","66.13","84.70","0.80"," "
" "," ","176","6695芯鼎","半導體","0.07","0.19","0.04","0.18","0.45","-0.04"," ","30","0.89"," ","44.10","39.95","-0.25"," "
