排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 超過 600張 (%),超過 600張 增減,持股 超過 800張 (%),超過 800張 增減,持股 超過 1千張 (%),超過 1千張 增減
76,00981T,平衡凱基雙核收息,11.91,-0.07,-0.58,26W27,07/03,31.1,-0.59,26.4,-0.56,21.8,0.61
77,6488,環球晶,872.0,0.0,0.0,26W27,07/03,77.7,-0.49,75.8,-0.18,73.0,0.02
78,2204,中華,50.8,0.1,0.2,26W27,07/03,73.8,0.39,72.6,0.4,71.9,0.24
79,00981B,第一金優選非投債,9.32,-0.01,-0.11,26W27,07/03,43.8,0.45,39.6,0.4,35.5,0.25
80,00961,FT臺灣永續高息,13.04,-0.01,-0.08,26W27,07/03,5.36,-0.88,4.5,-1.12,4.1,-1.1
81,00983D,主動富邦複合收益,10.11,-0.02,-0.2,26W27,07/03,24.3,0.6,22.2,1.29,16.8,0.45
82,6613,朋億*,276.0,-30.5,-9.95,26W27,07/03,57.7,-0.01,56.9,-0.01,56.9,-0.01
83,2727,王品,236.0,12.0,5.36,26W27,07/03,29.2,0.04,26.6,0.97,18.1,-1.09
84,1342,八貫,104.0,2.5,2.46,26W27,07/03,57.0,0.71,52.7,-0.19,51.6,-1.3
85,6442,光聖,1325.0,-90.0,-6.36,26W27,07/03,51.7,0.54,41.4,-0.26,37.9,-1.49
86,6134,萬旭,27.1,-0.05,-0.18,26W27,07/03,53.4,0.71,49.1,-1.86,48.0,1.35
87,3257,虹冠電,50.0,-1.5,-2.91,26W27,07/03,43.6,-0.35,39.4,-0.24,37.1,-1.47
88,00650L,復華香港正2,17.47,0.19,1.1,26W27,07/03,40.6,5.48,34.3,4.82,33.1,4.9
89,2305,全友,26.5,0.05,0.19,26W27,07/03,67.4,0.33,65.7,0.36,64.4,0.34
90,00987B,野村10+澳洲公債,16.14,-0.14,-0.86,26W27,07/03,46.6,0.87,43.5,-0.03,36.5,-1.39
91,2491,吉祥全,31.75,-0.2,-0.63,26W27,07/03,73.3,0.02,69.9,0.0,66.5,0.0
92,9955,佳龍,23.9,0.05,0.21,26W27,07/03,58.3,-1.02,57.0,-1.03,55.3,-1.03
93,6147,頎邦,146.5,-4.5,-2.98,26W27,07/03,64.8,-2.41,63.6,-1.79,61.8,-2.17
94,00770,國泰北美科技,69.4,0.0,0.0,26W27,07/03,10.6,-2.09,8.12,-1.18,7.05,-0.08
95,2489,瑞軒,30.85,-0.85,-2.68,26W27,07/03,29.4,-3.31,28.5,-3.32,28.1,-2.98
96,00864B,中信美國公債0-1,47.11,0.01,0.02,26W27,07/03,31.9,0.9,30.0,1.66,27.5,0.95
97,3535,晶彩科,85.2,-2.1,-2.41,26W27,07/03,24.3,-0.13,22.4,-1.2,22.4,-0.14
98,4564,元翎,16.05,-0.2,-1.23,26W27,07/03,39.4,-0.16,37.3,-0.47,35.8,-0.11
99,3689,湧德,107.5,-3.0,-2.71,26W27,07/03,23.0,1.48,21.6,1.45,14.5,0.47
100,9904,寶成,23.9,0.15,0.63,26W27,07/03,68.2,-2.57,66.8,-2.52,65.7,-2.7
101,2303,聯電,116.0,-5.5,-4.53,26W27,07/03,75.8,-0.77,75.0,-0.76,74.2,-0.78
102,2442,新美齊,19.4,0.4,2.11,26W27,07/03,54.0,-0.39,52.6,-0.46,50.3,-0.15
103,5289,宜鼎,1500.0,-110.0,-6.83,26W27,07/03,32.6,-2.73,29.0,-1.4,24.5,-3.27
104,1336,台翰,14.55,-0.55,-3.64,26W27,07/03,44.1,0.06,41.6,0.0,38.2,0.0
