"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"270","6215","和椿","98","-0.4","-0.41","08/31","-6","+25","+61","+109","+254","+138","+602","+411","+1,633","+33"
"271","6901","鑽石投資","15.85","-0.3","-1.86","08/31","+61","+124","+176","+107","+473","+1,782","+3,687","+5,314","+4,594","+5,668"
"272","6706","惠特","123","-1","-0.81","08/31","+28","+39","+152","+106","+108","+96","+652","-1,171","-105","-2,178"
"273","3290","東浦","49.45","+0.2","+0.41","08/31","+80","+88","+88","+104","+164","+261","+697","+968","+1,380","+1,012"
"274","3577","泓格","117","+3","+2.63","08/31","+46","+76","+90","+103","+98","+27","+467","+377","+45","+231"
"275","1611","中電","11.95","0","0","08/31","+43","+36","+113","+101","-191","-211","+1,217","+1,638","+1,402","+933"
"276","5519","隆大","27.7","-0.25","-0.89","08/31","+40","+67","+81","+100","+54","+283","+1,650","+3,036","+2,193","+3,276"
"277","3592","瑞鼎","219","-8","-3.52","08/31","+7","+65","+88","+99","+161","+612","+203","+2,107","+592","+1,496"
"278","6715","嘉基","318.5","-35","-9.9","08/31","+14","+72","+83","+96","+130","+250","+35","+267","+242","+252"
"279","4162","智擎","59","-1","-1.67","08/31","+60","+90","+80","+93","+146","-299","-1,033","-1,397","-2,057","-939"
"280","2425","承啟","37.4","-0.9","-2.35","08/31","+41","+45","+43","+92","+270","+1,261","+1,863","+1,208","+255","+313"
"281","2497","怡利電","45","-0.65","-1.42","08/31","+9","+32","+42","+91","+16","+154","-134","-34","-396","-193"
"282","3504","揚明光","90.3","+0.8","+0.89","08/31","+48","+17","+31","+91","+248","+150","+610","+1,360","+1,473","+1,309"
"283","8070","長華*","50.2","-1.2","-2.33","08/31","+69","+106","+75","+90","+91","-152","-8,488","-6,654","-22,726","-19,479"
"284","1907","永豐餘","29.85","-0.05","-0.17","08/31","+123","+202","+298","+89","-604","-3,216","-11,429","-5,967","-5,067","-3,075"
"285","2365","昆盈","29.5","-0.5","-1.67","08/31","-128","-116","-59","+88","+209","-261","-459","-2,261","-1,506","-2,473"
"286","4174","浩鼎","25.4","-0.75","-2.87","08/31","+89","+89","+118","+87","-199","-265","+354","+1,553","-3,791","+1,392"
"287","6668","中揚光","44","-0.6","-1.35","08/31","+19","+30","+32","+87","+203","+183","+669","+772","+1,035","+866"
"288","00650L","復華香港正2","17.09","-0.2","-1.16","08/31","0","-30","-30","+86","+86","-132","-1,920","-1,840","-4,961","-3,881"
"289","2348","海悅","70.6","-1.5","-2.08","08/31","+36","+79","+108","+86","+24","+495","+534","+989","+2,546","+1,498"
"290","2359","所羅門","144.5","-1","-0.69","08/31","+254","+562","+1,013","+86","+115","-2,009","-2,908","-3,665","-1,156","-5,340"
"291","2520","冠德","36.45","+1.15","+3.26","08/31","+451","+611","+581","+86","-2,114","-2,915","-7,753","-2,370","-19,628","-11,618"
"292","2072","世紀風電","141.5","-2.5","-1.74","08/31","-9","-15","+3","+82","+125","+118","","","",""
"293","2852","第一保","28.15","+0.05","+0.18","08/31","+1","+18","+173","+82","+106","-321","-969","-105","-1,299","-145"
"294","3645","達邁","74.5","-2.1","-2.74","08/31","+469","+580","+427","+81","-104","+22","-1,514","-4,307","-6,968","-2,993"
"295","6405","悅城","39","-1.25","-3.11","08/31","+35","+35","+78","+81","-3","+13","+772","+1,238","+1,448","+1,125"
"296","7749","意騰-KY","362","-10","-2.69","08/31","+26","+45","+73","+81","+115","+97","+182","+1,327","","+1,735"
"297","8114","振樺電","192","-3","-1.54","08/31","+15","+16","+21","+80","-111","-378","-1,215","-1,326","+1,048","+102"
"298","4951","精拓科","78.4","-0.7","-0.88","08/31","+38","+42","+44","+78","+71","+54","+452","+854","+901","+784"
"299","9940","信義","20.15","-0.35","-1.71","08/31","-8","+46","+52","+77","-431","-845","-1,880","-901","-2,975","-1,165"
"300","2547","日勝生","9.96","-0.04","-0.4","08/31","+104","+319","+325","+76","-1,820","-436","-6,821","+6,847","+6,561","+6,881"
