排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
213,6189,豐藝,52.5,-0.7,-1.32,07/02,0.33,-4.19,-13.5,-10.7,-8.52,21.4,-10.7,24.8,-4.45,24.8
214,6188,廣明,80.0,2.5,3.23,07/02,-8.08,-11.3,-13.4,-10.7,-4.81,1.87,-32.3,8.5,169.0,8.5
215,00830,國泰費城半導體,95.75,-4.1,-4.11,07/02,-3.51,-11.5,-11.2,-10.6,-20.8,-6.41,-30.1,115.0,93.0,115.0
216,4528,江興鍛,15.25,-0.15,-0.97,07/02,0.0,0.0,-10.5,-10.5,-8.11,-8.11,-38.2,3.03,13.3,3.03
217,6754,匯僑設計,45.4,0.7,1.57,07/02,2.0,2.0,-10.5,-10.5,-15.0,-16.4,-27.1,4.08,-34.6,4.08
218,3088,艾訊,142.5,5.0,3.64,07/02,-7.61,-6.5,-12.0,-10.5,-27.5,8.44,42.3,-1.85,-7.22,-1.85
219,1342,八貫,113.5,6.0,5.58,07/02,-1.43,-5.86,-6.37,-10.4,-19.8,3.6,-33.8,-40.7,-15.8,-40.7
220,4722,國精化,277.0,1.5,0.54,07/02,1.38,2.22,2.87,-10.4,-20.0,-31.0,-39.5,-71.1,-47.9,-71.1
221,3138,耀登,117.5,0.5,0.43,07/02,-1.52,-1.52,-4.38,-10.3,-9.68,-13.9,30.2,49.2,99.7,49.2
222,2324,仁寶,34.8,0.2,0.58,07/02,-0.98,-0.54,-4.19,-10.2,-18.8,-31.0,-64.4,-50.6,261.0,-50.6
223,3645,達邁,91.6,0.5,0.55,07/02,-2.21,-4.65,-4.85,-10.2,-25.7,-27.4,-32.3,-40.6,-45.9,-40.6
224,2904,匯僑,14.25,-0.05,-0.35,07/02,-1.23,-1.23,-10.1,-10.1,-10.1,-40.3,-24.5,90.5,-9.09,90.5
225,5903,全家,189.5,1.0,0.53,07/02,0.34,2.44,-4.55,-10.1,-9.54,-23.0,-40.0,-49.4,-6.07,-49.4
226,8927,北基,21.45,-0.05,-0.23,07/02,0.33,-0.33,-2.62,-10.0,-21.0,-31.2,-37.7,-35.9,-57.6,-35.9
227,1810,和成,21.15,0.3,1.44,07/02,-10.5,-11.0,-12.3,-9.98,-14.4,-0.56,-20.2,-39.2,-38.5,-39.2
228,6693,廣閎科,255.0,23.0,9.91,07/02,0.0,-7.31,-9.76,-9.94,-38.1,-30.2,4.47,-45.3,41.0,-45.3
229,4527,方土霖,39.85,0.1,0.25,07/02,0.0,-9.8,-9.8,-9.8,-9.8,0.0,-51.6,-65.7,-83.3,-65.7
230,6530,創威,84.5,0.5,0.6,07/02,-2.39,-3.99,-6.39,-9.72,-1.88,-6.29,31.9,-47.9,-13.8,-47.9
231,6937,天虹,291.5,20.5,7.56,07/02,-6.37,-6.37,-7.53,-9.66,-24.6,-12.4,-7.74,-39.4,13.0,-39.4
232,6229,研通,27.25,0.4,1.49,07/02,-9.64,-9.64,-9.64,-9.64,-11.2,-14.8,66.7,30.4,-48.1,30.4
233,4771,望隼,201.5,6.0,3.07,07/02,-3.9,-7.51,-7.51,-9.63,-5.29,-2.48,-2.48,-2.48,11.9,-2.48
234,9907,統一實,15.15,-0.3,-1.94,07/02,0.25,-0.77,-0.67,-9.63,-6.63,14.1,301.0,296.0,697.0,296.0
235,3567,逸昌,30.15,0.15,0.5,07/02,0.0,1.29,-10.6,-9.62,-17.5,-11.3,114.0,267.0,108.0,267.0
236,2603,長榮,185.5,0.0,0.0,07/02,-2.61,-6.34,-8.26,-9.59,-8.26,-4.78,38.6,-0.15,47.2,-0.15
237,00712,復華富時不動產,8.76,-0.04,-0.45,07/02,0.0,-6.52,-6.52,-9.54,-22.2,35.2,-49.4,65.6,-51.5,65.6
238,8415,大國鋼,34.45,0.65,1.92,07/02,-0.09,0.17,0.17,-9.48,-16.1,-27.5,-36.4,-11.4,-32.0,-11.4
239,4938,和碩,83.2,0.6,0.73,07/02,-2.47,-3.18,-3.63,-9.46,0.46,67.0,525.0,215.0,1005.0,215.0
240,00688L,國泰20年美債正2,6.91,-0.06,-0.86,07/02,0.0,-2.31,-5.71,-9.4,-22.8,-25.1,-58.3,-81.7,-83.9,-81.7
241,5452,佶優,34.35,-1.55,-4.32,07/02,2.22,5.23,5.89,-9.37,-28.4,-28.8,-21.6,-28.5,-30.3,-28.5
242,3501,維熹,40.6,0.35,0.87,07/02,-7.07,-10.8,-10.7,-9.35,-14.3,-4.23,5.14,-7.65,40.6,-7.65
243,2537,聯上發,10.8,0.0,0.0,07/02,0.7,1.26,-3.57,-9.31,-4.56,38.7,24.3,-7.67,-23.5,-7.67
244,6411,晶焱,102.0,4.5,4.62,07/02,-8.92,-9.69,-9.69,-9.27,-29.6,-47.4,-46.2,-57.5,5.5,-57.5
245,2881,富邦金,119.5,-3.0,-2.45,07/02,-1.04,-1.47,-1.53,-9.26,-9.54,-9.95,-65.1,-54.1,-72.1,-54.1
246,2634,漢翔,54.6,-1.6,-2.85,07/02,-2.99,-9.68,-9.55,-9.2,-14.2,-18.6,-3.8,-21.1,-4.75,-21.1
247,2536,宏普,21.2,0.35,1.68,07/02,-7.42,-6.72,-8.15,-9.19,-4.73,2.95,61.7,61.1,30.3,61.1
248,8341,日友,75.6,-0.2,-0.26,07/02,-5.11,-5.59,-7.12,-9.17,-36.2,-45.9,-58.7,59.1,21.4,59.1
