排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 月份,非獨 董監 持股 (萬張),非獨 董監 增減 張數,非獨 董監 持股 (%),非獨 董監 質押 (萬張),非獨 董監 質押 (%),獨立 董監 持股 (萬張),獨立 董監 增減 張數,獨立 董監 持股 (%),獨立 董監 質押 (萬張),獨立 董監 質押 (%),全體 董監 持股 (萬張),全體 董監 增減 張數,全體 董監 持股 (%),全體 董監 質押 (萬張),全體 董監 質押 (%)
1530,6236,中湛,17.05,0.0,0.0,26M06,2.46,0.0,59.1,0,0,0.0,0.0,0.0,0,0,2.46,0.0,59.1,0,0
1531,6239,力成,262.5,-7.0,-2.6,26M06,5.72,0.0,7.54,0,0,0.0,0.0,0.0,0,0,5.72,0.0,7.54,0,0
1532,6240,松崗,18.85,-0.05,-0.26,26M06,0.93,0.0,40.8,0,0,0.0,0.0,0.0,0,0,0.93,0.0,40.8,0,0
1533,6241,鑫永洋,15.85,0.45,2.92,26M06,0.01,0.0,0.11,0,0,0.0,0.0,0.0,0,0,0.01,0.0,0.11,0,0
1534,6242,立康,34.6,0.0,0.0,26M06,0.64,0.0,20.3,0,0,0.0,0.0,0.0,0,0,0.64,0.0,20.3,0,0
1535,6244,茂迪,23.1,-0.65,-2.74,26M06,2.53,0.0,6.53,0,0,0.01,0.0,0.04,0,0,2.54,0.0,6.57,0,0
1536,6245,立端,84.4,2.0,2.43,26M06,1.66,0.0,11.3,0,0,0.0,0.0,0.0,0,0,1.66,0.0,11.3,0,0
1537,6257,矽格,199.5,-7.5,-3.62,26M06,2.38,0.0,4.92,0,0,0.0,0.0,0.0,0,0,2.38,0.0,4.92,0,0
1538,6259,百徽,29.0,-0.9,-3.01,26M06,0.36,0.0,12.8,0,0,0.0,0.0,0.0,0,0,0.36,0.0,12.8,0,0
1539,6261,久元,78.4,-1.7,-2.12,26M06,0.93,0.0,7.2,0,0,0.0,0.0,0.0,0,0,0.93,0.0,7.2,0,0
1540,6263,普萊德,154.0,-3.0,-1.91,26M06,2.41,0.0,38.6,0,0,0.0,0.0,0.0,0,0,2.41,0.0,38.6,0,0
1541,6264,富裔,6.06,0.0,0.0,26M06,5.47,0.0,40.1,0,0,0.0,0.0,0.0,0,0,5.47,0.0,40.1,0,0
1542,6265,方土昶,55.4,0.7,1.28,26M06,2.23,0.0,18.9,0,0,0.0,0.0,0.01,0,0,2.23,0.0,18.9,0,0
