排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 100張 以下 (%),100張 以下 增減,持股 200張 以下 (%),200張 以下 增減,持股 400張 以下 (%),400張 以下 增減,持股 600張 以下 (%),600張 以下 增減
1941,7814,海昌生技,29.0,0.15,0.52,26W37,09/11,18.3,-0.02,20.4,-0.02,22.3,-0.02,23.4,-0.02
1942,9930,中聯資源,62.0,-0.2,-0.32,26W37,09/11,18.0,0.08,20.7,0.08,22.3,0.01,23.2,0.01
1943,9960,邁達康,31.3,0.3,0.97,26W37,09/11,12.8,0.13,15.3,0.01,22.2,0.0,28.3,-0.05
1944,4178,永笙-KY,16.5,-0.3,-1.79,26W37,09/11,12.5,-0.02,17.2,-0.01,22.2,-0.01,24.5,0.0
1945,2801,彰銀,27.9,1.05,3.91,26W37,09/11,14.6,0.08,18.6,0.09,22.2,0.09,23.9,0.11
1946,00682U,期元大美元指數,20.39,0.07,0.34,26W37,09/11,7.48,0.01,12.1,0.02,22.1,0.02,22.1,0.02
1947,3516,亞帝歐,25.5,-0.2,-0.78,26W37,09/11,13.3,-0.12,19.2,-0.41,22.1,0.01,24.4,0.0
1948,3037,欣興,977.0,-17.0,-1.71,26W37,09/11,15.2,-0.14,18.0,-0.17,22.0,-0.26,25.5,-0.16
1949,6412,群電,73.7,0.0,0.0,26W37,09/11,17.6,0.37,19.7,0.42,22.0,0.43,23.2,0.03
1950,2027,大成鋼,46.5,-1.7,-3.53,26W37,09/11,16.5,0.23,19.2,0.32,22.0,0.34,24.0,0.39
1951,6921,嘉雨思-創,61.0,-2.0,-3.17,26W37,09/11,13.9,0.06,17.5,0.0,22.0,0.0,24.8,0.0
1952,9931,欣高,34.2,0.05,0.15,26W37,09/11,13.5,-0.2,17.7,0.2,21.9,0.0,23.6,0.0
1953,2536,宏普,19.1,-0.05,-0.26,26W37,09/11,12.8,0.22,17.3,-0.02,21.9,0.23,24.9,0.36
1954,2607,榮運,53.3,0.3,0.57,26W37,09/11,15.9,-0.05,18.6,-0.15,21.9,-0.14,24.8,0.0
1955,1268,漢來美食,171.5,-1.0,-0.58,26W37,09/11,16.7,0.3,18.5,0.0,21.9,0.0,27.8,0.0
1956,6670,復盛應用,275.0,-1.0,-0.36,26W37,09/11,11.7,-0.05,15.4,0.02,21.8,-0.01,26.9,0.05
1957,2434,統懋,60.2,-1.3,-2.11,26W37,09/11,19.1,0.65,19.8,0.02,21.8,0.0,23.1,0.0
1958,2033,佳大,28.4,0.8,2.9,26W37,09/11,14.4,-0.01,17.2,0.37,21.8,-0.58,26.0,-0.53
