"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
"93","8279","生展","84.6","-0.9","-1.05","08/19","0","0","0","-23.1","-23.1","-23.1","-35.1","-9.09","0","+42.9"
"94","5287","數字","153.5","0","0","08/19","-0.64","-0.52","-7.46","-23.1","-23.6","-19.3","+6.53","+124","+145","+235"
"95","2718","全心投控","49.1","+0.05","+0.1","08/19","-18.1","-18.1","-21.6","-22.9","-22.9","-22","-9.38","-18.5","+4.32","-7.64"
"96","2706","第一店","12.4","-0.05","-0.4","08/19","0","-21.9","-21.9","-22.7","-22.7","-20.3","-10","0","-46.7","+1.66"
"97","00957B","兆豐US優選投等債","12.9","+0.06","+0.47","08/19","-22.7","-22.7","-22.7","-22.7","-22.7","-34.3","-32.8","-60.9","-75","-76.9"
"98","7788","松川精密","274","-4","-1.44","08/19","+8.23","-10.2","-23.5","-22.6","-9.31","-13.4","+484","","",""
"99","00985D","主動貝萊德優投等","9.81","+0.06","+0.62","08/19","-22.6","-22.6","-22.6","-22.6","+4.35","+4.35","","","",""
"100","1773","勝一","153.5","-1.5","-0.97","08/19","+0.73","-23.4","-23","-22.6","-19","+2.74","-14.6","-65.5","-52.1","-57.1"
"101","1907","永豐餘","29.95","+0.65","+2.22","08/19","-1.35","-8.81","-28.4","-22.5","-33.1","-48.6","-67.8","-55.4","-47.6","-36.1"
"102","00712","復華富時不動產","8.83","0","0","08/19","-22.5","-22.5","-22.5","-22.5","-22.6","-35.4","-17.1","+2.74","-56.3","-0.39"
"103","2356","英業達","65.2","+0.3","+0.46","08/19","+0.32","-1.43","-9.78","-22.2","-23.1","-36","-5.23","-46.7","-34.8","-38.4"
"104","8121","越峰","27.7","-0.15","-0.54","08/19","-22.2","-22.2","-22.2","-22.2","-20.8","+4,100","","","-59.2",""
"105","1513","中興電","164","-3","-1.8","08/19","-6.54","-10.7","-18.1","-22.1","-26.2","-28.5","+4.4","+269","+189","+109"
"106","2357","華碩","925","+15","+1.65","08/19","-9.7","-12.5","-18.4","-21.9","-27.5","-46.4","-66.2","-55.2","+236","-32.2"
"107","2436","偉詮電","65.1","+0.4","+0.62","08/19","-1.69","-5.67","-7.14","-21.6","-17.5","-11.5","-70.6","-52.7","+12.6","-47.8"
"108","6612","奈米醫材","73.3","-0.1","-0.14","08/19","0","-6.42","-10.5","-21.4","-19.7","-14","-25.5","-29.8","-36.7","-22.4"
"109","8040","九暘","71.2","+1.6","+2.3","08/19","-1.69","-4.12","-18.4","-21.4","-25.3","-46.7","+18.3","+121","+50.6","+151"
"110","6147","頎邦","161.5","-2","-1.22","08/19","-1.79","-0.04","-0.65","-21.4","-17.8","-33.3","-63.6","+94.9","-20.8","+122"
"111","2739","寒舍","35.55","-0.15","-0.42","08/19","0","+1.26","-21.2","-21.2","-17.7","+15.3","-3.6","-23.2","+3.88","-10.7"
"112","3294","英濟","30.5","0","0","08/19","-0.78","-1.78","-20.8","-21.1","-22.5","-25.9","-12.2","-26.2","+2.96","-24.8"
