排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 800張 以下 (%),800張 以下 增減,持股 1千張 以下 (%),1千張 以下 增減,持股 超過 1千張 (%),超過 1千張 增減
1946,2937,集雅社,48.25,0.1,0.21,26W34,08/21,22.2,0.01,28.4,0.0,71.6,0.0
1947,2901,欣欣,24.0,0.1,0.42,26W34,08/21,27.1,0.0,28.4,0.0,71.6,0.0
1948,7814,海昌生技,30.2,-0.5,-1.63,26W34,08/21,26.3,0.0,28.3,0.0,71.7,0.0
1949,4538,大詠城,17.5,0.1,0.57,26W34,08/21,26.7,-0.03,28.3,-0.03,71.7,0.03
1950,1742,台蠟,17.8,0.0,0.0,26W34,08/21,27.3,0.14,28.2,0.14,71.8,-0.14
1951,7827,漢康-KY創,161.0,1.5,0.94,26W34,08/21,26.1,-0.22,28.2,-0.22,71.8,0.22
1952,2608,嘉里大榮,28.8,0.15,0.52,26W34,08/21,26.5,-0.19,28.1,-0.02,71.9,0.02
1953,8291,尚茂,34.95,3.15,9.91,26W34,08/21,28.1,0.0,28.1,0.0,71.9,0.0
1954,9905,大華,21.5,0.0,0.0,26W34,08/21,27.5,0.01,28.1,0.0,71.9,0.0
1955,8047,星雲,46.75,-0.05,-0.11,26W34,08/21,23.6,-0.1,28.1,-0.03,71.9,0.03
1956,1436,華友聯,38.75,0.15,0.39,26W34,08/21,27.2,0.36,28.1,0.82,71.9,-0.82
1957,3171,炎洲流通,63.0,0.0,0.0,26W34,08/21,25.2,0.0,28.0,0.0,72.0,0.0
1958,1232,大統益,158.0,1.5,0.96,26W34,08/21,28.0,0.02,28.0,0.02,72.0,-0.02
1959,4153,鈺緯,33.3,0.5,1.52,26W34,08/21,26.3,-0.04,27.9,-0.04,72.1,0.04
1960,1268,漢來美食,180.0,-0.5,-0.28,26W34,08/21,27.8,0.0,27.8,0.0,72.2,0.0
1961,2506,太設,8.61,-0.02,-0.23,26W34,08/21,26.7,0.01,27.8,0.01,72.2,-0.01
1962,4131,浩泰,31.5,-0.45,-1.41,26W34,08/21,27.8,0.0,27.8,0.0,72.2,0.0
1963,6863,永道-KY,113.5,0.0,0.0,26W34,08/21,26.6,0.0,27.7,0.0,72.3,0.0
1964,1605,華新,37.3,0.45,1.22,26W34,08/21,26.9,0.23,27.6,0.23,72.4,-0.23
1965,1339,昭輝,45.5,0.3,0.66,26W34,08/21,26.4,0.17,27.6,0.17,72.4,-0.17
1966,6221,晉泰,22.85,-0.05,-0.22,26W34,08/21,27.1,0.0,27.6,0.0,72.4,0.0
1967,4178,永笙-KY,17.55,0.1,0.57,26W34,08/21,27.2,0.0,27.6,0.0,72.4,0.0
1968,2064,晉椿,12.5,0.0,0.0,26W34,08/21,26.3,0.0,27.6,0.0,72.4,0.0
1969,6585,鼎基,116.5,0.5,0.43,26W34,08/21,26.4,0.03,27.6,0.03,72.4,-0.03
1970,6597,立誠,72.4,0.4,0.56,26W34,08/21,24.7,0.0,27.5,0.0,72.5,0.0
1971,00751B,元大AAA至A公司債,30.39,-0.26,-0.85,26W34,08/21,27.0,0.04,27.5,0.06,72.5,-0.06
1972,7855,和運租車,43.55,0.2,0.46,26W34,08/21,26.2,-0.45,27.5,-0.13,72.5,0.13
1973,2740,華軒,30.6,1.1,3.73,26W34,08/21,27.5,0.0,27.5,0.0,72.5,0.0
1974,2702,華園,12.55,0.25,2.03,26W34,08/21,27.4,0.0,27.4,0.0,72.6,0.0
1975,00986B,FT金融債10+,9.8,0.0,0.0,26W34,08/21,27.4,-2.08,27.4,-2.08,72.6,2.08
1976,8499,鼎炫-KY,265.0,0.5,0.19,26W34,08/21,27.3,0.0,27.3,0.0,72.7,0.0
1977,6916,華凌,18.85,-0.15,-0.79,26W34,08/21,23.2,0.0,27.3,0.0,72.7,0.0
1978,2247,汎德永業,226.5,2.0,0.89,26W34,08/21,26.3,0.0,27.3,0.0,72.7,0.0
1979,00933B,國泰10Y+金融債,15.65,-0.1,-0.63,26W34,08/21,26.5,0.0,27.3,-0.02,72.7,0.02
1980,2432,倚天酷碁-創,27.35,0.0,0.0,26W34,08/21,27.1,0.0,27.1,0.0,72.9,0.0
1981,1109,信大,13.55,0.05,0.37,26W34,08/21,23.9,-0.02,27.1,-0.01,72.9,0.01
1982,2501,國建,23.15,0.15,0.65,26W34,08/21,25.3,-0.03,27.0,-0.05,73.0,0.05
1983,6924,榮惠-KY創,117.0,-2.5,-2.09,26W34,08/21,22.1,0.0,26.9,0.0,73.1,0.0
1984,5478,智冠,99.0,0.1,0.1,26W34,08/21,22.8,0.0,26.9,0.0,73.1,0.0
1985,6757,台灣虎航,55.8,-0.5,-0.89,26W34,08/21,26.5,-0.16,26.9,-0.17,73.1,0.17
1986,8404,百和興業-KY,16.5,0.35,2.17,26W34,08/21,25.3,-0.22,26.7,-0.03,73.3,0.03
1987,1440,南紡,14.0,0.45,3.32,26W34,08/21,25.3,0.01,26.7,-0.04,73.3,0.04
1988,9931,欣高,34.05,0.05,0.15,26W34,08/21,25.9,0.0,26.6,0.0,73.4,0.0
1989,1476,儒鴻,318.0,1.0,0.32,26W34,08/21,24.7,0.34,26.6,0.69,73.4,-0.69
1990,1623,大東電,201.0,-1.5,-0.74,26W34,08/21,25.0,0.0,26.5,0.0,73.5,0.0
1991,2606,裕民,72.6,2.4,3.42,26W34,08/21,25.7,-0.52,26.5,-0.31,73.5,0.31
1992,00684R,期元大美元指反1,15.27,0.06,0.39,26W34,08/21,26.5,-0.59,26.5,-0.59,73.5,0.59
1993,5344,立衛,13.4,-0.25,-1.83,26W34,08/21,26.5,0.0,26.5,0.0,73.5,0.0
1994,7780,大研生醫*,17.1,0.25,1.48,26W34,08/21,25.8,-0.08,26.5,0.03,73.5,-0.03
1995,6807,峰源-KY,38.0,-0.2,-0.52,26W34,08/21,24.6,0.0,26.4,0.0,73.6,0.0
1996,5520,力泰,82.8,0.0,0.0,26W34,08/21,24.8,0.0,26.4,0.0,73.6,0.0
1997,9926,新海,49.3,0.25,0.51,26W34,08/21,23.4,0.0,26.3,0.0,73.7,0.0
1998,6614,資拓宏宇,35.95,-0.05,-0.14,26W34,08/21,26.3,0.01,26.3,0.01,73.7,-0.01
1999,1453,大將,11.3,0.05,0.44,26W34,08/21,26.3,0.0,26.3,0.0,73.7,0.0
2000,00689R,國泰20年美債反1,22.6,0.0,0.0,26W34,08/21,26.2,0.14,26.2,0.14,73.8,-0.14
2001,2801,彰銀,24.1,0.25,1.05,26W34,08/21,25.3,-0.05,26.2,-0.09,73.8,0.09
2002,5324,士開,12.3,0.1,0.82,26W34,08/21,25.3,0.14,26.2,0.14,73.8,-0.14
2003,3631,晟楠,39.7,-0.3,-0.75,26W34,08/21,25.0,0.0,26.2,0.0,73.8,0.0
2004,8467,波力-KY,96.9,-0.1,-0.1,26W34,08/21,26.1,0.0,26.1,0.0,73.9,0.0
2005,6550,北極星藥業-KY,12.25,1.1,9.87,26W34,08/21,24.9,-0.16,26.1,-0.16,73.9,0.16
2006,2545,皇翔,34.7,0.6,1.76,26W34,08/21,25.4,-0.05,26.1,-0.05,73.9,0.05
2007,5301,寶得利,5.5,0.0,0.0,26W34,08/21,23.3,-0.05,26.1,-0.02,73.9,0.02
2008,2308,台達電,1750.0,5.0,0.29,26W34,08/21,24.3,0.13,26.0,0.3,74.0,-0.3
2009,6722,輝創,32.45,0.15,0.46,26W34,08/21,25.9,0.0,25.9,0.0,74.1,0.0
2010,4506,崇友,123.0,0.0,0.0,26W34,08/21,23.8,0.03,25.8,0.03,74.2,-0.03
2011,8032,光菱,35.8,-0.25,-0.69,26W34,08/21,25.8,0.0,25.8,0.0,74.2,0.0
2012,5438,東友,16.85,-0.05,-0.3,26W34,08/21,25.8,0.17,25.8,0.17,74.2,-0.17
2013,1802,台玻,57.6,-0.1,-0.17,26W34,08/21,25.3,0.01,25.8,-0.08,74.2,0.08
2014,6856,鑫傳,42.45,0.45,1.07,26W34,08/21,25.7,0.0,25.7,0.0,74.3,0.0
2015,1234,黑松,33.4,-0.1,-0.3,26W34,08/21,23.9,-0.02,25.7,-0.02,74.3,0.02
2016,3313,斐成,10.3,0.05,0.49,26W34,08/21,25.6,0.0,25.6,0.0,74.4,0.0
2017,2434,統懋,48.65,-0.4,-0.82,26W34,08/21,23.1,0.0,25.6,0.0,74.4,0.0
2018,1423,利華,35.8,0.05,0.14,26W34,08/21,24.6,0.01,25.5,0.01,74.5,-0.01
2019,8923,時報,18.6,-0.05,-0.27,26W34,08/21,22.4,0.0,25.4,0.0,74.6,0.0
2020,2012,春雨,15.0,0.0,0.0,26W34,08/21,22.9,-0.01,25.4,0.0,74.6,0.0
2021,2027,大成鋼,50.3,-0.2,-0.4,26W34,08/21,24.7,-0.5,25.4,-0.65,74.6,0.64
2022,9941A,裕融甲特,51.2,0.1,0.2,26W34,08/21,23.5,0.0,25.4,0.0,74.6,0.0
2023,4304,勝昱,25.7,2.3,9.83,26W34,08/21,25.4,0.0,25.4,0.0,74.6,0.0
2024,1789,神隆,19.45,0.0,0.0,26W34,08/21,24.9,0.0,25.3,-0.11,74.7,0.11
2025,8927,北基,20.4,0.4,2.0,26W34,08/21,23.1,-0.09,25.3,-0.33,74.7,0.33
2026,6412,群電,78.0,-0.4,-0.51,26W34,08/21,24.1,0.07,25.3,0.31,74.7,-0.31
2027,7821,神數,39.4,0.3,0.77,26W34,08/21,22.8,0.0,25.2,0.0,74.8,0.0
2028,4305,世坤,43.2,0.0,0.0,26W34,08/21,21.7,0.0,25.2,0.0,74.8,0.0
2029,9908,大台北,29.2,0.05,0.17,26W34,08/21,23.2,0.17,25.2,0.0,74.8,0.0
2030,00931B,統一美債20年,13.06,-0.12,-0.91,26W34,08/21,24.7,-0.05,25.2,-0.05,74.8,0.05
2031,1108,幸福,11.8,0.0,0.0,26W34,08/21,24.4,-0.03,25.1,0.0,74.9,0.0
2032,1903,士紙,49.05,0.65,1.34,26W34,08/21,22.7,0.0,25.1,0.0,74.9,0.0
2033,1463,強盛新,17.6,0.0,0.0,26W34,08/21,24.5,-0.04,25.0,-0.04,75.0,0.04
2034,9906,欣巴巴,39.4,0.15,0.38,26W34,08/21,23.9,0.01,25.0,0.01,75.0,-0.01
2035,2527,宏璟,44.4,0.25,0.57,26W34,08/21,23.2,0.59,24.9,0.61,75.1,-0.61
2036,2505,國揚,17.5,0.05,0.29,26W34,08/21,24.4,0.4,24.9,-0.06,75.1,0.06
2037,2511,太子,8.36,0.06,0.72,26W34,08/21,23.5,0.08,24.9,-0.03,75.1,0.03
