"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"217","1815","富喬","107","-3","-2.73","05/08","1.07","0.43","0.28","0.57","0.38","0.76","1.09","0.63","0.38","0.24","0.33","0.91"
"218","6505","台塑化","53","+0.7","+1.34","05/08","0.06","1.06","0.84","0.55","2.11","1.71","0.87","0.83","1.4","1.1","1.71","0.94"
"219","3443","創意","5210","-240","-4.4","05/08","0","0.61","0.31","0.53","2.24","1.19","2.58","1.8","2.22","2.25","2.05","2.31"
"220","1612","宏泰","36.7","-0.5","-1.34","05/08","0","1.26","0.91","0.53","0.36","0.23","0.09","0.03","0.13","0.12","0.07","0.04"
"221","9938","百和","44.8","-0.8","-1.75","05/08","0.76","1.14","0.94","0.53","0.29","1.43","5.23","5.04","4.23","3.12","3.51","6.22"
"222","6180","橘子","39.25","+0.05","+0.13","05/08","0.33","0.13","0.12","0.52","0.57","0.69","0.36","3.21","2.88","0.59","0.2","3.51"
"223","1907","永豐餘","24.05","0","0","05/08","0.93","0.83","0.55","0.5","0.65","0.65","0.52","0.47","1.41","4.75","1.4","0.65"
"224","4966","譜瑞-KY","669","+60","+9.85","05/08","0","0.05","0.04","0.48","1.02","3.74","2.98","3.19","2.05","3.31","3.74","2.96"
"225","3038","全台","22.85","-0.45","-1.93","05/08","0.24","0.12","0.11","0.47","0.49","0.33","0.29","0.27","0.45","0.44","0.17","0.33"
"226","2330","台積電","2290","-20","-0.87","05/08","0.57","0.27","0.26","0.44","0.46","1.74","1.18","1.23","1.11","0.95","0.78","1.24"
"227","8299","群聯","2430","+40","+1.67","05/08","0.12","0.09","0.06","0.41","0.53","2.6","4.02","4.73","5.12","5.2","3.58","3.57"
"228","3078","僑威","57.5","+0.2","+0.35","05/08","0","0.08","0.25","0.4","0.93","0.86","0.37","5.6","4.33","1.04","0.8","2.62"
