"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"215","1402","遠東新","26.75","0","0","05/14","1.15","1.03","0.72","0.69","1.24","1.55","3.56","6.08","11.2","11.2","5.4","5.67"
"216","6279","胡連","117.5","-1","-0.84","05/14","1.42","0.99","0.85","0.67","0.42","1.1","1.45","1.78","4.97","3.15","2.76","1.98"
"217","9924","福興","42.1","+0.1","+0.24","05/14","2.01","0.85","0.68","0.67","0.95","1.37","0.75","0.33","0.13","0.02","0.02","0.78"
"218","6180","橘子","38.9","-0.15","-0.38","05/14","1.39","0.87","0.82","0.66","0.62","0.78","0.4","3.25","3.03","0.59","0.2","3.42"
"219","2615","萬海","74.8","+0.5","+0.67","05/14","0.15","0.15","0.2","0.65","1.11","3.06","4.73","11.2","4.97","2.18","1.14","4.66"
"220","0052","富邦科技","56.6","+0.45","+0.8","05/14","1.39","0.77","0.44","0.64","0.31","0.68","1.3","1.04","1.05","1.08","1.09","1.35"
"221","9958","世紀鋼","110","+5.5","+5.26","05/14","0.03","1.02","0.85","0.63","0.35","0.23","0.1","0.1","0.26","0.01","0","0.16"
"222","1907","永豐餘","24.45","-0.05","-0.2","05/14","1.45","0.66","0.44","0.63","0.6","0.69","0.53","0.48","1.41","4.77","1.4","0.64"
"223","2915","潤泰全","42.75","-0.2","-0.47","05/14","2.89","1.3","0.95","0.62","3.88","10.3","5.72","10.8","7.97","7.22","3.23","10.6"
"224","2892","第一金","29.5","0","0","05/14","0.69","0.35","0.57","0.62","0.59","1.99","1.69","16.6","15.4","8.59","3.5","1.91"
"225","8936","國統","49.85","-0.35","-0.7","05/14","1.09","0.74","0.71","0.62","0.43","0.22","0.08","0.05","0.02","0","0.02","0.06"
"226","00850","元大臺灣ESG永續","81.85","-0.1","-0.12","05/14","0","0.81","0.4","0.6","0.28","1.61","0.98","1.04","1.3","1.03","","1.26"
"227","1711","永光","50.8","-0.5","-0.97","05/14","0","0","0","0.58","0.46","0.09","0.03","0.02","0.02","0.02","0.01","0.03"
"228","8112","至上","84.5","+2.3","+2.8","05/14","0.06","0.15","0.13","0.56","1.48","3.24","1.48","0.59","0.34","0.18","0.09","1.19"
