" "," ","#","股票代號/名稱","類別","20260430","0508","0515","0522","0529","0605"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","102","3060銘異","電腦週邊","-1.47","0.88","-1.19","0.46","2.06","1.34"," ","30","2.08"," ","20.69","30.80","-1.15"," "
" "," ","103","1708東鹼","化學","0.92","-1.00","2.50","-0.71","-2.33","2.68"," ","31","2.06"," ","49.28","49.10","1.45"," "
" "," ","104","2537聯上發","營建","-0.21","0.77","0.77","-0.16","0.59","0.29"," ","30","2.05"," ","59.30","10.15","0.10"," "
" "," ","105","6446藥華藥","生技醫療業","0.36","0.24","1.08","0.20","0.29","-0.15"," ","30","2.02"," ","56.28","937.00","-1.00"," "
" "," ","106","3026禾伸堂","電子零組件","-1.45","0.17","1.35","0.91","1.06","-0.03"," ","30","2.01"," ","56.24","626.00","4.00"," "
" "," ","107","1325恆大","塑膠","0.18","0.65","0.18","0.14","0.17","0.69"," ","50","2.01"," ","48.11","26.65","-0.70"," "
" "," ","108","1527鑽全","電機","0.49","0.11","0.60","0.07","0.44","0.27"," ","30","1.98"," ","31.63","33.40","-0.20"," "
" "," ","109","4306炎洲","塑膠","-0.17","0.07","0.09","0.63","0.35","0.95"," ","31","1.92"," ","55.63","14.95","-0.05"," "
" "," ","110","2491吉祥全","光電","-0.01","0.61","-0.46","1.14","-0.35","0.97"," ","31","1.90"," ","73.30","34.70","0.70"," "
" "," ","111","3014聯陽","半導體","-0.31","0.41","-1.64","1.57","2.12","-0.26"," ","30","1.89"," ","35.30","152.00","1.50"," "
" "," ","112","2542興富發","營建","0.59","0.09","0.73","0.31","0.00","0.17"," ","31","1.89"," ","62.03","43.00","-0.10"," "
" "," ","113","2030彰源","鋼鐵","0.12","0.10","1.68","-0.14","-0.01","0.11"," ","50","1.86"," ","46.60","18.50","-0.15"," "
" "," ","114","1305華夏","塑膠","0.35","0.06","0.61","0.35","-0.05","0.51"," ","31","1.83"," ","51.67","13.20","-0.35"," "
" "," ","115","4560強信-KY","電機","0.55","0.64","0.14","0.15","0.18","0.16"," ","30","1.82"," ","87.40","32.80","-0.15"," "
" "," ","116","911608明輝-DR","存託憑證","1.20","0.22","0.14","0.28","0.33","-0.35"," ","30","1.82"," ","28.71","3.51","0.29"," "
" "," ","117","6164華興","光電","0.40","-1.01","-0.30","-0.04","0.19","2.57"," ","50","1.81"," ","26.60","13.10","0.10"," "
" "," ","118","2107厚生","橡膠","0.52","0.41","0.43","0.05","0.16","0.23"," ","50","1.80"," ","61.56","26.00","-0.05"," "
" "," ","119","1303南亞","塑膠","0.53","-0.05","-0.56","0.11","0.66","1.11"," ","50","1.80"," ","86.07","104.50","-6.50"," "
" "," ","120","6534正瀚-創","生技醫療業","0.44","0.13","0.30","0.20","0.61","0.08"," ","30","1.76"," ","82.11","90.70","-0.60"," "
" "," ","121","2328廣宇","電子零組件","0.14","0.53","0.14","0.11","1.79","-0.97"," ","30","1.74"," ","42.06","56.00","-1.90"," "
" "," ","122","2301光寶科","電腦週邊","0.46","1.71","0.15","-0.33","-0.18","-0.08"," ","50","1.73"," ","80.16","230.00","-18.50"," "
" "," ","123","3050鈺德","光電","-0.04","0.03","0.32","0.33","0.48","0.61"," ","50","1.73"," ","53.09","13.45","-0.15"," "
" "," ","124","2392正崴","電子零組件","-0.02","0.35","-0.44","0.83","0.61","0.40"," ","10","1.73"," ","48.50","40.70","-1.30"," "
" "," ","125","3047訊舟","通信網路","-0.44","0.31","0.37","0.56","0.73","0.14"," ","30","1.67"," ","20.77","16.15","-0.20"," "
" "," ","126","2332友訊","通信網路","-0.29","0.39","-0.31","0.68","0.95","0.24"," ","30","1.66"," ","45.36","16.30","-0.25"," "
" "," ","127","2618長榮航","航運","-0.29","0.26","0.20","0.04","0.20","1.25"," ","50","1.66"," ","74.48","37.70","-0.20"," "
" "," ","128","2468華經","資訊服務","-0.17","-0.14","-0.73","-0.04","0.24","2.50"," ","50","1.66"," ","54.02","40.90","-3.85"," "
" "," ","129","2103台橡","橡膠","0.13","0.03","1.12","-0.57","-0.54","1.48"," ","50","1.65"," ","54.11","21.70","-0.55"," "
" "," ","130","6283淳安","其他電子","-0.01","0.19","0.07","0.55","0.59","0.25"," ","30","1.64"," ","62.49","25.35","0.05"," "
" "," ","131","9906欣巴巴","營建","0.13","0.15","0.42","0.07","0.51","0.36"," ","30","1.64"," ","78.88","42.60","1.20"," "
" "," ","132","1409新纖","紡織","0.09","-0.36","0.47","0.11","1.78","-0.45"," ","30","1.64"," ","67.58","26.15","-1.15"," "
