"排名","代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
"782","3141","晶宏","櫃","05/12","","63","+5.7","+9.95","3,954","241","57.3","57.6","63","56.5","11.3","61.8","1.76","","","","",""
"783","3025","星通","市","05/12","","62.9","+0.1","+0.16","493","31.2","62.8","64.5","64.5","62.7","2.87","18.2","4.03","","","","",""
"784","3438","類比科","櫃","05/12","","62.8","-1.1","-1.72","445","28.1","63.9","65.3","65.4","61.5","6.1","69","1.19","","","","",""
"785","2756","聯發國際","櫃","05/12","","62.7","+1.2","+1.95","12","0.77","61.5","62.9","62.9","62.7","0.33","16","2.63","","","","",""
"786","1760","寶齡富錦","市","05/12","","62.6","-1.2","-1.88","294","18.5","63.8","63.8","63.8","62.5","2.04","28.2","2.75","","","","",""
"787","2881B","富邦金乙特","市","05/12","","62.6","0","0","112","7.04","62.6","62.5","62.6","62.4","0.32","","","","","","",""
"788","3701","大眾控","市","05/12","","62.6","-0.3","-0.48","3,703","236","62.9","63.6","65.5","62.4","4.93","","3.1","","","","",""
"789","1419","新紡","市","05/12","","62.5","-1.6","-2.5","107","6.72","64.1","64.2","64.2","62","3.43","15.2","1.07","","","","",""
"790","2354","鴻準","市","05/12","","62.5","+0.9","+1.46","26,968","1,674","61.6","62.6","63.5","60.8","4.38","29.5","0.83","","","","",""
"791","3588","通嘉","市","05/12","","62.3","-1.3","-2.04","599","37.2","63.6","64","64","61","4.72","125","2.2","","","","",""
"792","00715L","期街口布蘭特正2","市","05/12","","62.2","-0.35","-0.56","5,315","332","62.55","62.3","62.9","61.9","1.6","","0.9731","","","","",""
"793","2882A","國泰特","市","05/12","","62.2","0","0","78","4.82","62.2","62.1","62.2","62.1","0.16","","","","","","",""
"794","2891C","中信金丙特","市","05/12","","62.2","+0.1","+0.16","119","7.41","62.1","62","62.2","61.8","0.64","","","","","","",""
