"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"247","6021","美好證","32.05","-0.35","-1.08","05/14","51.9","49.6","42.1","27.5","22.4","24.6","25.6","19.9","15.9","10.2","5.78","21.9"
"248","2905","三商","13.35","0","0","05/14","53.6","42.8","42","38.8","33","43.8","39.8","41.2","40.4","34.4","27.1","39.9"
"249","1906","寶隆","10.7","0","0","05/14","39.4","48.2","42","31.5","23.4","19.5","12.7","11.7","10.8","10.3","8.34","12.4"
"250","1734","杏輝","30.65","-0.15","-0.49","05/14","56.1","40.1","41.9","47","45.2","30.6","25.7","26.9","22.8","22.9","14.2","25.1"
"251","3596","智易","179","-4","-2.19","05/14","55.4","45.2","41.8","50.2","53.1","52.4","56","58.9","51.6","39.1","21.5","57.2"
"252","1203","味王","42.65","-0.2","-0.47","05/14","63.2","60.9","41.8","34","32.7","22.4","29.4","26.1","23.7","31.4","12.9","26.7"
"253","2258","鴻華先進-創","28.2","-0.85","-2.93","05/14","80.3","53.3","41.8","32","25.2","23.7","26","25.9","25","","","26"
"254","3086","華義*","37.95","-0.35","-0.91","05/14","41.8","42","41.8","40.3","33.4","25.8","25.9","27.1","26.3","20.9","13.3","26.4"
"255","3533","嘉澤","2450","-145","-5.59","05/14","35.6","38.4","41.8","46.4","42.8","46.1","47.3","45.3","46.6","47.5","28.6","44.2"
"256","6281","全國電","51.7","+1.3","+2.58","05/14","29.6","36.3","41.7","37.5","25.7","25","25.5","25.2","22.2","17.2","18.5","25.2"
"257","1103","嘉泥","13.05","-0.15","-1.14","05/14","37.7","36","41.7","33.6","23.9","22.4","30","26.1","36.2","33.3","19.7","25.6"
"258","9930","中聯資源","69.1","-0.3","-0.43","05/14","50.8","40.6","41.5","35","31.7","27.2","14.3","9.34","3.84","0.79","0.27","15.5"
"259","2102","泰豐","18.15","-0.2","-1.09","05/14","45.5","42.1","41.5","38.4","42","46.2","38.7","32.3","35.3","29.7","16.9","33.6"
"260","1313","聯成","10.55","-0.5","-4.52","05/14","43.3","47.4","41.5","38","28.9","33.3","33","33.2","32.5","34.2","24.7","33.3"
"261","8996","高力","1065","+40","+3.9","05/14","36.1","37.2","41.4","39.1","33.7","34.2","19.1","9.16","3.77","1.47","0.44","17.1"
"262","6026","福邦證","15.55","-0.3","-1.89","05/14","59.2","46.4","41.3","37.1","23.9","23","23.6","21.3","19.6","20.1","15.5","22.3"
"263","6592","和潤企業","59.8","-0.1","-0.17","05/14","44.2","42.4","41.2","53","48.8","44.6","41.4","41.6","40.2","34.8","","40.2"
"264","2645","長榮航太","153","-3","-1.92","05/14","32.5","44.1","41.1","38.5","32.9","29.6","32.5","37.5","32.6","29.4","","31.3"
"265","3078","僑威","55.1","-0.7","-1.25","05/14","38","43.1","41","38.5","32.6","34.6","56.6","51.6","32.8","21.2","15.3","53.7"
"266","3680","家登","580","-8","-1.36","05/14","49.4","43.4","40.9","32.2","30.2","32.2","34","31.7","33.6","29.3","17","32.2"
"267","5009","榮剛","37.5","-0.35","-0.92","05/14","32.3","38.3","40.8","27.8","25.1","25.6","29","30","31.1","26.6","20.8","29"
"268","7769","鴻勁","7560","+120","+1.61","05/14","36.4","41.2","40.8","40.6","40.4","37","30.3","","","","","18.2"
"269","6558","興能高","30.6","+1.25","+4.26","05/14","25.1","37.5","40.8","35.6","33.9","31.4","29.7","25.1","19.8","16.8","","27.9"
"270","6477","安集","33.25","-0.45","-1.34","05/14","38.8","42.8","40.8","34","32.1","32.6","29.8","29.5","25.3","21.7","","30.2"
"271","1316","上曜","11.15","0","0","05/14","23.6","34.6","40.7","35.6","28.4","27.2","27.1","28.5","24.6","22.3","19.8","30.5"
"272","4994","傳奇","92.2","-3.9","-4.06","05/14","53.1","43.4","40.7","42.3","36","32.6","30.8","23.2","21.5","21.2","12.9","25.9"
"273","6890","來億-KY","161.5","-2","-1.22","05/14","54.7","56.4","40.6","40.6","44.4","41.5","23.9","13.4","4.75","","","20.5"
"274","1340","勝悅-KY","5.55","+0.09","+1.65","05/14","42.2","43.3","40.6","40.5","33.3","29.8","24.1","21.2","17.5","14.2","13.6","21.5"
"275","1217","愛之味","9.61","-0.04","-0.41","05/14","55.5","47.3","40.6","36.8","34.2","29.5","26.3","20.7","22.4","20.6","14.4","22.7"
"276","1216","統一","74.8","-0.4","-0.53","05/14","47.9","35.4","40.5","36","49.3","48.2","56.7","61.1","59.3","62.4","65.6","56.9"
"277","8081","致新","261","+4.5","+1.75","05/14","26.9","44.9","40.5","35","32.5","32.4","25.7","16.9","7.81","2.42","0.49","21.5"
"278","2497","怡利電","57.1","-1.9","-3.22","05/14","53.1","48.4","40.5","33.9","26.7","24.9","26.8","27.5","32","23.3","17.6","28"
"279","6670","復盛應用","263","-2","-0.75","05/14","55.2","51.8","40.5","45.6","46.7","45.1","44.9","41.5","54","46.1","","44"
"280","2317","鴻海","244.5","-6.5","-2.59","05/14","58.7","46.4","40.4","40.2","30.4","35","42.8","44.1","38.7","39.5","40.8","43.6"
"281","6235","華孚","40.35","-0.9","-2.18","05/14","30.1","36.7","40.4","39.5","34.6","33","34","31.4","27","22.6","16.5","32.4"
"282","2104","國際中橡","9.94","-0.06","-0.6","05/14","37.9","41.4","40.3","27.6","27.8","30.8","32.8","34","35.1","34.2","22.6","31.8"
"283","6191","精成科","92.5","0","0","05/14","47.6","45.5","40.3","45.1","37.8","36.1","34.2","31.9","27.8","27.8","21.2","33.2"
"284","1598","岱宇","20.15","-0.2","-0.98","05/14","29.7","41","40.2","34","32.2","28.6","26.7","26.1","27.2","27.6","","25.9"
"285","1760","寶齡富錦","61.8","-0.4","-0.64","05/14","46.4","45.1","40.2","39.1","31","25.2","26.9","28.5","27.9","24.7","","28"
"286","7722","LINEPAY","263","-12","-4.36","05/14","56","44.2","40.1","38","34.6","31.7","14.7","8.51","2.79","","","14.7"
"287","6541","泰福-KY","38.55","-2.3","-5.63","05/14","50.6","38.8","40","41.5","35.1","35","33.7","31.7","29.2","25.7","","36.4"
"288","2908","特力","20.75","+0.05","+0.24","05/14","46","37.7","40","27.9","20.4","22.6","30.5","23.8","20.1","17.9","21.9","33.1"
"289","4755","三福化","138","+0.5","+0.36","05/14","24.6","41.7","40","40.6","38.9","31.2","28.6","27.5","26.8","23.8","16.2","27.5"
"290","3002","歐格","17.1","-0.55","-3.12","05/14","47.5","49","40","36.1","29","30.7","32.7","21.2","19.3","19","11.7","27.7"
"291","2301","光寶科","207","-4.5","-2.13","05/14","43.4","47.3","40","38.8","39.6","37.4","40.8","38.9","37.3","40.6","47.3","39.3"
"292","6691","洋基工程","637","+5","+0.79","05/14","41","34.1","39.9","40.4","39.3","34.2","38.4","37.5","35.8","34.6","","39.3"
"293","6177","達麗","45.7","-0.85","-1.83","05/14","36.4","43.1","39.9","35.1","34.8","36.4","38.2","36.2","34.7","31","25.6","38.8"
"294","2412","中華電","137.5","0","0","05/14","50.4","35.3","39.9","44.8","48.9","44.6","42.2","46.6","43","41","40","44.3"
"295","6589","台康生技","40.55","-0.8","-1.93","05/14","44.8","39.7","39.9","41.1","38.6","33.5","35.7","32.4","33.4","26.5","","35.3"
"296","2514","龍邦","13.05","-0.1","-0.76","05/14","61.2","59.5","39.8","19.7","13.4","14.1","16.3","14.2","20.1","25.4","18.5","14.4"
"297","6274","台燿","1450","0","0","05/14","26","36.4","39.8","41.1","37.3","34.2","30.7","29.2","27.5","27.1","26.1","29.8"
"298","2707","晶華","172.5","-3","-1.71","05/14","59.9","39.7","39.8","39.6","40.3","35.2","36.7","37.9","32","30.5","24.2","37"
"299","3709","鑫聯大投控","81.8","-0.1","-0.12","05/14","36.5","32.3","39.8","34.9","31.6","29.4","27","27","24.3","21.9","","26.7"
"300","00992A","主動群益科技創新","18.24","-0.01","-0.05","05/14","12.7","35","39.8","27.6","23.4","16.9","16.1","","","","","14.6"
