"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔發行張數","2日買賣超佔發行張數","3日買賣超佔發行張數","5日買賣超佔發行張數","10日買賣超佔發行張數","1個月買賣超佔發行張數","3個月買賣超佔發行張數","半年買賣超佔發行張數","1年買賣超佔發行張數","3年買賣超佔發行張數","10年買賣超佔發行張數","今年買賣超佔發行張數"
"222","3176","基亞","36","-2.2","-5.76","07/13","-0.2","-0.04","-0.04","+0.4","+1","+1.05","-0.01","+0.06","-0.06","+0.51","+0.33","+0.12"
"223","2458","義隆","183","-0.5","-0.27","07/13","-0.13","+0.09","-0.61","+0.4","-1.88","-0.31","+6.92","+12.1","+4.56","-2.37","+33.6","+11.7"
"224","3045","台灣大","109.5","+1","+0.92","07/13","+0.26","+0.93","+0.7","+0.4","-0.78","-0.48","+0.88","+2.76","-2.71","-0.14","-17.4","+2.53"
"225","910322","康師傅-DR","22.5","0","0","07/13","+0.01","+0.01","+0.1","+0.4","+0.33","-0.5","-2.56","-0.97","-1.99","-2.2","-2.98","-0.29"
"226","3189","景碩","819","+24","+3.02","07/13","+0.04","+0.08","+0.5","+0.4","-2.44","-3.27","+3.92","-0.16","+9.79","+8.98","-0.34","-0.89"
"227","6155","鈞寶","70.2","-3","-4.1","07/13","+0.63","+0.29","+0.59","+0.4","+0.21","+0.76","+0.26","+1.98","+1.37","+2.61","+8.69","+2.1"
"228","5483","中美晶","231.5","+21","+9.98","07/13","+0.21","-0.06","-0.34","+0.39","+3.09","+2.11","+5.8","+8.94","+5.74","-5.79","+8.62","+8"
"229","8462","柏文","160","+1","+0.63","07/13","+0.13","+0.14","+0.17","+0.39","+0.85","+0.72","+0.64","+0.6","+0.95","+0.4","+0.59","+1.04"
"230","6531","愛普*","893","-29","-3.15","07/13","+0.1","+0.12","+0.23","+0.39","+0.77","-0.95","-2.74","-0.86","+9.79","+17.7","+9.34","+1"
"231","2397","友通","59.2","+0.7","+1.2","07/13","+0.11","+0.09","+0.11","+0.39","+0.99","+0.89","+2.99","+3.17","+0.3","+1.64","+1.64","+3.35"
"232","4938","和碩","82.6","-0.1","-0.12","07/13","+0.05","+0.05","+0.1","+0.39","+1.18","+1.66","-2.94","-0.66","-0.5","-4.42","-15.9","+0.16"
"233","6285","啟碁","259","-1.5","-0.58","07/13","+0.04","+0.6","+0.69","+0.38","+0.2","+0.48","+5.49","+10.6","-0.93","+7.37","+5.48","+8.62"
"234","3260","威剛","405","-5","-1.22","07/13","+0.09","+0.27","+0.27","+0.38","-0.55","-0.72","-6.5","-19.3","+0.86","+0.37","+3.51","-17.8"
"235","2603","長榮","195","+0.5","+0.26","07/13","+0.21","+0.25","+0.67","+0.38","+0.97","+0.97","-0.56","+3.34","-1.14","+1.52","-4.12","+3.79"
"236","8076","伍豐","26.05","-0.5","-1.88","07/13","-0.05","+0.16","+0.19","+0.38","+0.57","+0.64","+0.02","-0.16","-0.56","-0.56","-0.49","-0.11"
"237","1568","倉佑","32.4","-0.5","-1.52","07/13","+0.07","+0.3","+0.21","+0.38","+0.46","-0.57","+0.57","+0.7","+0.49","-0.42","+0.93","+0.62"
"238","4162","智擎","66","+1.5","+2.33","07/13","+0.2","+0.4","+0.28","+0.38","+0.74","+0.97","+2.51","+2.92","+1.51","+5.65","+0.13","+3.4"
"239","2364","倫飛","69.3","+1.3","+1.91","07/13","+0.06","+0.05","-0.01","+0.37","+0.64","+0.21","+0.99","+0.24","-5.62","-3.38","-3.15","-0.23"
"240","00894","中信小資高價30","47.37","-0.13","-0.27","07/13","+0.05","+0.22","+0.22","+0.37","+0.87","+1.86","-0.13","+0.17","+1.95","+5.3","","+0.05"
"241","5410","國眾","40.05","-4.45","-10","07/13","-0.03","+0.16","+0.27","+0.37","+0.79","+0.83","+4.82","+4.77","+4.37","+6.7","+6.66","+4.92"
"242","5609","中菲行","78.7","-0.2","-0.25","07/13","+0.04","+0.04","+0.12","+0.37","+0.48","-0.14","-0.35","-0.58","+0.24","-0.98","+8.17","-0.51"
"243","00655L","國泰中國A50正2","33.7","-1.35","-3.85","07/13","+0.02","0","+0.29","+0.36","-0.86","-0.39","+2.21","+10.9","+21.4","+44.8","+115","+11.4"
"244","4771","望隼","209.5","-3.5","-1.64","07/13","+0.01","+0.05","+0.07","+0.36","+1.42","+1.45","+2.14","+3.08","+2.82","","","+3.09"
"245","4951","精拓科","85.9","-2.3","-2.61","07/13","+0.41","+0.47","+0.43","+0.36","+0.43","-0.79","-2.43","-1.7","-0.55","+1.28","","-1.87"
