排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
86,8069,元太,184.0,-4.5,-2.39,07/16,0.0,-0.05,0.07,0.09,0.62,1.05,1.87,1.79,1.7,1.53,1.77,2.25
87,6023,元大期,106.0,0.0,0.0,07/16,0.0,0.0,0.08,0.09,0.12,0.16,0.06,0.14,0.16,0.16,0.16,0.13
88,0050,元大台灣50,106.4,0.1,0.09,07/16,0.02,0.04,0.07,0.08,0.15,0.33,0.68,1.07,1.21,1.6,1.95,1.19
89,9917,中保科,108.0,1.0,0.93,07/16,0.02,0.05,0.05,0.08,0.13,0.22,0.4,0.24,0.33,0.36,0.41,0.2
90,2421,建準,135.0,-4.0,-2.88,07/16,0.0,0.0,0.0,0.08,0.12,0.2,2.31,1.21,1.45,-0.73,1.85,1.11
91,6214,精誠,140.0,-1.0,-0.71,07/16,0.0,0.0,0.08,0.08,0.08,0.18,0.28,0.24,0.05,-0.99,0.31,0.24
92,3413,京鼎,382.0,34.0,9.77,07/16,0.08,0.08,0.08,0.08,1.44,1.25,-0.38,-0.54,-3.31,1.38,1.38,-0.68
93,2383,台光電,4990.0,-90.0,-1.77,07/16,0.0,0.03,0.04,0.08,0.24,0.1,0.5,1.72,1.26,-5.45,1.15,0.83
94,3491,昇達科,1310.0,115.0,9.62,07/16,0.0,0.0,0.03,0.08,0.06,-0.56,-1.28,-2.05,-2.56,4.15,1.71,-1.74
95,2912,統一超,245.5,1.0,0.41,07/16,0.06,0.06,0.08,0.08,0.11,0.61,5.56,3.52,3.33,7.6,7.44,3.25
96,5522,遠雄,69.4,1.1,1.61,07/16,0.0,0.0,0.06,0.08,0.11,-0.2,-0.23,-0.37,-0.47,1.81,2.41,-0.65
97,2855,統一證,46.35,-0.55,-1.17,07/16,0.0,0.0,0.03,0.08,0.21,0.26,4.98,4.98,5.2,5.28,5.21,4.96
98,5536,聖暉*,1265.0,15.0,1.2,07/16,0.0,0.0,0.04,0.07,-0.29,-0.68,0.97,-1.83,5.07,9.3,9.42,-0.98
99,6683,雍智科技,1350.0,-120.0,-8.16,07/16,0.0,0.03,0.06,0.07,-0.06,0.37,-3.75,3.61,3.59,2.67,,3.46
100,2486,一詮,261.5,4.5,1.75,07/16,0.07,0.07,0.07,0.07,-0.01,-0.66,-2.22,0.19,0.19,0.06,0.09,0.19
101,5475,德宏,175.5,-2.5,-1.4,07/16,0.04,0.04,0.04,0.07,0.11,0.11,-0.46,2.75,2.75,2.75,2.75,2.75
102,7722,LINEPAY,313.5,7.0,2.28,07/16,0.0,0.0,0.0,0.07,0.17,0.17,0.14,0.11,0.44,,,0.11
