排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
54,1609,大亞,36.0,0.5,1.41,05/25,-1421,-1769,-1786,-1769,1423,3912,5327.0,-2564.0,148.0,-4206.0
55,4526,東台,40.35,0.9,2.28,05/25,-1038,-1227,-1557,-1741,-1464,-1809,-1055.0,-2493.0,-1036.0,-3315.0
56,6285,啟碁,298.0,2.0,0.68,05/25,684,419,77,-1674,-7674,-6946,-2207.0,292.0,-2999.0,-5653.0
57,3704,合勤控,43.5,-0.5,-1.14,05/25,-623,-710,-1100,-1627,-2292,-2369,-14941.0,-5253.0,-2240.0,-10172.0
58,4960,誠美材,36.0,0.2,0.56,05/25,902,868,-2197,-1616,-1256,130,4138.0,5179.0,5676.0,5985.0
59,00935,野村臺灣新科技50,59.8,3.45,6.12,05/25,-63,-63,-63,-1605,2283,3461,6026.0,3248.0,3671.0,5974.0
60,3048,益登,73.3,-1.2,-1.61,05/25,201,337,-1717,-1600,-4429,-5202,-8948.0,-9193.0,90.0,-9069.0
61,8096,擎亞,124.5,6.0,5.06,05/25,-1,15,-904,-1555,-1157,578,-3065.0,-6178.0,-4314.0,-6215.0
62,1312,國喬,10.4,0.0,0.0,05/25,211,-948,-648,-1541,2446,6816,31023.0,23605.0,29453.0,28176.0
63,6806,森崴能源,8.35,-0.92,-9.92,05/25,0,0,-502,-1541,-5690,-6173,-13435.0,-12760.0,-6653.0,-12986.0
64,3105,穩懋,543.0,12.0,2.26,05/25,344,42,-88,-1511,-1058,2213,-4054.0,236.0,-14291.0,-945.0
65,3376,新日興,220.5,10.5,5.0,05/25,-723,-1034,-1313,-1459,-548,821,2076.0,5501.0,9636.0,7265.0
66,3264,欣銓,224.0,2.5,1.13,05/25,-290,-1213,-1232,-1427,-802,1254,1669.0,104.0,-2809.0,1338.0
67,6188,廣明,86.3,-0.1,-0.12,05/25,-659,-922,-1631,-1416,-2444,-3270,-5480.0,7592.0,10951.0,3431.0
68,1303,南亞,87.1,0.4,0.46,05/25,-3295,-3783,-4543,-1377,4418,3575,-6879.0,-101396.0,-147604.0,-113702.0
69,5351,鈺創,82.1,1.6,1.99,05/25,383,-731,-768,-1375,-2733,-6792,1275.0,269.0,2187.0,-6031.0
70,5309,系統電,69.9,0.6,0.87,05/25,-429,-1027,-1104,-1374,-2223,-1154,3249.0,3701.0,6008.0,3784.0
71,6209,今國光,86.2,0.4,0.47,05/25,-323,-704,-1092,-1333,-759,-235,-1764.0,-197.0,1378.0,-1105.0
72,3545,敦泰,61.6,0.0,0.0,05/25,-206,-574,-977,-1331,-1774,-1582,2549.0,2159.0,9346.0,5377.0
73,6182,合晶,76.8,6.9,9.87,05/25,-30,-316,-329,-1321,-4119,-5296,-18819.0,-15120.0,11144.0,-17317.0
74,8086,宏捷科,163.0,3.5,2.19,05/25,-83,8,38,-1304,-2335,-1943,-1952.0,356.0,-5586.0,-619.0
75,00688L,國泰20年美債正2,6.77,0.11,1.65,05/25,-2,-2,-203,-1283,-1283,-5248,-32511.0,-42430.0,-58364.0,-40521.0
76,2392,正崴,38.6,0.55,1.45,05/25,1,-890,-1120,-1250,-1108,-2066,-972.0,-1052.0,7518.0,-651.0
77,2457,飛宏,26.85,0.65,2.48,05/25,-1304,-1389,-1380,-1248,-1332,-2809,-7136.0,-9939.0,7794.0,-9614.0
78,3035,智原,218.5,7.5,3.55,05/25,-270,-1255,-1031,-1241,-772,1566,-651.0,-1107.0,12951.0,-1255.0
