"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股800張以下(%)","800張以下增減","持股1千張以下(%)","1千張以下增減","持股超過1千張(%)","超過1千張增減"
"2164","2912","統一超","221","+1","+0.45","26W28","07/09","18.9","-0.68","19.8","-0.41","80.2","+0.41"
"2165","3036","文曄","211.5","-22","-9.42","26W28","07/09","17.7","+0.66","19","+0.59","81","-0.59"
"2166","2905","三商","16.4","+0.2","+1.23","26W28","07/09","18.6","-0.19","19.6","-0.04","80.4","+0.04"
"2167","00710B","復華彭博非投等債","19.28","-0.02","-0.1","26W28","07/09","19.2","-0.03","19.2","-0.03","80.8","+0.03"
"2168","2024","志聯","13.6","+0.15","+1.12","26W28","07/09","19.2","-0.01","19.2","-0.01","80.8","+0.01"
"2169","8046","南電","1080","-25","-2.26","26W28","07/09","17.8","-0.01","18.6","-0.62","81.4","+0.62"
"2170","1456","怡華","14.2","+0.1","+0.71","26W28","07/09","17.5","+0.01","19.4","+0.01","80.6","-0.01"
"2171","2762","世界健身-KY","82.5","-0.3","-0.36","26W28","07/09","17.5","0","19.1","0","80.9","0"
"2172","6901","鑽石投資","17.95","+0.45","+2.57","26W28","07/09","17.9","+0.15","18.4","+0.36","81.6","-0.36"
"2173","5013","強新","25.75","+0.35","+1.38","26W28","07/09","17.1","-0.01","19.1","-0.01","80.9","+0.01"
"2174","3711","日月光投控","585","-10","-1.68","26W28","07/09","16.7","+0.57","18.3","+0.5","81.7","-0.5"
"2175","1443","立益物流","25.6","-0.2","-0.78","26W28","07/09","15","0","18.9","0","81.1","0"
"2176","2028","威致","15.4","+0.15","+0.98","26W28","07/09","18","0","18.8","0","81.2","0"
"2177","2881C","富邦金丙特","51.5","0","0","26W28","07/09","18.2","-0.02","19","0","81","0"
"2178","2382","廣達","298","-4","-1.32","26W28","07/09","16.9","-0.27","18.2","-0.32","81.8","+0.32"
"2179","6754","匯僑設計","42.45","-0.25","-0.59","26W28","07/09","18.6","0","18.6","0","81.4","0"
"2180","6674","鋐寶科技","15.25","-0.25","-1.61","26W28","07/09","16","0","18.6","0","81.4","0"
"2181","2706","第一店","12.45","0","0","26W28","07/09","17.5","0","18.5","0","81.5","0"
