"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股100張以下(%)","100張以下增減","持股200張以下(%)","200張以下增減","持股400張以下(%)","400張以下增減","持股600張以下(%)","600張以下增減"
"1225","6637","醫影","57.2","-0.8","-1.38","26W32","08/07","33.6","+0.44","36","+0.44","40.8","+1.62","40.8","0"
"1226","3362","先進光","199.5","-5","-2.44","26W32","08/07","34.8","-0.31","37.9","-1.04","40.3","-1.18","44.5","-1.1"
"1227","2414","精技","51.9","-0.2","-0.38","26W32","08/07","30.2","-0.23","35.2","-0.32","41","-0.83","45.5","-0.28"
"1228","4157","太景*-KY","8.99","-0.01","-0.11","26W32","08/07","27.1","-0.06","33.8","-0.01","40.9","-0.04","44","-0.13"
"1229","6767","台微醫","24.3","-0.3","-1.22","26W32","08/07","25.9","+0.02","35.6","+0.04","40.7","+0.04","46.5","0"
"1230","2032","新鋼","17.15","0","0","26W32","08/07","34.2","-0.01","37.4","-0.25","41.2","-0.21","46.3","+0.11"
"1231","3622","洋華","53.5","+0.2","+0.38","26W32","08/07","31.7","-0.14","36.1","-0.05","40.8","-0.3","43","+0.01"
"1232","7757","金色三麥","88.7","-0.3","-0.34","26W32","08/07","22.9","+0.05","29.5","+0.01","42.1","0","48.8","0"
"1233","2458","義隆","138.5","-1","-0.72","26W32","08/07","32.9","+1.58","37","+1.4","41.2","+1.45","45.4","+1.8"
"1234","3684","榮昌","54.5","+0.5","+0.93","26W32","08/07","29.3","+0.13","32.2","+0.15","40.6","+0.15","42.4","+0.15"
"1235","3004","豐達科","119","-2.5","-2.06","26W32","08/07","27.3","-1.14","33.8","-1.09","41.2","-0.78","44.9","-0.9"
"1236","1616","億泰","19.8","-0.3","-1.49","26W32","08/07","33.3","+0.24","36.6","-0.12","40.1","+0.03","41.4","0"
"1237","3533","嘉澤","1735","+110","+6.77","26W32","08/07","19.3","+0.88","26.8","+0.57","36.9","+1.54","43.8","+0.28"
"1238","6996","力領科技","179","-2.5","-1.38","26W32","08/07","25.6","-0.53","34.8","-0.09","40.4","0","44.2","0"
