排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 100張 以下 (%),100張 以下 增減,持股 200張 以下 (%),200張 以下 增減,持股 400張 以下 (%),400張 以下 增減,持股 600張 以下 (%),600張 以下 增減
213,2375,凱美,125.0,7.0,5.93,26W36,09/04,68.9,3.0,71.8,3.13,75.5,2.81,77.6,2.33
214,3441,聯一光,143.0,13.0,10.0,26W36,09/04,64.9,8.63,69.8,8.12,75.5,6.7,78.9,7.82
215,6182,合晶,111.0,6.5,6.22,26W36,09/04,69.6,2.91,72.7,2.62,75.5,2.96,76.9,2.89
216,00935,野村臺灣新科技50,58.65,1.2,2.09,26W36,09/04,67.0,-3.84,72.3,-3.92,75.3,-4.21,76.3,-4.26
217,00799B,國泰A級醫療債,28.45,0.0,0.0,26W36,09/04,61.6,-0.83,70.9,0.14,75.2,-2.47,80.9,-0.76
218,009817,國泰日本不動產,9.1,0.07,0.78,26W36,09/04,55.8,-0.03,67.1,0.04,75.2,0.12,81.5,0.07
219,4916,事欣科,97.3,0.6,0.62,26W36,09/04,68.8,0.5,72.5,0.43,75.1,-0.27,77.1,0.14
220,3221,台嘉碩,49.4,1.35,2.81,26W36,09/04,63.3,1.25,69.4,1.29,75.1,1.24,80.2,0.28
221,6706,惠特,127.0,6.5,5.39,26W36,09/04,60.3,0.68,66.3,1.01,74.9,2.3,80.4,0.21
222,3545,敦泰,50.7,0.3,0.6,26W36,09/04,65.6,0.04,69.5,-0.21,74.7,-0.59,78.9,-0.33
223,4909,新復興,36.9,-0.15,-0.4,26W36,09/04,65.2,1.36,67.9,1.62,74.7,1.36,76.1,0.91
224,00980A,主動野村臺灣優選,24.72,0.51,2.11,26W36,09/04,64.6,0.94,71.3,1.08,74.6,1.06,75.9,1.04
225,3041,揚智,23.3,0.35,1.53,26W36,09/04,65.6,-0.34,71.4,-0.16,74.6,0.04,76.8,0.41
226,00639,富邦深100,16.1,0.09,0.56,26W36,09/04,52.7,0.24,67.1,0.3,74.5,0.34,77.2,-0.15
227,3437,榮創,18.35,0.75,4.26,26W36,09/04,65.9,-0.05,70.3,0.02,74.4,-0.02,77.2,0.02
228,6485,點序,62.0,2.9,4.91,26W36,09/04,61.1,-0.18,67.1,0.11,74.4,0.0,76.4,0.0
229,6217,中探針,188.5,-7.0,-3.58,26W36,09/04,65.9,1.17,69.7,0.81,74.4,1.54,75.6,0.3
