" "," ","#","股票代號/名稱","類別","20260211","0226","0306","0313","0320","0327"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","110","3048益登","電子通路","0.11","1.08","-0.64","-0.05","2.16","-0.92"," ","30","1.74"," ","46.01","35.60","-1.45"," "
" "," ","111","1309台達化","塑膠","-0.03","0.33","-0.50","0.50","0.99","0.43"," ","30","1.72"," ","48.49","24.35","2.20"," "
" "," ","112","2458義隆","半導體","0.39","-0.07","3.15","0.63","-0.06","-2.32"," ","10","1.72"," ","58.68","126.50","-2.00"," "
" "," ","113","6136富爾特","通信網路","0.46","0.03","0.37","0.59","0.05","0.21"," ","31","1.71"," ","43.52","24.40","0.05"," "
" "," ","114","2419仲琦","通信網路","-0.06","0.07","0.62","-0.19","-0.35","1.62"," ","31","1.71"," ","67.06","34.70","-0.70"," "
" "," ","115","2305全友","電腦週邊","-0.03","0.22","-0.04","-0.18","1.13","0.56"," ","30","1.66"," ","69.92","16.85","-0.45"," "
" "," ","116","2323中環","光電","0.21","1.17","0.51","0.86","0.61","-1.72"," ","10","1.64"," ","44.61","11.15","-0.25"," "
" "," ","117","3311閎暉","通信網路","0.00","0.14","0.63","0.25","0.46","0.16"," ","30","1.64"," ","54.40","32.00","-0.85"," "
" "," ","118","3030德律","其他電子","-0.76","0.89","1.75","1.27","-1.62","0.07"," ","31","1.60"," ","62.78","267.50","7.50"," "
" "," ","119","3543州巧","光電","-0.52","5.09","0.35","-0.22","-0.32","-2.79"," ","10","1.59"," ","55.97","48.80","-0.10"," "
" "," ","120","2903遠百","貿易百貨","0.36","0.11","0.12","0.47","0.38","0.15"," ","10","1.59"," ","79.13","22.80","-0.15"," "
" "," ","121","6415矽力*-KY","半導體","0.46","-0.01","0.46","0.64","-0.23","0.27"," ","31","1.59"," ","78.10","285.50","-7.50"," "
" "," ","122","2385群光","電子零組件","0.00","0.15","0.32","0.56","0.33","0.21"," ","10","1.57"," ","77.07","122.00","-1.00"," "
" "," ","123","6949沛爾生醫-創","生技醫療業","0.77","0.04","0.41","0.12","0.65","-0.42"," ","30","1.57"," ","71.79","570.00","3.00"," "
" "," ","124","1409新纖","紡織","0.21","0.35","-0.12","0.54","0.70","-0.11"," ","30","1.57"," ","66.11","15.85","-0.10"," "
" "," ","125","9902台火","其他","0.45","-0.09","0.19","0.71","-0.23","0.52"," ","31","1.55"," ","56.13","14.30","0.05"," "
" "," ","126","8039台虹","電子零組件","-0.46","0.66","2.27","3.47","-3.37","-1.04"," ","31","1.53"," ","58.88","111.50","-1.00"," "
" "," ","127","5288豐祥-KY","電機","0.00","0.10","0.54","0.05","0.69","0.14"," ","30","1.52"," ","69.01","139.00","-2.50"," "
" "," ","128","911868同方友友-DR","存託憑證","0.22","0.68","-0.29","-0.07","0.47","0.50"," ","50","1.51"," ","33.09","1.25","0.00"," "
" "," ","129","3059華晶科","光電","0.37","-0.08","0.46","0.07","0.08","0.60"," ","50","1.50"," ","27.25","36.10","-0.85"," "
" "," ","130","9955佳龍","綠能","-0.19","0.72","-0.26","0.77","0.75","-0.30"," ","10","1.49"," ","64.55","30.80","0.00"," "
" "," ","131","4526東台","電機","-0.42","2.11","-0.72","-0.09","0.78","-0.17"," ","30","1.49"," ","46.38","33.15","-1.45"," "
" "," ","132","6164華興","光電","0.39","0.50","-0.32","0.80","-0.05","0.15"," ","31","1.47"," ","23.32","12.00","-0.40"," "
" "," ","133","4440宜新實業","紡織","0.55","0.12","0.26","0.27","0.12","0.14"," ","31","1.46"," ","55.08","17.35","-0.10"," "
" "," ","134","3028增你強","電子通路","-0.79","2.37","-0.09","-0.96","0.78","0.12"," ","30","1.43"," ","45.28","50.90","-2.40"," "
" "," ","135","4737華廣","生技醫療業","-0.68","0.33","0.24","0.80","0.28","0.44"," ","31","1.41"," ","58.71","66.10","1.00"," "
" "," ","136","5434崇越","電子通路","0.11","0.88","-0.07","0.19","0.60","-0.30"," ","30","1.41"," ","54.71","311.00","-7.50"," "
" "," ","137","5515建國","營建","-0.02","0.13","0.18","0.49","0.49","0.12"," ","20","1.39"," ","69.21","36.50","-1.05"," "
" "," ","138","3481群創","光電","-0.14","3.20","0.30","6.53","-6.68","-1.83"," ","31","1.38"," ","42.27","24.60","-0.20"," "
" "," ","139","1460宏遠","紡織","0.14","0.05","0.32","0.28","0.29","0.29"," ","40","1.37"," ","69.89","7.18","0.01"," "
" "," ","140","2208台船","航運","0.75","0.66","0.03","-0.32","-0.02","0.27"," ","50","1.37"," ","57.51","21.30","-0.20"," "
" "," ","141","3027盛達","通信網路","0.07","0.44","0.47","-0.06","-0.13","0.57"," ","31","1.36"," ","44.86","19.50","-0.30"," "
" "," ","142","3015全漢","電子零組件","-0.06","0.79","0.67","-0.04","0.08","-0.09"," ","30","1.35"," ","64.39","50.70","0.00"," "
" "," ","143","2006東和鋼鐵","鋼鐵","0.22","0.09","1.00","0.75","-0.51","-0.21"," ","31","1.34"," ","81.22","68.90","-1.60"," "
" "," ","144","3338泰碩","電子零組件","-0.43","0.00","0.46","0.35","1.15","-0.20"," ","30","1.33"," ","29.98","60.20","-2.00"," "
" "," ","145","3005神基","電腦週邊","-0.16","0.07","0.43","1.19","1.05","-1.27"," ","10","1.31"," ","78.86","100.00","-7.00"," "
" "," ","146","3545敦泰","半導體","-0.01","0.18","0.49","0.18","0.42","0.05"," ","30","1.31"," ","22.88","49.70","4.50"," "
" "," ","147","5907大洋-KY","貿易百貨","0.05","0.03","0.37","0.42","0.13","0.30"," ","31","1.30"," ","70.38","5.92","0.04"," "
" "," ","148","3036文曄","電子通路","0.38","0.30","0.39","0.03","0.30","-0.10"," ","30","1.30"," ","90.07","225.00","-4.00"," "
" "," ","149","4938和碩","電腦週邊","0.07","0.39","-0.11","0.57","-0.06","0.42"," ","31","1.28"," ","77.58","78.60","-2.30"," "
" "," ","150","2359所羅門","其他電子","-0.11","0.64","0.05","-0.12","0.18","0.64"," ","50","1.28"," ","45.41","110.50","-3.00"," "
" "," ","151","1590亞德客-KY","電機","0.15","0.40","0.17","0.31","-0.21","0.44"," ","31","1.26"," ","72.07","987.00","-3.00"," "
" "," ","152","2883凱基金","金融","0.51","0.64","0.12","0.03","-0.06","0.02"," ","31","1.26"," ","65.50","19.40","-0.45"," "
" "," ","153","2345智邦","通信網路","0.93","-0.24","0.40","0.14","-0.08","0.10"," ","31","1.25"," ","71.35","1635.00","-20.00"," "
" "," ","154","3017奇鋐","電腦週邊","-0.30","0.16","1.50","-0.22","-0.37","0.48"," ","31","1.25"," ","69.10","2135.00","-60.00"," "
" "," ","155","6153嘉聯益","電子零組件","-0.40","-0.14","-0.25","0.42","1.22","0.39"," ","30","1.24"," ","48.29","16.55","-0.65"," "
" "," ","156","2851中再保","金融","0.10","0.28","0.23","-0.03","0.39","0.27"," ","30","1.24"," ","70.83","30.70","-0.25"," "
" "," ","157","8101華冠","通信網路","0.00","0.02","0.00","1.20","0.01","0.00"," ","10","1.23"," ","81.61","14.00","0.30"," "
" "," ","158","2867三商壽","金融","0.46","0.43","0.26","0.03","-0.06","0.11"," ","31","1.23"," ","82.55","7.68","-0.02"," "
" "," ","159","1446宏和","紡織","0.57","0.06","0.11","0.26","-0.02","0.25"," ","31","1.23"," ","68.93","16.85","0.00"," "
" "," ","160","1560中砂","電機","1.13","2.38","-0.49","-1.35","-0.82","0.37"," ","50","1.22"," ","66.12","449.00","-10.50"," "
" "," ","161","2231為升","汽車","-0.03","0.06","-0.03","-0.11","0.56","0.76"," ","50","1.21"," ","65.30","137.50","12.50"," "
" "," ","162","9136巨騰-DR","存託憑證","-0.15","-0.69","0.26","2.01","-0.93","0.70"," ","31","1.20"," ","64.42","8.88","-0.98"," "
" "," ","163","8105凌巨","光電","0.17","0.14","0.16","0.23","0.61","-0.12"," ","30","1.19"," ","58.81","12.60","-0.50"," "
" "," ","164","3056富華新","營建","0.03","0.07","0.15","0.59","0.16","0.19"," ","31","1.19"," ","30.65","14.55","-0.25"," "
" "," ","165","2617台航","航運","-0.18","0.08","0.43","0.75","0.28","-0.18"," ","10","1.18"," ","62.26","30.10","-0.20"," "
" "," ","166","3003健和興","電子零組件","-0.04","0.23","0.59","0.33","-0.14","0.20"," ","31","1.17"," ","57.04","49.50","-0.80"," "
" "," ","167","2010春源","鋼鐵","0.20","0.27","0.16","0.40","0.01","0.13"," ","31","1.17"," ","71.71","25.00","-0.45"," "
" "," ","168","2353宏卅卅","電腦週邊","0.36","0.13","0.34","0.90","-0.45","-0.12"," ","31","1.16"," ","38.18","27.00","-0.40"," "
" "," ","169","2328廣宇","電子零組件","-0.63","0.85","-0.03","0.05","0.52","0.39"," ","30","1.15"," ","40.26","44.45","-0.85"," "
" "," ","170","3002歐格","電腦週邊","0.59","0.05","-0.06","-0.02","0.45","0.14"," ","30","1.15"," ","66.25","19.10","0.15"," "
" "," ","171","1752南光","生技醫療業","0.00","0.00","0.45","0.13","0.51","0.05"," ","30","1.14"," ","63.74","36.05","0.00"," "
" "," ","172","8222寶一","電機","0.14","0.55","-0.77","0.14","0.83","0.24"," ","30","1.13"," ","36.54","35.70","-0.20"," "
" "," ","173","5706鳳凰","觀光","0.50","0.71","-0.45","0.21","0.16","-0.01"," ","10","1.12"," ","40.09","51.30","-0.40"," "
" "," ","174","2897王道銀行","金融","0.37","0.06","0.20","0.34","0.05","0.10"," ","31","1.12"," ","84.35","10.00","-0.10"," "
" "," ","175","3715定穎投控","電子零組件","-5.80","-0.91","0.58","-0.53","10.29","-2.51"," ","30","1.12"," ","50.38","185.00","-18.50"," "
" "," ","176","6272驊陞","電子零組件","0.37","0.65","0.22","-0.32","0.58","-0.38"," ","30","1.12"," ","49.44","31.45","-1.20"," "
" "," ","177","9912偉聯","電腦週邊","0.07","0.06","0.19","-0.17","0.78","0.19"," ","30","1.12"," ","59.41","12.50","0.00"," "
" "," ","178","2022聚亨","鋼鐵","0.37","0.27","0.36","0.19","0.09","-0.19"," ","10","1.09"," ","38.73","9.11","-0.04"," "
" "," ","179","2228劍麟","汽車","0.00","0.00","-0.03","0.12","0.03","0.96"," ","31","1.08"," ","56.58","89.80","0.70"," "
" "," ","180","8473山林水","綠能","-0.29","0.15","0.59","0.01","0.30","0.32"," ","50","1.08"," ","67.52","38.85","-0.40"," "
" "," ","181","5215科嘉-KY","電腦週邊","0.16","0.13","0.09","0.00","0.68","0.00"," ","30","1.06"," ","51.14","37.30","-0.30"," "
" "," ","182","912000晨訊科-DR","存託憑證","0.54","0.08","0.09","0.04","0.42","-0.11"," ","30","1.06"," ","30.28","2.49","-0.01"," "
" "," ","183","2388威盛","半導體","-0.43","0.03","-0.05","0.28","0.85","0.36"," ","30","1.04"," ","66.80","52.00","-2.50"," "
" "," ","184","3454晶睿","光電","-0.95","0.85","0.94","0.24","-0.04","0.00"," ","31","1.04"," ","70.07","",""," "
" "," ","185","2637慧洋-KY","航運","0.23","0.52","0.18","-0.07","0.32","-0.15"," ","30","1.03"," ","79.35","68.60","-0.40"," "
" "," ","186","6936永鴻生技","生技醫療業","0.08","-0.02","0.76","0.08","0.07","0.05"," ","10","1.02"," ","75.21","34.10","-0.20"," "
" "," ","187","6108競國","電子零組件","-0.14","0.03","0.47","-0.03","0.44","0.25"," ","30","1.02"," ","52.96","16.45","0.00"," "
" "," ","188","3346麗清","汽車","0.00","-0.02","0.51","0.48","0.00","0.04"," ","31","1.01"," ","27.48","18.55","-0.40"," "
" "," ","189","6835圓裕","電子零組件","-0.60","0.03","0.00","0.80","0.08","0.70"," ","31","1.01"," ","77.48","38.10","-0.10"," "
