" "," ","#","個股代號/名稱","類別","前二月","前一月","本  月","走 勢","總增減"," ","前二月","前一月","本  月","走 勢","總增減","今日收盤價","今日漲跌"," "
" "," ","","1723中碳","化學","33.99","33.99","33.99","32","0.00"," ","80,546","80,546","80,546","32","0","88.70","8.00"," "
" "," ","","1725元禎","化學","11.45","11.45","11.45","32","0.00"," ","20,827","20,827","20,827","32","0","33.05","1.65"," "
" "," ","","1726永記","化學","21.07","21.07","21.07","32","0.00"," ","34,145","34,145","34,145","32","0","75.20","-0.30"," "
" "," ","","1727中華化","化學","19.06","19.06","19.06","32","0.00"," ","24,401","24,401","24,401","32","0","49.00","-1.70"," "
" "," ","","1730花仙子","化學","38.35","38.35","38.35","32","0.00"," ","24,251","24,251","24,251","32","0","53.40","0.80"," "
" "," ","","1731美吾華","生技醫療業","29.89","29.89","29.89","32","0.00"," ","39,739","39,739","39,739","32","0","21.75","-0.05"," "
" "," ","","1732毛寶","化學","33.46","33.46","33.46","32","0.00"," ","14,206","14,206","14,206","32","0","26.10","-0.10"," "
" "," ","","1733五鼎","生技醫療業","26.46","26.46","26.48","41","0.02"," ","26,456","26,456","26,471","41","15","29.75","-0.20"," "
" "," ","","1734杏輝","生技醫療業","16.16","16.44","16.44","40","0.28"," ","30,740","31,276","31,276","40","536","31.00","0.00"," "
" "," ","","1735日勝化","化學","58.94","58.94","58.94","32","0.00"," ","58,584","58,584","58,584","32","0","26.20","-1.05"," "
" "," ","","1736喬山","運動","67.88","67.88","67.91","41","0.03"," ","205,949","205,949","206,062","41","113","122.50","-2.00"," "
" "," ","","1737臺鹽","食品","44.28","44.28","44.28","32","0.00"," ","88,564","88,564","88,564","32","0","31.70","-0.05"," "
" "," ","","1752南光","生技醫療業","10.09","10.09","10.09","32","0.00"," ","10,190","10,190","10,190","32","0","36.05","0.00"," "
" "," ","","1760寶齡富錦","生技醫療業","18.71","18.71","18.69","20","-0.02"," ","16,048","16,048","16,025","20","-23","63.00","-0.40"," "
" "," ","","1762中化生","生技醫療業","30.24","30.24","30.24","32","0.00"," ","23,267","23,267","23,267","32","0","28.80","-0.65"," "
" "," ","","1773勝一","化學","42.88","42.88","42.33","20","-0.55"," ","128,666","128,642","127,014","10","-1,652","142.50","0.00"," "
" "," ","","1776展宇","化學","8.81","9.06","9.31","50","0.50"," ","5,299","5,450","5,602","50","303","16.30","0.65"," "
" "," ","","1783和康生","生技醫療業","39.93","40.42","40.89","50","0.96"," ","35,819","36,253","36,679","50","860","43.45","-0.50"," "
" "," ","","1786科妍","生技醫療業","11","11","11","32","0.00"," ","8,234","8,234","8,234","32","0","63.70","-1.50"," "
" "," ","","1789神隆","生技醫療業","64.39","64.39","64.39","32","0.00"," ","509,202","509,202","509,202","32","0","21.15","-0.10"," "
" "," ","","1795美時","生技醫療業","37.44","37.44","37.17","20","-0.27"," ","99,959","99,935","99,209","10","-750","211.50","-3.50"," "
" "," ","","1802台玻","玻璃","30.08","30.08","30.08","32","0.00"," ","874,951","874,951","874,951","32","0","54.40","-0.50"," "
" "," ","","1805寶徠","營建","30.3","30.3","30.3","32","0.00"," ","40,906","40,906","40,906","32","0","10.70","-0.15"," "
" "," ","","1806冠軍","玻璃","7.7","7.7","7.7","32","0.00"," ","30,066","30,066","30,066","32","0","8.51","-0.13"," "
" "," ","","1808潤隆","營建","3.92","3.92","3.92","32","0.00"," ","35,040","35,040","35,040","32","0","30.65","-0.40"," "
" "," ","","1809中釉","玻璃","13.37","13.37","13.37","32","0.00"," ","22,334","22,334","22,334","32","0","26.70","-1.70"," "
" "," ","","1810和成","玻璃","5.36","5.36","5.36","32","0.00"," ","16,213","16,213","16,213","32","0","17.40","-0.20"," "
" "," ","","1817凱撒衛","玻璃","30.15","30.15","30.15","32","0.00"," ","21,891","21,891","21,891","32","0","38.80","0.05"," "
" "," ","","1903士紙","造紙","7.79","7.79","7.79","32","0.00"," ","20,281","20,281","20,281","32","0","50.90","1.05"," "
" "," ","","1904正隆","造紙","14.25","14.25","14.25","32","0.00"," ","157,938","157,938","157,938","32","0","19.90","-0.25"," "
" "," ","","1905華紙","造紙","57.63","57.63","57.63","32","0.00"," ","635,581","635,581","635,581","32","0","16.90","1.50"," "
" "," ","","1906寶隆","造紙","25.94","25.94","25.94","32","0.00"," ","39,181","39,181","39,181","32","0","12.65","1.15"," "
" "," ","","1907永豐餘","造紙","5.78","5.78","5.78","32","0.00"," ","96,063","96,063","96,063","32","0","27.10","0.85"," "
" "," ","","1909榮成","造紙","36.85","36.85","36.85","32","0.00"," ","489,355","489,355","489,355","32","0","10.50","0.25"," "
" "," ","","2002中鋼","鋼鐵","20.09","20.09","20.09","32","0.00"," ","3,169,274","3,169,274","3,169,274","32","0","19.15","-0.45"," "
" "," ","","2006東和鋼鐵","鋼鐵","19.39","19.39","19.39","32","0.00"," ","141,660","141,660","141,660","32","0","68.90","-1.60"," "
" "," ","","2007燁興","鋼鐵","73.56","73.56","73.56","32","0.00"," ","390,372","390,372","390,372","32","0","8.20","-0.15"," "
" "," ","","2008高興昌","鋼鐵","38.27","38.27","38.27","32","0.00"," ","73,052","73,052","73,052","32","0","27.55","-1.35"," "
" "," ","","2009第一銅","鋼鐵","39.43","39.43","39.43","32","0.00"," ","141,818","141,818","141,818","32","0","40.15","-0.35"," "
